"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTheta) []","dB(GainPhi) []"
1.57542,90,-180,-1.37934514286507,-49.1782222195327
1.57542,90,-179,-1.52953703062534,-48.3127316707992
1.57542,90,-178,-1.67908617749372,-47.4866177026273
1.57542,90,-177,-1.82718851367223,-46.7356264028139
1.57542,90,-176,-1.97299204295935,-46.0734918359054
1.57542,90,-175,-2.11560782881371,-45.5029976342617
1.57542,90,-174,-2.25412365397184,-45.02199620319
1.57542,90,-173,-2.38762030051328,-44.6264315379086
1.57542,90,-172,-2.51519021796491,-44.3117857241399
1.57542,90,-171,-2.63595814280997,-44.0737367287976
1.57542,90,-170,-2.74910302053739,-43.9084315633777
1.57542,90,-169,-2.85388038433149,-43.8125761896242
1.57542,90,-168,-2.94964418984187,-43.7834413725228
1.57542,90,-167,-3.03586702040256,-43.8188329202798
1.57542,90,-166,-3.1121575837326,-43.917049519614
1.57542,90,-165,-3.17827453136686,-44.0768387208374
1.57542,90,-164,-3.23413584331283,-44.297355126075
1.57542,90,-163,-3.27982331436466,-44.5781212547006
1.57542,90,-162,-3.3155820228583,-44.9189891988179
1.57542,90,-161,-3.34181501634609,-45.3200990246571
1.57542,90,-160,-3.35907376913699,-45.7818271509142
1.57542,90,-159,-3.36804521749444,-46.3047138283847
1.57542,90,-158,-3.36953633543733,-46.8893522681399
1.57542,90,-157,-3.36445726898484,-47.5362113235115
1.57542,90,-156,-3.35380400601254,-48.2453466291361
1.57542,90,-155,-3.33864144136119,-49.0159288323021
1.57542,90,-154,-3.32008752821337,-49.8454797191738
1.57542,90,-153,-3.29929901445309,-50.7286606710709
1.57542,90,-152,-3.27745907133795,-51.6554252411687
1.57542,90,-151,-3.25576695013223,-52.6084034209715
1.57542,90,-150,-3.23542966213177,-53.5597135460053
1.57542,90,-149,-3.21765557371535,-54.4683129678018
1.57542,90,-148,-3.2036497400589,-55.2806496977153
1.57542,90,-147,-3.19461076440285,-55.9386628940086
1.57542,90,-146,-3.1917289574866,-56.3966815107785
1.57542,90,-145,-3.19618557634912,-56.6402759343939
1.57542,90,-144,-3.20915293569825,-56.6933852447677
1.57542,90,-143,-3.23179520176177,-56.6075555490083
