Phi[deg],Theta[deg],dB(GainTotal)
-180,-180,-1.37927
-179,-180,-1.37927
-178,-180,-1.37927
-177,-180,-1.37927
-176,-180,-1.37927
-175,-180,-1.37927
-174,-180,-1.37927
-173,-180,-1.37927
-172,-180,-1.37927
-171,-180,-1.37927
-170,-180,-1.37927
-169,-180,-1.37927
-168,-180,-1.37927
-167,-180,-1.37927
-166,-180,-1.37927
-165,-180,-1.37927
-164,-180,-1.37927
-163,-180,-1.37927
-162,-180,-1.37927
-161,-180,-1.37927
-160,-180,-1.37927
-159,-180,-1.37927
-158,-180,-1.37927
-157,-180,-1.37927
-156,-180,-1.37927
-155,-180,-1.37927
-154,-180,-1.37927
-153,-180,-1.37927
-152,-180,-1.37927
-151,-180,-1.37927
-150,-180,-1.37927
-149,-180,-1.37927
-148,-180,-1.37927
-147,-180,-1.37927
-146,-180,-1.37927
-145,-180,-1.37927
-144,-180,-1.37927
-143,-180,-1.37927
-142,-180,-1.37927
-141,-180,-1.37927
-140,-180,-1.37927
-139,-180,-1.37927
-138,-180,-1.37927
-137,-180,-1.37927
-136,-180,-1.37927
-135,-180,-1.37927
-134,-180,-1.37927
-133,-180,-1.37927
-132,-180,-1.37927
-131,-180,-1.37927
-130,-180,-1.37927
-129,-180,-1.37927
-128,-180,-1.37927
-127,-180,-1.37927
-126,-180,-1.37927
-125,-180,-1.37927
-124,-180,-1.37927
-123,-180,-1.37927
-122,-180,-1.37927
-121,-180,-1.37927
-120,-180,-1.37927
-119,-180,-1.37927
-118,-180,-1.37927
-117,-180,-1.37927
-116,-180,-1.37927
-115,-180,-1.37927
-114,-180,-1.37927
-113,-180,-1.37927
-112,-180,-1.37927
-111,-180,-1.37927
-110,-180,-1.37927
-109,-180,-1.37927
-108,-180,-1.37927
-107,-180,-1.37927
-106,-180,-1.37927
-105,-180,-1.37927
-104,-180,-1.37927
-103,-180,-1.37927
-102,-180,-1.37927
-101,-180,-1.37927
-100,-180,-1.37927
-99,-180,-1.37927
-98,-180,-1.37927
-97,-180,-1.37927
-96,-180,-1.37927
-95,-180,-1.37927
-94,-180,-1.37927
-93,-180,-1.37927
-92,-180,-1.37927
-91,-180,-1.37927
-90,-180,-1.37927
-89,-180,-1.37927
-88,-180,-1.37927
-87,-180,-1.37927
-86,-180,-1.37927
-85,-180,-1.37927
-84,-180,-1.37927
-83,-180,-1.37927
-82,-180,-1.37927
-81,-180,-1.37927
-80,-180,-1.37927
-79,-180,-1.37927
-78,-180,-1.37927
-77,-180,-1.37927
-76,-180,-1.37927
-75,-180,-1.37927
-74,-180,-1.37927
-73,-180,-1.37927
-72,-180,-1.37927
-71,-180,-1.37927
-70,-180,-1.37927
-69,-180,-1.37927
-68,-180,-1.37927
-67,-180,-1.37927
-66,-180,-1.37927
-65,-180,-1.37927
-64,-180,-1.37927
-63,-180,-1.37927
-62,-180,-1.37927
-61,-180,-1.37927
-60,-180,-1.37927
-59,-180,-1.37927
-58,-180,-1.37927
-57,-180,-1.37927
-56,-180,-1.37927
-55,-180,-1.37927
-54,-180,-1.37927
-53,-180,-1.37927
-52,-180,-1.37927
-51,-180,-1.37927
-50,-180,-1.37927
-49,-180,-1.37927
-48,-180,-1.37927
-47,-180,-1.37927
-46,-180,-1.37927
-45,-180,-1.37927
-44,-180,-1.37927
-43,-180,-1.37927
-42,-180,-1.37927
-41,-180,-1.37927
-40,-180,-1.37927
-39,-180,-1.37927
-38,-180,-1.37927
-37,-180,-1.37927
-36,-180,-1.37927
-35,-180,-1.37927
-34,-180,-1.37927
-33,-180,-1.37927
-32,-180,-1.37927
-31,-180,-1.37927
-30,-180,-1.37927
-29,-180,-1.37927
-28,-180,-1.37927
-27,-180,-1.37927
-26,-180,-1.37927
-25,-180,-1.37927
-24,-180,-1.37927
-23,-180,-1.37927
-22,-180,-1.37927
-21,-180,-1.37927
-20,-180,-1.37927
-19,-180,-1.37927
-18,-180,-1.37927
-17,-180,-1.37927
-16,-180,-1.37927
-15,-180,-1.37927
-14,-180,-1.37927
-13,-180,-1.37927
-12,-180,-1.37927
-11,-180,-1.37927
-10,-180,-1.37927
-9,-180,-1.37927
-8,-180,-1.37927
-7,-180,-1.37927
-6,-180,-1.37927
-5,-180,-1.37927
-4,-180,-1.37927
-3,-180,-1.37927
-2,-180,-1.37927
-1,-180,-1.37927
0,-180,-1.37927
1,-180,-1.37927
2,-180,-1.37927
3,-180,-1.37927
4,-180,-1.37927
5,-180,-1.37927
6,-180,-1.37927
7,-180,-1.37927
8,-180,-1.37927
9,-180,-1.37927
10,-180,-1.37927
11,-180,-1.37927
12,-180,-1.37927
13,-180,-1.37927
14,-180,-1.37927
15,-180,-1.37927
16,-180,-1.37927
17,-180,-1.37927
18,-180,-1.37927
19,-180,-1.37927
20,-180,-1.37927
21,-180,-1.37927
22,-180,-1.37927
23,-180,-1.37927
24,-180,-1.37927
25,-180,-1.37927
26,-180,-1.37927
27,-180,-1.37927
28,-180,-1.37927
29,-180,-1.37927
30,-180,-1.37927
31,-180,-1.37927
32,-180,-1.37927
33,-180,-1.37927
34,-180,-1.37927
35,-180,-1.37927
36,-180,-1.37927
37,-180,-1.37927
38,-180,-1.37927
39,-180,-1.37927
40,-180,-1.37927
41,-180,-1.37927
42,-180,-1.37927
43,-180,-1.37927
44,-180,-1.37927
45,-180,-1.37927
46,-180,-1.37927
47,-180,-1.37927
48,-180,-1.37927
49,-180,-1.37927
50,-180,-1.37927
51,-180,-1.37927
52,-180,-1.37927
53,-180,-1.37927
54,-180,-1.37927
55,-180,-1.37927
56,-180,-1.37927
57,-180,-1.37927
58,-180,-1.37927
59,-180,-1.37927
60,-180,-1.37927
61,-180,-1.37927
62,-180,-1.37927
63,-180,-1.37927
64,-180,-1.37927
65,-180,-1.37927
66,-180,-1.37927
67,-180,-1.37927
68,-180,-1.37927
69,-180,-1.37927
70,-180,-1.37927
71,-180,-1.37927
72,-180,-1.37927
73,-180,-1.37927
74,-180,-1.37927
75,-180,-1.37927
76,-180,-1.37927
77,-180,-1.37927
78,-180,-1.37927
79,-180,-1.37927
80,-180,-1.37927
81,-180,-1.37927
82,-180,-1.37927
83,-180,-1.37927
84,-180,-1.37927
85,-180,-1.37927
86,-180,-1.37927
87,-180,-1.37927
88,-180,-1.37927
89,-180,-1.37927
90,-180,-1.37927
91,-180,-1.37927
92,-180,-1.37927
93,-180,-1.37927
94,-180,-1.37927
95,-180,-1.37927
96,-180,-1.37927
97,-180,-1.37927
98,-180,-1.37927
99,-180,-1.37927
100,-180,-1.37927
101,-180,-1.37927
102,-180,-1.37927
103,-180,-1.37927
104,-180,-1.37927
105,-180,-1.37927
106,-180,-1.37927
107,-180,-1.37927
108,-180,-1.37927
109,-180,-1.37927
110,-180,-1.37927
111,-180,-1.37927
112,-180,-1.37927
113,-180,-1.37927
114,-180,-1.37927
115,-180,-1.37927
116,-180,-1.37927
117,-180,-1.37927
118,-180,-1.37927
119,-180,-1.37927
120,-180,-1.37927
121,-180,-1.37927
122,-180,-1.37927
123,-180,-1.37927
124,-180,-1.37927
125,-180,-1.37927
126,-180,-1.37927
127,-180,-1.37927
128,-180,-1.37927
129,-180,-1.37927
130,-180,-1.37927
131,-180,-1.37927
132,-180,-1.37927
133,-180,-1.37927
134,-180,-1.37927
135,-180,-1.37927
136,-180,-1.37927
137,-180,-1.37927
138,-180,-1.37927
139,-180,-1.37927
140,-180,-1.37927
141,-180,-1.37927
142,-180,-1.37927
143,-180,-1.37927
144,-180,-1.37927
145,-180,-1.37927
146,-180,-1.37927
147,-180,-1.37927
148,-180,-1.37927
149,-180,-1.37927
150,-180,-1.37927
151,-180,-1.37927
152,-180,-1.37927
153,-180,-1.37927
154,-180,-1.37927
155,-180,-1.37927
156,-180,-1.37927
157,-180,-1.37927
158,-180,-1.37927
159,-180,-1.37927
160,-180,-1.37927
161,-180,-1.37927
162,-180,-1.37927
163,-180,-1.37927
164,-180,-1.37927
165,-180,-1.37927
166,-180,-1.37927
167,-180,-1.37927
168,-180,-1.37927
169,-180,-1.37927
170,-180,-1.37927
171,-180,-1.37927
172,-180,-1.37927
173,-180,-1.37927
174,-180,-1.37927
175,-180,-1.37927
176,-180,-1.37927
177,-180,-1.37927
178,-180,-1.37927
179,-180,-1.37927
180,-180,-1.37927
-180,-179,-1.3757
-179,-179,-1.37306
-178,-179,-1.37043
-177,-179,-1.3678
-176,-179,-1.36517
-175,-179,-1.36254
-174,-179,-1.35992
-173,-179,-1.35731
-172,-179,-1.3547
-171,-179,-1.3521
-170,-179,-1.34951
-169,-179,-1.34692
-168,-179,-1.34435
-167,-179,-1.34178
-166,-179,-1.33923
-165,-179,-1.33669
-164,-179,-1.33416
-163,-179,-1.33165
-162,-179,-1.32915
-161,-179,-1.32666
-160,-179,-1.32419
-159,-179,-1.32174
-158,-179,-1.3193
-157,-179,-1.31688
-156,-179,-1.31449
-155,-179,-1.31211
-154,-179,-1.30975
-153,-179,-1.30741
-152,-179,-1.3051
-151,-179,-1.30281
-150,-179,-1.30054
-149,-179,-1.29829
-148,-179,-1.29607
-147,-179,-1.29388
-146,-179,-1.29171
-145,-179,-1.28957
-144,-179,-1.28746
-143,-179,-1.28538
-142,-179,-1.28332
-141,-179,-1.2813
-140,-179,-1.2793
-139,-179,-1.27734
-138,-179,-1.2754
-137,-179,-1.2735
-136,-179,-1.27164
-135,-179,-1.2698
-134,-179,-1.268
-133,-179,-1.26624
-132,-179,-1.26451
-131,-179,-1.26281
-130,-179,-1.26116
-129,-179,-1.25954
-128,-179,-1.25795
-127,-179,-1.25641
-126,-179,-1.2549
-125,-179,-1.25343
-124,-179,-1.252
-123,-179,-1.25061
-122,-179,-1.24926
-121,-179,-1.24795
-120,-179,-1.24668
-119,-179,-1.24545
-118,-179,-1.24427
-117,-179,-1.24313
-116,-179,-1.24203
-115,-179,-1.24097
-114,-179,-1.23995
-113,-179,-1.23898
-112,-179,-1.23806
-111,-179,-1.23717
-110,-179,-1.23634
-109,-179,-1.23554
-108,-179,-1.23479
-107,-179,-1.23409
-106,-179,-1.23343
-105,-179,-1.23282
-104,-179,-1.23225
-103,-179,-1.23173
-102,-179,-1.23126
-101,-179,-1.23083
-100,-179,-1.23045
-99,-179,-1.23011
-98,-179,-1.22982
-97,-179,-1.22958
-96,-179,-1.22939
-95,-179,-1.22924
-94,-179,-1.22914
-93,-179,-1.22908
-92,-179,-1.22908
-91,-179,-1.22911
-90,-179,-1.2292
-89,-179,-1.22933
-88,-179,-1.22951
-87,-179,-1.22974
-86,-179,-1.23001
-85,-179,-1.23033
-84,-179,-1.2307
-83,-179,-1.23111
-82,-179,-1.23157
-81,-179,-1.23207
-80,-179,-1.23262
-79,-179,-1.23322
-78,-179,-1.23386
-77,-179,-1.23455
-76,-179,-1.23528
-75,-179,-1.23606
-74,-179,-1.23688
-73,-179,-1.23774
-72,-179,-1.23865
-71,-179,-1.2396
-70,-179,-1.2406
-69,-179,-1.24164
-68,-179,-1.24272
-67,-179,-1.24385
-66,-179,-1.24501
-65,-179,-1.24622
-64,-179,-1.24747
-63,-179,-1.24876
-62,-179,-1.25009
-61,-179,-1.25146
-60,-179,-1.25287
-59,-179,-1.25432
-58,-179,-1.2558
-57,-179,-1.25733
-56,-179,-1.25889
-55,-179,-1.26049
-54,-179,-1.26213
-53,-179,-1.2638
-52,-179,-1.26551
-51,-179,-1.26725
-50,-179,-1.26903
-49,-179,-1.27084
-48,-179,-1.27268
-47,-179,-1.27456
-46,-179,-1.27647
-45,-179,-1.27841
-44,-179,-1.28038
-43,-179,-1.28238
-42,-179,-1.28441
-41,-179,-1.28647
-40,-179,-1.28856
-39,-179,-1.29067
-38,-179,-1.29281
-37,-179,-1.29498
-36,-179,-1.29717
-35,-179,-1.29939
-34,-179,-1.30164
-33,-179,-1.3039
-32,-179,-1.30619
-31,-179,-1.3085
-30,-179,-1.31083
-29,-179,-1.31319
-28,-179,-1.31556
-27,-179,-1.31795
-26,-179,-1.32036
-25,-179,-1.32279
-24,-179,-1.32523
-23,-179,-1.32769
-22,-179,-1.33017
-21,-179,-1.33266
-20,-179,-1.33516
-19,-179,-1.33768
-18,-179,-1.34021
-17,-179,-1.34275
-16,-179,-1.3453
-15,-179,-1.34786
-14,-179,-1.35043
-13,-179,-1.35301
-12,-179,-1.35559
-11,-179,-1.35818
-10,-179,-1.36078
-9,-179,-1.36338
-8,-179,-1.36599
-7,-179,-1.3686
-6,-179,-1.37121
-5,-179,-1.37383
-4,-179,-1.37644
-3,-179,-1.37906
