"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainTheta) []","dB(GainPhi) []"
1.57542,90,-180,-1.29798779590346,-31.5207919081768
1.57542,90,-179,-1.42871084282754,-30.9980435248174
1.57542,90,-178,-1.5615965920746,-30.5198420862143
1.57542,90,-177,-1.69646172947058,-30.0829851430874
1.57542,90,-176,-1.83310297090855,-29.6847971682091
1.57542,90,-175,-1.97129687242138,-29.3230331134276
1.57542,90,-174,-2.11080010605396,-28.9958035877901
1.57542,90,-173,-2.25135028539585,-28.7015163973863
1.57542,90,-172,-2.39266741604499,-28.4388305418003
1.57542,90,-171,-2.53445603316533,-28.2066197488383
1.57542,90,-170,-2.67640807029672,-28.0039433442135
1.57542,90,-169,-2.81820648052143,-27.8300227682578
1.57542,90,-168,-2.95952960317244,-27.684222419485
1.57542,90,-167,-3.10005623710303,-27.5660337611689
1.57542,90,-166,-3.23947134626246,-27.4750617962735
1.57542,90,-165,-3.37747228663256,-27.4110131130564
1.57542,90,-164,-3.51377540769599,-27.3736847359349
1.57542,90,-163,-3.64812284917267,-27.3629529846495
1.57542,90,-162,-3.78028932764002,-27.3787614438953
1.57542,90,-161,-3.91008869064826,-27.4211069631907
1.57542,90,-160,-4.03738001045557,-27.4900223229943
1.57542,90,-159,-4.16207299718945,-27.5855537895504
1.57542,90,-158,-4.28413253267812,-27.7077311999758
1.57542,90,-157,-4.40358216071231,-27.8565274248614
1.57542,90,-156,-4.5205064151061,-28.0318029996921
1.57542,90,-155,-4.63505192045473,-28.2332303632767
1.57542,90,-154,-4.7474272579011,-28.4601905053155
1.57542,90,-153,-4.85790164505629,-28.7116330470619
1.57542,90,-152,-4.96680253110316,-28.9858892758393
1.57542,90,-151,-5.07451225125905,-29.2804273866843
1.57542,90,-150,-5.18146391639155,-29.5915420828975
1.57542,90,-149,-5.2881367321155,-29.9139802036303
1.57542,90,-148,-5.39505094689469,-30.2405255360674
1.57542,90,-147,-5.5027626214636,-30.5616059576978
1.57542,90,-146,-5.61185839414256,-30.8650483222444
1.57542,90,-145,-5.72295039080763,-31.1361821434214
1.57542,90,-144,-5.83667139709437,-31.35854456151
1.57542,90,-143,-5.95367037646065,-31.5153903894606
1.57542,90,-142,-6.07460838324316,-31.5919777241084
1.57542,90,-141,-6.20015488650683,-31.5781869176207
1.57542,90,-140,-6.33098448936492,-31.4706431404062
1.57542,90,-139,-6.4677739999502,-31.2734923780008
1.57542,90,-138,-6.61119978414421,-30.9974871235054
1.57542,90,-137,-6.76193530578171,-30.657784430212
1.57542,90,-136,-6.92064873613772,-30.2713256552951
1.57542,90,-135,-7.08800048947645,-29.8546044921189
1.57542,90,-134,-7.26464051335471,-29.4222273465519
1.57542,90,-133,-7.45120512896326,-28.9862677919877
1.57542,90,-132,-7.64831317547879,-28.5562010401419
1.57542,90,-131,-7.85656116028976,-28.1391677236874
1.57542,90,-130,-8.07651705084039,-27.74037218406
1.57542,90,-129,-8.3087122602706,-27.363495904736
1.57542,90,-128,-8.55363127455788,-27.011067188093
1.57542,90,-127,-8.81169824049589,-26.6847663694782
1.57542,90,-126,-9.08325968000923,-26.3856660914427
1.57542,90,-125,-9.36856231862131,-26.1144149391588
1.57542,90,-124,-9.66772482226639,-25.8713752623282
1.57542,90,-123,-9.98070204635821,-25.6567255822615
1.57542,90,-122,-10.3072402529793,-25.4705364337098
1.57542,90,-121,-10.6468217169781,-25.3128267206642
1.57542,90,-120,-10.9985973395146,-25.1836060596918
1.57542,90,-119,-11.3613065085489,-25.0829072698243
1.57542,90,-118,-11.7331847716159,-25.0108121532858
1.57542,90,-117,-12.1118622966385,-24.9674729602314
1.57542,90,-116,-12.4942600321123,-24.9531313963439
1.57542,90,-115,-12.876496307412,-24.9681366719474
1.57542,90,-114,-13.2538243320546,-25.0129638720629
1.57542,90,-113,-13.6206297509793,-25.0882338263041
1.57542,90,-112,-13.9705245781723,-25.194735664429
1.57542,90,-111,-14.2965748276198,-25.3334533578145
1.57542,90,-110,-14.5916877151773,-25.5055977817174
1.57542,90,-109,-14.8491550885146,-25.712646216102
1.57542,90,-108,-15.0633033781446,-25.9563917834165
1.57542,90,-107,-15.2301486363672,-26.2390061805348
1.57542,90,-106,-15.3479211059251,-26.5631203278985
1.57542,90,-105,-15.4173312914649,-26.9319294377476
1.57542,90,-104,-15.441506644305,-27.3493318286668
1.57542,90,-103,-15.4256156317627,-27.8201151339952
1.57542,90,-102,-15.3762761835299,-28.350210286243
1.57542,90,-101,-15.3008850484426,-28.9470443796099
1.57542,90,-100,-15.2069945619059,-29.6200409513228
1.57542,90,-99,-15.1018195840933,-30.3813451941223
1.57542,90,-98,-14.9919053979475,-31.2469005748344
1.57542,90,-97,-14.8829465755083,-32.2380865128086
1.57542,90,-96,-14.7797244748853,-33.3842639432517
1.57542,90,-95,-14.6861248582183,-34.7267692535843
1.57542,90,-94,-14.605200978201,-36.3249630227144
1.57542,90,-93,-14.5392555343453,-38.2634091111621
1.57542,90,-92,-14.489923325241,-40.6460077402497
1.57542,90,-91,-14.4582433952707,-43.469488342686
1.57542,90,-90,-14.4447145191287,-45.8323563046758
1.57542,90,-89,-14.4493312077629,-45.265015452734
1.57542,90,-88,-14.4715995395948,-42.5352122165402
1.57542,90,-87,-14.5105335457041,-39.8408628611927
1.57542,90,-86,-14.5646340893044,-37.6239803298439
1.57542,90,-85,-14.6318536025462,-35.8176368874719
1.57542,90,-84,-14.7095520406524,-34.3207613062326
1.57542,90,-83,-14.7944522548521,-33.0576176432264
1.57542,90,-82,-14.8826067536889,-31.9754983277549
1.57542,90,-81,-14.969392228258,-31.0374985076652
1.57542,90,-80,-15.0495523406349,-30.2171810690247
1.57542,90,-79,-15.1173113203432,-29.4951265463381
1.57542,90,-78,-15.1665782168042,-28.8567328036587
1.57542,90,-77,-15.1912513126926,-28.2907902419987
1.57542,90,-76,-15.1856126281816,-27.7885375684634
1.57542,90,-75,-15.1447756203655,-27.3430205369595
1.57542,90,-74,-15.0651223126965,-26.9486460863542
1.57542,90,-73,-14.9446505732532,-26.6008654940903
1.57542,90,-72,-14.7831586978899,-26.2959446527029
1.57542,90,-71,-14.5822255952857,-26.0307944134849
1.57542,90,-70,-14.3449916235969,-25.8028431246187
1.57542,90,-69,-14.0757899798993,-25.6099392976083
1.57542,90,-68,-13.779705039644,-25.4502760818265
1.57542,90,-67,-13.4621354814586,-25.3223316873734
1.57542,90,-66,-13.1284212617379,-25.224821536543
1.57542,90,-65,-12.7835658499019,-25.156659028671
1.57542,90,-64,-12.4320594268755,-25.1169225490148
1.57542,90,-63,-12.0777911034628,-25.1048268510576
1.57542,90,-62,-11.7240297129764,-25.1196972639092
1.57542,90,-61,-11.3734513542113,-25.1609453670129
1.57542,90,-60,-11.0281946599532,-25.2280448611419
1.57542,90,-59,-10.6899292290266,-25.3205063648751
1.57542,90,-58,-10.3599271742553,-25.4378497902345
1.57542,90,-57,-10.0391315185652,-25.5795728084073
1.57542,90,-56,-9.72821798787446,-25.7451137172345
1.57542,90,-55,-9.42764867026813,-25.9338067861754
1.57542,90,-54,-9.13771722029795,-26.1448279207864
1.57542,90,-53,-8.85858598456286,-26.3771283316789
1.57542,90,-52,-8.590315780278,-26.6293539458958
1.57542,90,-51,-8.33288920090564,-26.8997487871002
1.57542,90,-50,-8.08622834166516,-27.1860418311991
1.57542,90,-49,-7.85020779145888,-27.4853194342997
1.57542,90,-48,-7.6246636626756,-27.793889997846
1.57542,90,-47,-7.40939934756191,-28.107154767624
1.57542,90,-46,-7.20418861078924,-28.4195088931625
1.57542,90,-45,-7.00877655799396,-28.7243093351396
1.57542,90,-44,-6.82287896152077,-29.0139578908294
1.57542,90,-43,-6.6461803775975,-29.2801521446388
1.57542,90,-42,-6.47833145298565,-29.5143449913331
1.57542,90,-41,-6.31894579256199,-29.7084152689936
1.57542,90,-40,-6.16759674072797,-29.855486984349
1.57542,90,-39,-6.02381441711347,-29.9507592244856
1.57542,90,-38,-5.88708333839604,-29.9921586367304
1.57542,90,-37,-5.7568409502835,-29.9806393772836
