Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,-180,4799.65
-179,-180,4798.47
-178,-180,4795.84
-177,-180,4791.74
-176,-180,4786.18
-175,-180,4779.16
-174,-180,4770.69
-173,-180,4760.76
-172,-180,4749.38
-171,-180,4736.56
-170,-180,4722.29
-169,-180,4706.59
-168,-180,4689.45
-167,-180,4670.88
-166,-180,4650.89
-165,-180,4629.49
-164,-180,4606.67
-163,-180,4582.45
-162,-180,4556.83
-161,-180,4529.83
-160,-180,4501.45
-159,-180,4471.69
-158,-180,4440.58
-157,-180,4408.11
-156,-180,4374.29
-155,-180,4339.15
-154,-180,4302.68
-153,-180,4264.91
-152,-180,4225.83
-151,-180,4185.47
-150,-180,4143.83
-149,-180,4100.93
-148,-180,4056.78
-147,-180,4011.39
-146,-180,3964.79
-145,-180,3916.97
-144,-180,3867.96
-143,-180,3817.78
-142,-180,3766.43
-141,-180,3713.93
-140,-180,3660.3
-139,-180,3605.56
-138,-180,3549.72
-137,-180,3492.79
-136,-180,3434.81
-135,-180,3375.78
-134,-180,3315.71
-133,-180,3254.64
-132,-180,3192.58
-131,-180,3129.55
-130,-180,3065.56
-129,-180,3000.64
-128,-180,2934.8
-127,-180,2868.07
-126,-180,2800.47
-125,-180,2732.01
-124,-180,2662.72
-123,-180,2592.62
-122,-180,2521.73
-121,-180,2450.07
-120,-180,2377.67
-119,-180,2304.54
-118,-180,2230.71
-117,-180,2156.2
-116,-180,2081.03
-115,-180,2005.23
-114,-180,1928.82
-113,-180,1851.82
-112,-180,1774.26
-111,-180,1696.16
-110,-180,1617.54
-109,-180,1538.42
-108,-180,1458.84
-107,-180,1378.82
-106,-180,1298.37
-105,-180,1217.53
-104,-180,1136.32
-103,-180,1054.76
-102,-180,972.878
-101,-180,890.702
-100,-180,808.255
-99,-180,725.561
-98,-180,642.647
-97,-180,559.536
-96,-180,476.256
-95,-180,392.83
-94,-180,309.284
-93,-180,225.645
-92,-180,141.936
-91,-180,58.1845
-90,-180,-25.5849
-89,-180,-109.346
-88,-180,-193.075
-87,-180,-276.744
-86,-180,-360.329
-85,-180,-443.805
-84,-180,-527.145
-83,-180,-610.325
-82,-180,-693.318
-81,-180,-776.101
-80,-180,-858.647
-79,-180,-940.932
-78,-180,-1022.93
-77,-180,-1104.62
-76,-180,-1185.97
-75,-180,-1266.95
-74,-180,-1347.56
-73,-180,-1427.75
-72,-180,-1507.51
-71,-180,-1586.8
-70,-180,-1665.62
-69,-180,-1743.93
-68,-180,-1821.7
-67,-180,-1898.92
-66,-180,-1975.57
-65,-180,-2051.61
-64,-180,-2127.02
-63,-180,-2201.79
-62,-180,-2275.89
-61,-180,-2349.29
-60,-180,-2421.98
-59,-180,-2493.93
-58,-180,-2565.13
-57,-180,-2635.54
-56,-180,-2705.14
-55,-180,-2773.93
-54,-180,-2841.86
-53,-180,-2908.94
-52,-180,-2975.12
-51,-180,-3040.4
-50,-180,-3104.76
-49,-180,-3168.16
-48,-180,-3230.61
-47,-180,-3292.07
-46,-180,-3352.52
-45,-180,-3411.96
-44,-180,-3470.35
-43,-180,-3527.69
-42,-180,-3583.96
-41,-180,-3639.13
-40,-180,-3693.19
-39,-180,-3746.13
-38,-180,-3797.93
-37,-180,-3848.57
-36,-180,-3898.04
-35,-180,-3946.32
-34,-180,-3993.4
-33,-180,-4039.26
-32,-180,-4083.89
-31,-180,-4127.28
-30,-180,-4169.41
-29,-180,-4210.27
-28,-180,-4249.85
-27,-180,-4288.14
-26,-180,-4325.11
-25,-180,-4360.77
-24,-180,-4395.11
-23,-180,-4428.1
-22,-180,-4459.74
-21,-180,-4490.03
-20,-180,-4518.95
-19,-180,-4546.49
-18,-180,-4572.65
-17,-180,-4597.41
-16,-180,-4620.77
-15,-180,-4642.73
-14,-180,-4663.27
-13,-180,-4682.39
-12,-180,-4700.09
-11,-180,-4716.35
-10,-180,-4731.18
-9,-180,-4744.56
-8,-180,-4756.5
-7,-180,-4766.99
-6,-180,-4776.03
-5,-180,-4783.62
-4,-180,-4789.75
-3,-180,-4794.41
-2,-180,-4797.62
-1,-180,-4799.37
0,-180,-4799.65
1,-180,-4798.47
2,-180,-4795.84
3,-180,-4791.74
4,-180,-4786.18
5,-180,-4779.16
6,-180,-4770.69
7,-180,-4760.76
8,-180,-4749.38
9,-180,-4736.56
10,-180,-4722.29
11,-180,-4706.59
12,-180,-4689.45
13,-180,-4670.88
14,-180,-4650.89
15,-180,-4629.49
16,-180,-4606.67
17,-180,-4582.45
18,-180,-4556.83
19,-180,-4529.83
20,-180,-4501.45
21,-180,-4471.69
22,-180,-4440.58
23,-180,-4408.11
24,-180,-4374.29
25,-180,-4339.15
26,-180,-4302.68
27,-180,-4264.91
28,-180,-4225.83
29,-180,-4185.47
30,-180,-4143.83
31,-180,-4100.93
32,-180,-4056.78
33,-180,-4011.39
34,-180,-3964.79
35,-180,-3916.97
36,-180,-3867.96
37,-180,-3817.78
38,-180,-3766.43
39,-180,-3713.93
40,-180,-3660.3
41,-180,-3605.56
42,-180,-3549.72
43,-180,-3492.79
44,-180,-3434.81
45,-180,-3375.78
46,-180,-3315.71
47,-180,-3254.64
48,-180,-3192.58
49,-180,-3129.55
50,-180,-3065.56
51,-180,-3000.64
52,-180,-2934.8
53,-180,-2868.07
54,-180,-2800.47
55,-180,-2732.01
56,-180,-2662.72
57,-180,-2592.62
58,-180,-2521.73
59,-180,-2450.07
60,-180,-2377.67
61,-180,-2304.54
62,-180,-2230.71
63,-180,-2156.2
64,-180,-2081.03
65,-180,-2005.23
66,-180,-1928.82
67,-180,-1851.82
68,-180,-1774.26
69,-180,-1696.16
70,-180,-1617.54
71,-180,-1538.42
72,-180,-1458.84
73,-180,-1378.82
74,-180,-1298.37
75,-180,-1217.53
76,-180,-1136.32
77,-180,-1054.76
78,-180,-972.878
79,-180,-890.702
80,-180,-808.255
81,-180,-725.561
82,-180,-642.647
83,-180,-559.536
84,-180,-476.256
85,-180,-392.83
86,-180,-309.284
87,-180,-225.645
88,-180,-141.936
89,-180,-58.1845
90,-180,25.5849
91,-180,109.346
92,-180,193.075
93,-180,276.744
94,-180,360.329
95,-180,443.805
96,-180,527.145
97,-180,610.325
98,-180,693.318
99,-180,776.101
100,-180,858.647
101,-180,940.932
102,-180,1022.93
103,-180,1104.62
104,-180,1185.97
105,-180,1266.95
106,-180,1347.56
107,-180,1427.75
108,-180,1507.51
109,-180,1586.8
110,-180,1665.62
111,-180,1743.93
112,-180,1821.7
113,-180,1898.92
114,-180,1975.57
115,-180,2051.61
116,-180,2127.02
117,-180,2201.79
118,-180,2275.89
119,-180,2349.29
120,-180,2421.98
121,-180,2493.93
122,-180,2565.13
123,-180,2635.54
124,-180,2705.14
125,-180,2773.93
126,-180,2841.86
127,-180,2908.94
128,-180,2975.12
129,-180,3040.4
130,-180,3104.76
131,-180,3168.16
132,-180,3230.61
133,-180,3292.07
134,-180,3352.52
135,-180,3411.96
136,-180,3470.35
137,-180,3527.69
138,-180,3583.96
139,-180,3639.13
140,-180,3693.19
141,-180,3746.13
142,-180,3797.93
143,-180,3848.57
144,-180,3898.04
145,-180,3946.32
146,-180,3993.4
147,-180,4039.26
148,-180,4083.89
149,-180,4127.28
150,-180,4169.41
151,-180,4210.27
152,-180,4249.85
153,-180,4288.14
154,-180,4325.11
155,-180,4360.77
156,-180,4395.11
157,-180,4428.1
158,-180,4459.74
159,-180,4490.03
160,-180,4518.95
161,-180,4546.49
162,-180,4572.65
163,-180,4597.41
164,-180,4620.77
165,-180,4642.73
166,-180,4663.27
167,-180,4682.39
168,-180,4700.09
169,-180,4716.35
170,-180,4731.18
171,-180,4744.56
172,-180,4756.5
173,-180,4766.99
174,-180,4776.03
175,-180,4783.62
176,-180,4789.75
177,-180,4794.41
178,-180,4797.62
179,-180,4799.37
180,-180,4799.65
-180,-179,4802.51
-179,-179,4806.48
-178,-179,4808.98
-177,-179,4810
-176,-179,4809.54
-175,-179,4807.6
-174,-179,4804.16
-173,-179,4799.23
-172,-179,4792.8
-171,-179,4784.87
-170,-179,4775.44
-169,-179,4764.51
-168,-179,4752.07
-167,-179,4738.13
-166,-179,4722.68
-165,-179,4705.73
-164,-179,4687.28
-163,-179,4667.33
-162,-179,4645.88
-161,-179,4622.93
-160,-179,4598.49
-159,-179,4572.56
-158,-179,4545.15
-157,-179,4516.26
-156,-179,4485.89
-155,-179,4454.06
-154,-179,4420.77
-153,-179,4386.02
-152,-179,4349.84
-151,-179,4312.21
-150,-179,4273.16
-149,-179,4232.69
-148,-179,4190.81
-147,-179,4147.54
-146,-179,4102.88
-145,-179,4056.85
-144,-179,4009.46
-143,-179,3960.72
-142,-179,3910.65
-141,-179,3859.26
-140,-179,3806.56
-139,-179,3752.58
-138,-179,3697.32
-137,-179,3640.81
-136,-179,3583.05
-135,-179,3524.07
-134,-179,3463.89
-133,-179,3402.53
-132,-179,3339.99
-131,-179,3276.31
-130,-179,3211.5
-129,-179,3145.59
-128,-179,3078.59
-127,-179,3010.53
-126,-179,2941.42
-125,-179,2871.3
-124,-179,2800.18
-123,-179,2728.09
-122,-179,2655.04
-121,-179,2581.08
-120,-179,2506.21
-119,-179,2430.47
-118,-179,2353.88
-117,-179,2276.47
-116,-179,2198.25
-115,-179,2119.27
-114,-179,2039.55
-113,-179,1959.1
-112,-179,1877.97
-111,-179,1796.18
-110,-179,1713.76
-109,-179,1630.73
-108,-179,1547.13
-107,-179,1462.98
-106,-179,1378.32
-105,-179,1293.16
-104,-179,1207.55
-103,-179,1121.52
-102,-179,1035.08
-101,-179,948.285
-100,-179,861.15
-99,-179,773.709
-98,-179,685.995
-97,-179,598.037
-96,-179,509.867
-95,-179,421.517
-94,-179,333.017
-93,-179,244.399
-92,-179,155.695
-91,-179,66.9353
-90,-179,-21.8478
-89,-179,-110.623
-88,-179,-199.358
-87,-179,-288.023
-86,-179,-376.585
-85,-179,-465.013
-84,-179,-553.276
-83,-179,-641.342
-82,-179,-729.18
-81,-179,-816.76
-80,-179,-904.049
-79,-179,-991.018
-78,-179,-1077.64
-77,-179,-1163.87
-76,-179,-1249.69
-75,-179,-1335.07
-74,-179,-1419.98
-73,-179,-1504.39
-72,-179,-1588.26
-71,-179,-1671.57
-70,-179,-1754.3
-69,-179,-1836.4
-68,-179,-1917.86
-67,-179,-1998.64
-66,-179,-2078.72
-65,-179,-2158.07
-64,-179,-2236.66
-63,-179,-2314.46
-62,-179,-2391.46
-61,-179,-2467.61
-60,-179,-2542.9
-59,-179,-2617.31
-58,-179,-2690.8
-57,-179,-2763.35
-56,-179,-2834.95
-55,-179,-2905.55
-54,-179,-2975.15
