Phi[deg],Theta[deg],im(rETheta)[mV]
-180,-180,-16.276
-179,-180,-143.613
-178,-180,-270.907
-177,-180,-398.117
-176,-180,-525.207
-175,-180,-652.137
-174,-180,-778.868
-173,-180,-905.361
-172,-180,-1031.58
-171,-180,-1157.48
-170,-180,-1283.03
-169,-180,-1408.19
-168,-180,-1532.93
-167,-180,-1657.19
-166,-180,-1780.95
-165,-180,-1904.17
-164,-180,-2026.8
-163,-180,-2148.82
-162,-180,-2270.19
-161,-180,-2390.86
-160,-180,-2510.81
-159,-180,-2629.99
-158,-180,-2748.37
-157,-180,-2865.91
-156,-180,-2982.58
-155,-180,-3098.34
-154,-180,-3213.16
-153,-180,-3327
-152,-180,-3439.82
-151,-180,-3551.6
-150,-180,-3662.29
-149,-180,-3771.87
-148,-180,-3880.3
-147,-180,-3987.55
-146,-180,-4093.58
-145,-180,-4198.37
-144,-180,-4301.88
-143,-180,-4404.08
-142,-180,-4504.93
-141,-180,-4604.42
-140,-180,-4702.5
-139,-180,-4799.15
-138,-180,-4894.34
-137,-180,-4988.03
-136,-180,-5080.21
-135,-180,-5170.84
-134,-180,-5259.89
-133,-180,-5347.34
-132,-180,-5433.17
-131,-180,-5517.34
-130,-180,-5599.82
-129,-180,-5680.61
-128,-180,-5759.66
-127,-180,-5836.95
-126,-180,-5912.47
-125,-180,-5986.19
-124,-180,-6058.09
-123,-180,-6128.13
-122,-180,-6196.32
-121,-180,-6262.61
-120,-180,-6327
-119,-180,-6389.46
-118,-180,-6449.97
-117,-180,-6508.52
-116,-180,-6565.09
-115,-180,-6619.66
-114,-180,-6672.21
-113,-180,-6722.72
-112,-180,-6771.19
-111,-180,-6817.6
-110,-180,-6861.93
-109,-180,-6904.17
-108,-180,-6944.31
-107,-180,-6982.33
-106,-180,-7018.23
-105,-180,-7051.99
-104,-180,-7083.6
-103,-180,-7113.05
-102,-180,-7140.33
-101,-180,-7165.44
-100,-180,-7188.37
-99,-180,-7209.11
-98,-180,-7227.65
-97,-180,-7243.99
-96,-180,-7258.12
-95,-180,-7270.05
-94,-180,-7279.75
-93,-180,-7287.25
-92,-180,-7292.52
-91,-180,-7295.57
-90,-180,-7296.39
-89,-180,-7295
-88,-180,-7291.38
-87,-180,-7285.54
-86,-180,-7277.48
-85,-180,-7267.21
-84,-180,-7254.72
-83,-180,-7240.02
-82,-180,-7223.12
-81,-180,-7204.02
-80,-180,-7182.72
-79,-180,-7159.23
-78,-180,-7133.57
-77,-180,-7105.73
-76,-180,-7075.72
-75,-180,-7043.56
-74,-180,-7009.26
-73,-180,-6972.82
-72,-180,-6934.25
-71,-180,-6893.58
-70,-180,-6850.8
-69,-180,-6805.94
-68,-180,-6759
-67,-180,-6710.01
-66,-180,-6658.97
-65,-180,-6605.9
-64,-180,-6550.82
-63,-180,-6493.74
-62,-180,-6434.69
-61,-180,-6373.68
-60,-180,-6310.72
-59,-180,-6245.85
-58,-180,-6179.07
-57,-180,-6110.41
-56,-180,-6039.88
