Phi[deg],Theta[deg],re(rETheta)[mV]
-180,-180,-3.24957
-179,-180,-3.13566
-178,-180,-3.0208
-177,-180,-2.90502
-176,-180,-2.78835
-175,-180,-2.67084
-174,-180,-2.55251
-173,-180,-2.4334
-172,-180,-2.31355
-171,-180,-2.193
-170,-180,-2.07178
-169,-180,-1.94993
-168,-180,-1.82749
-167,-180,-1.70448
-166,-180,-1.58096
-165,-180,-1.45696
-164,-180,-1.33251
-163,-180,-1.20766
-162,-180,-1.08244
-161,-180,-0.956888
-160,-180,-0.831047
-159,-180,-0.704952
-158,-180,-0.578642
-157,-180,-0.452156
-156,-180,-0.325533
-155,-180,-0.19881
-154,-180,-0.0720267
-153,-180,0.0547785
-152,-180,0.181567
-151,-180,0.3083
-150,-180,0.43494
-149,-180,0.561446
-148,-180,0.687782
-147,-180,0.813909
-146,-180,0.939787
-145,-180,1.06538
-144,-180,1.19065
-143,-180,1.31555
-142,-180,1.44006
-141,-180,1.56412
-140,-180,1.68771
-139,-180,1.81079
-138,-180,1.93331
-137,-180,2.05524
-136,-180,2.17655
-135,-180,2.2972
-134,-180,2.41714
-133,-180,2.53635
-132,-180,2.65479
-131,-180,2.77242
-130,-180,2.8892
-129,-180,3.0051
-128,-180,3.12009
-127,-180,3.23413
-126,-180,3.34718
-125,-180,3.45922
-124,-180,3.5702
-123,-180,3.68009
-122,-180,3.78886
-121,-180,3.89648
-120,-180,4.0029
-119,-180,4.10812
-118,-180,4.21207
-117,-180,4.31475
-116,-180,4.41611
-115,-180,4.51613
-114,-180,4.61477
-113,-180,4.71201
-112,-180,4.8078
-111,-180,4.90214
-110,-180,4.99498
-109,-180,5.0863
-108,-180,5.17607
-107,-180,5.26427
-106,-180,5.35086
-105,-180,5.43582
-104,-180,5.51913
-103,-180,5.60075
-102,-180,5.68067
-101,-180,5.75886
-100,-180,5.83529
-99,-180,5.90995
-98,-180,5.9828
-97,-180,6.05384
-96,-180,6.12302
-95,-180,6.19035
-94,-180,6.25579
-93,-180,6.31932
-92,-180,6.38093
-91,-180,6.44059
-90,-180,6.4983
-89,-180,6.55402
-88,-180,6.60774
-87,-180,6.65946
-86,-180,6.70914
-85,-180,6.75679
-84,-180,6.80237
-83,-180,6.84588
-82,-180,6.88731
-81,-180,6.92663
-80,-180,6.96385
-79,-180,6.99895
-78,-180,7.03191
-77,-180,7.06274
-76,-180,7.09141
