Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,-180,7296.39
-179,-180,7295
-178,-180,7291.38
-177,-180,7285.54
-176,-180,7277.48
-175,-180,7267.21
-174,-180,7254.72
-173,-180,7240.02
-172,-180,7223.12
-171,-180,7204.02
-170,-180,7182.72
-169,-180,7159.23
-168,-180,7133.57
-167,-180,7105.73
-166,-180,7075.72
-165,-180,7043.56
-164,-180,7009.26
-163,-180,6972.82
-162,-180,6934.25
-161,-180,6893.58
-160,-180,6850.8
-159,-180,6805.94
-158,-180,6759
-157,-180,6710.01
-156,-180,6658.97
-155,-180,6605.9
-154,-180,6550.82
-153,-180,6493.74
-152,-180,6434.69
-151,-180,6373.68
-150,-180,6310.72
-149,-180,6245.85
-148,-180,6179.07
-147,-180,6110.41
-146,-180,6039.88
-145,-180,5967.52
-144,-180,5893.34
-143,-180,5817.36
-142,-180,5739.62
-141,-180,5660.12
-140,-180,5578.9
-139,-180,5495.98
-138,-180,5411.39
-137,-180,5325.14
-136,-180,5237.28
-135,-180,5147.82
-134,-180,5056.79
-133,-180,4964.22
-132,-180,4870.14
-131,-180,4774.58
-130,-180,4677.56
-129,-180,4579.12
-128,-180,4479.28
-127,-180,4378.08
-126,-180,4275.54
-125,-180,4171.71
-124,-180,4066.6
-123,-180,3960.25
-122,-180,3852.7
-121,-180,3743.97
-120,-180,3634.1
-119,-180,3523.13
-118,-180,3411.08
-117,-180,3297.99
-116,-180,3183.9
-115,-180,3068.84
-114,-180,2952.84
-113,-180,2835.95
-112,-180,2718.19
-111,-180,2599.6
-110,-180,2480.22
-109,-180,2360.08
-108,-180,2239.23
-107,-180,2117.69
-106,-180,1995.51
-105,-180,1872.72
-104,-180,1749.36
-103,-180,1625.47
-102,-180,1501.09
-101,-180,1376.24
-100,-180,1250.98
-99,-180,1125.33
-98,-180,999.344
-97,-180,873.052
-96,-180,746.494
-95,-180,619.709
-94,-180,492.734
-93,-180,365.61
-92,-180,238.374
-91,-180,111.066
-90,-180,-16.276
-89,-180,-143.613
-88,-180,-270.907
-87,-180,-398.117
-86,-180,-525.207
-85,-180,-652.137
-84,-180,-778.868
-83,-180,-905.361
-82,-180,-1031.58
-81,-180,-1157.48
-80,-180,-1283.03
-79,-180,-1408.19
-78,-180,-1532.93
-77,-180,-1657.19
-76,-180,-1780.95
-75,-180,-1904.17
-74,-180,-2026.8
-73,-180,-2148.82
-72,-180,-2270.19
-71,-180,-2390.86
-70,-180,-2510.81
-69,-180,-2629.99
-68,-180,-2748.37
-67,-180,-2865.91
-66,-180,-2982.58
-65,-180,-3098.34
-64,-180,-3213.16
-63,-180,-3327
-62,-180,-3439.82
-61,-180,-3551.6
-60,-180,-3662.29
-59,-180,-3771.87
-58,-180,-3880.3
-57,-180,-3987.55
-56,-180,-4093.58
-55,-180,-4198.37
-54,-180,-4301.88
-53,-180,-4404.08
-52,-180,-4504.93
-51,-180,-4604.42
-50,-180,-4702.5
-49,-180,-4799.15
-48,-180,-4894.34
-47,-180,-4988.03
-46,-180,-5080.21
-45,-180,-5170.84
-44,-180,-5259.89
-43,-180,-5347.34
-42,-180,-5433.17
-41,-180,-5517.34
-40,-180,-5599.82
-39,-180,-5680.61
-38,-180,-5759.66
-37,-180,-5836.95
-36,-180,-5912.47
-35,-180,-5986.19
-34,-180,-6058.09
-33,-180,-6128.13
-32,-180,-6196.32
-31,-180,-6262.61
-30,-180,-6327
-29,-180,-6389.46
-28,-180,-6449.97
-27,-180,-6508.52
-26,-180,-6565.09
-25,-180,-6619.66
-24,-180,-6672.21
-23,-180,-6722.72
-22,-180,-6771.19
-21,-180,-6817.6
-20,-180,-6861.93
-19,-180,-6904.17
-18,-180,-6944.31
-17,-180,-6982.33
-16,-180,-7018.23
-15,-180,-7051.99
-14,-180,-7083.6
-13,-180,-7113.05
-12,-180,-7140.33
-11,-180,-7165.44
-10,-180,-7188.37
-9,-180,-7209.11
-8,-180,-7227.65
-7,-180,-7243.99
-6,-180,-7258.12
-5,-180,-7270.05
-4,-180,-7279.75
-3,-180,-7287.25
-2,-180,-7292.52
-1,-180,-7295.57
0,-180,-7296.39
1,-180,-7295
2,-180,-7291.38
3,-180,-7285.54
4,-180,-7277.48
5,-180,-7267.21
6,-180,-7254.72
7,-180,-7240.02
8,-180,-7223.12
9,-180,-7204.02
10,-180,-7182.72
11,-180,-7159.23
12,-180,-7133.57
13,-180,-7105.73
14,-180,-7075.72
15,-180,-7043.56
16,-180,-7009.26
17,-180,-6972.82
18,-180,-6934.25
19,-180,-6893.58
20,-180,-6850.8
21,-180,-6805.94
22,-180,-6759
23,-180,-6710.01
24,-180,-6658.97
25,-180,-6605.9
26,-180,-6550.82
27,-180,-6493.74
28,-180,-6434.69
29,-180,-6373.68
30,-180,-6310.72
31,-180,-6245.85
32,-180,-6179.07
33,-180,-6110.41
34,-180,-6039.88
35,-180,-5967.52
36,-180,-5893.34
37,-180,-5817.36
38,-180,-5739.62
39,-180,-5660.12
40,-180,-5578.9
41,-180,-5495.98
42,-180,-5411.39
43,-180,-5325.14
44,-180,-5237.28
45,-180,-5147.82
46,-180,-5056.79
47,-180,-4964.22
48,-180,-4870.14
49,-180,-4774.58
50,-180,-4677.56
51,-180,-4579.12
52,-180,-4479.28
53,-180,-4378.08
54,-180,-4275.54
55,-180,-4171.71
56,-180,-4066.6
57,-180,-3960.25
58,-180,-3852.7
59,-180,-3743.97
60,-180,-3634.1
61,-180,-3523.13
62,-180,-3411.08
63,-180,-3297.99
64,-180,-3183.9
65,-180,-3068.84
66,-180,-2952.84
67,-180,-2835.95
68,-180,-2718.19
69,-180,-2599.6
70,-180,-2480.22
71,-180,-2360.08
72,-180,-2239.23
73,-180,-2117.69
74,-180,-1995.51
75,-180,-1872.72
76,-180,-1749.36
77,-180,-1625.47
78,-180,-1501.09
79,-180,-1376.24
80,-180,-1250.98
81,-180,-1125.33
82,-180,-999.344
83,-180,-873.052
84,-180,-746.494
85,-180,-619.709
86,-180,-492.734
87,-180,-365.61
88,-180,-238.374
89,-180,-111.066
90,-180,16.276
91,-180,143.613
92,-180,270.907
93,-180,398.117
94,-180,525.207
95,-180,652.137
96,-180,778.868
