"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTheta) []","dB(GainPhi) []"
1.57542,90,-180,-6.5974466897519,-42.64360624965
1.57542,90,-179,-6.66173559018438,-42.9627540893185
1.57542,90,-178,-6.71882803659766,-43.3319061693176
1.57542,90,-177,-6.76888151632256,-43.7536669043652
1.57542,90,-176,-6.81206767984705,-44.2310150102999
1.57542,90,-175,-6.84857296976131,-44.7672842654221
1.57542,90,-174,-6.87859956596281,-45.3660799491629
1.57542,90,-173,-6.90236656874293,-46.0310671172763
1.57542,90,-172,-6.92011133219398,-46.7655094902364
1.57542,90,-171,-6.93209085736714,-47.5713310960443
1.57542,90,-170,-6.93858315769062,-48.4472829972617
1.57542,90,-169,-6.93988851779186,-49.3854955540225
1.57542,90,-168,-6.93633058012604,-50.3653600129852
1.57542,90,-167,-6.92825721044553,-51.343869079998
1.57542,90,-166,-6.91604111169451,-52.2441631802414
1.57542,90,-165,-6.90008017485495,-52.952414155917
1.57542,90,-164,-6.88079757314717,-53.3441232379219
1.57542,90,-163,-6.85864162154535,-53.3469521850928
1.57542,90,-162,-6.8340854358567,-52.9909160885641
1.57542,90,-161,-6.80762643405564,-52.3860388805875
1.57542,90,-160,-6.77978572698522,-51.6556254660081
1.57542,90,-159,-6.75110744613542,-50.892345517338
1.57542,90,-158,-6.72215805350199,-50.1514396545467
1.57542,90,-157,-6.69352567327218,-49.4605163382379
1.57542,90,-156,-6.66581947815641,-48.8304862073953
1.57542,90,-155,-6.63966915550035,-48.2631315928367
1.57542,90,-154,-6.61572447071015,-47.7555381805559
1.57542,90,-153,-6.59465493870833,-47.3025013092607
1.57542,90,-152,-6.57714960861269,-46.8977872309655
1.57542,90,-151,-6.56391696288124,-46.5347893939352
1.57542,90,-150,-6.55568492984563,-46.2068829088009
1.57542,90,-149,-6.55320100770596,-45.9076411176274
1.57542,90,-148,-6.55723249832584,-45.6309998881494
1.57542,90,-147,-6.56856685002922,-45.3714102932564
1.57542,90,-146,-6.58801210939233,-45.1239928592643
1.57542,90,-145,-6.61639748194009,-44.8846888753022
1.57542,90,-144,-6.6545739997372,-44.6503934834796
1.57542,90,-143,-6.7034152889475,-44.4190509202677
1.57542,90,-142,-6.76381842106892,-44.1896943310191
1.57542,90,-141,-6.8367048158372,-43.9624201420562
1.57542,90,-140,-6.92302113915698,-43.7382977754573
1.57542,90,-139,-7.02374010227003,-43.5192263208818
1.57542,90,-138,-7.13986101358277,-43.3077575990572
1.57542,90,-137,-7.2724098547535,-43.1069081001657
1.57542,90,-136,-7.42243853704098,-42.919980542408
1.57542,90,-135,-7.59102282688414,-42.7504106745648
1.57542,90,-134,-7.77925818840133,-42.6016484419591
1.57542,90,-133,-7.9882524417903,-42.4770765324152
1.57542,90,-132,-8.21911363249869,-42.3799647224223
1.57542,90,-131,-8.47293077784449,-42.3134557201438
