Phi[deg],Theta[deg],dB(GainTotal)
-180,-180,-6.59637
-179,-180,-6.59637
-178,-180,-6.59637
-177,-180,-6.59637
-176,-180,-6.59637
-175,-180,-6.59637
-174,-180,-6.59637
-173,-180,-6.59637
-172,-180,-6.59637
-171,-180,-6.59637
-170,-180,-6.59637
-169,-180,-6.59637
-168,-180,-6.59637
-167,-180,-6.59637
-166,-180,-6.59637
-165,-180,-6.59637
-164,-180,-6.59637
-163,-180,-6.59637
-162,-180,-6.59637
-161,-180,-6.59637
-160,-180,-6.59637
-159,-180,-6.59637
-158,-180,-6.59637
-157,-180,-6.59637
-156,-180,-6.59637
-155,-180,-6.59637
-154,-180,-6.59637
-153,-180,-6.59637
-152,-180,-6.59637
-151,-180,-6.59637
-150,-180,-6.59637
-149,-180,-6.59637
-148,-180,-6.59637
-147,-180,-6.59637
-146,-180,-6.59637
-145,-180,-6.59637
-144,-180,-6.59637
-143,-180,-6.59637
-142,-180,-6.59637
-141,-180,-6.59637
-140,-180,-6.59637
-139,-180,-6.59637
-138,-180,-6.59637
-137,-180,-6.59637
-136,-180,-6.59637
-135,-180,-6.59637
-134,-180,-6.59637
-133,-180,-6.59637
-132,-180,-6.59637
-131,-180,-6.59637
-130,-180,-6.59637
-129,-180,-6.59637
-128,-180,-6.59637
-127,-180,-6.59637
-126,-180,-6.59637
-125,-180,-6.59637
-124,-180,-6.59637
-123,-180,-6.59637
-122,-180,-6.59637
-121,-180,-6.59637
-120,-180,-6.59637
-119,-180,-6.59637
-118,-180,-6.59637
-117,-180,-6.59637
-116,-180,-6.59637
-115,-180,-6.59637
-114,-180,-6.59637
-113,-180,-6.59637
-112,-180,-6.59637
-111,-180,-6.59637
-110,-180,-6.59637
-109,-180,-6.59637
-108,-180,-6.59637
-107,-180,-6.59637
-106,-180,-6.59637
-105,-180,-6.59637
-104,-180,-6.59637
-103,-180,-6.59637
-102,-180,-6.59637
-101,-180,-6.59637
-100,-180,-6.59637
-99,-180,-6.59637
-98,-180,-6.59637
-97,-180,-6.59637
-96,-180,-6.59637
-95,-180,-6.59637
-94,-180,-6.59637
-93,-180,-6.59637
-92,-180,-6.59637
-91,-180,-6.59637
-90,-180,-6.59637
-89,-180,-6.59637
-88,-180,-6.59637
-87,-180,-6.59637
-86,-180,-6.59637
-85,-180,-6.59637
-84,-180,-6.59637
-83,-180,-6.59637
-82,-180,-6.59637
-81,-180,-6.59637
-80,-180,-6.59637
-79,-180,-6.59637
-78,-180,-6.59637
-77,-180,-6.59637
-76,-180,-6.59637
-75,-180,-6.59637
-74,-180,-6.59637
-73,-180,-6.59637
-72,-180,-6.59637
-71,-180,-6.59637
-70,-180,-6.59637
-69,-180,-6.59637
-68,-180,-6.59637
-67,-180,-6.59637
-66,-180,-6.59637
-65,-180,-6.59637
-64,-180,-6.59637
-63,-180,-6.59637
-62,-180,-6.59637
-61,-180,-6.59637
-60,-180,-6.59637
-59,-180,-6.59637
-58,-180,-6.59637
-57,-180,-6.59637
-56,-180,-6.59637
-55,-180,-6.59637
-54,-180,-6.59637
-53,-180,-6.59637
-52,-180,-6.59637
-51,-180,-6.59637
-50,-180,-6.59637
-49,-180,-6.59637
-48,-180,-6.59637
-47,-180,-6.59637
-46,-180,-6.59637
-45,-180,-6.59637
-44,-180,-6.59637
-43,-180,-6.59637
-42,-180,-6.59637
-41,-180,-6.59637
-40,-180,-6.59637
-39,-180,-6.59637
-38,-180,-6.59637
-37,-180,-6.59637
-36,-180,-6.59637
-35,-180,-6.59637
-34,-180,-6.59637
-33,-180,-6.59637
-32,-180,-6.59637
-31,-180,-6.59637
-30,-180,-6.59637
-29,-180,-6.59637
-28,-180,-6.59637
-27,-180,-6.59637
-26,-180,-6.59637
-25,-180,-6.59637
-24,-180,-6.59637
-23,-180,-6.59637
-22,-180,-6.59637
-21,-180,-6.59637
-20,-180,-6.59637
-19,-180,-6.59637
-18,-180,-6.59637
-17,-180,-6.59637
-16,-180,-6.59637
-15,-180,-6.59637
-14,-180,-6.59637
-13,-180,-6.59637
-12,-180,-6.59637
-11,-180,-6.59637
-10,-180,-6.59637
-9,-180,-6.59637
-8,-180,-6.59637
-7,-180,-6.59637
-6,-180,-6.59637
-5,-180,-6.59637
-4,-180,-6.59637
-3,-180,-6.59637
-2,-180,-6.59637
-1,-180,-6.59637
0,-180,-6.59637
1,-180,-6.59637
2,-180,-6.59637
3,-180,-6.59637
4,-180,-6.59637
5,-180,-6.59637
6,-180,-6.59637
7,-180,-6.59637
8,-180,-6.59637
9,-180,-6.59637
10,-180,-6.59637
11,-180,-6.59637
12,-180,-6.59637
13,-180,-6.59637
14,-180,-6.59637
15,-180,-6.59637
16,-180,-6.59637
17,-180,-6.59637
18,-180,-6.59637
19,-180,-6.59637
20,-180,-6.59637
21,-180,-6.59637
22,-180,-6.59637
23,-180,-6.59637
24,-180,-6.59637
25,-180,-6.59637
26,-180,-6.59637
27,-180,-6.59637
28,-180,-6.59637
29,-180,-6.59637
30,-180,-6.59637
31,-180,-6.59637
32,-180,-6.59637
33,-180,-6.59637
34,-180,-6.59637
35,-180,-6.59637
36,-180,-6.59637
37,-180,-6.59637
38,-180,-6.59637
39,-180,-6.59637
40,-180,-6.59637
41,-180,-6.59637
42,-180,-6.59637
43,-180,-6.59637
44,-180,-6.59637
45,-180,-6.59637
46,-180,-6.59637
47,-180,-6.59637
48,-180,-6.59637
49,-180,-6.59637
50,-180,-6.59637
51,-180,-6.59637
52,-180,-6.59637
53,-180,-6.59637
54,-180,-6.59637
55,-180,-6.59637
56,-180,-6.59637
57,-180,-6.59637
58,-180,-6.59637
59,-180,-6.59637
60,-180,-6.59637
61,-180,-6.59637
62,-180,-6.59637
63,-180,-6.59637
64,-180,-6.59637
65,-180,-6.59637
66,-180,-6.59637
67,-180,-6.59637
68,-180,-6.59637
69,-180,-6.59637
70,-180,-6.59637
71,-180,-6.59637
72,-180,-6.59637
73,-180,-6.59637
74,-180,-6.59637
75,-180,-6.59637
76,-180,-6.59637
77,-180,-6.59637
78,-180,-6.59637
79,-180,-6.59637
80,-180,-6.59637
81,-180,-6.59637
82,-180,-6.59637
83,-180,-6.59637
84,-180,-6.59637
85,-180,-6.59637
86,-180,-6.59637
87,-180,-6.59637
88,-180,-6.59637
89,-180,-6.59637
90,-180,-6.59637
91,-180,-6.59637
92,-180,-6.59637
93,-180,-6.59637
94,-180,-6.59637
95,-180,-6.59637
96,-180,-6.59637
97,-180,-6.59637
98,-180,-6.59637
99,-180,-6.59637
100,-180,-6.59637
101,-180,-6.59637
102,-180,-6.59637
103,-180,-6.59637
104,-180,-6.59637
105,-180,-6.59637
106,-180,-6.59637
107,-180,-6.59637
108,-180,-6.59637
109,-180,-6.59637
110,-180,-6.59637
111,-180,-6.59637
112,-180,-6.59637
113,-180,-6.59637
114,-180,-6.59637
115,-180,-6.59637
116,-180,-6.59637
117,-180,-6.59637
118,-180,-6.59637
119,-180,-6.59637
120,-180,-6.59637
121,-180,-6.59637
122,-180,-6.59637
123,-180,-6.59637
124,-180,-6.59637
125,-180,-6.59637
126,-180,-6.59637
127,-180,-6.59637
128,-180,-6.59637
129,-180,-6.59637
130,-180,-6.59637
131,-180,-6.59637
132,-180,-6.59637
133,-180,-6.59637
134,-180,-6.59637
135,-180,-6.59637
136,-180,-6.59637
137,-180,-6.59637
138,-180,-6.59637
139,-180,-6.59637
140,-180,-6.59637
141,-180,-6.59637
142,-180,-6.59637
143,-180,-6.59637
144,-180,-6.59637
145,-180,-6.59637
146,-180,-6.59637
147,-180,-6.59637
148,-180,-6.59637
149,-180,-6.59637
150,-180,-6.59637
151,-180,-6.59637
152,-180,-6.59637
153,-180,-6.59637
154,-180,-6.59637
155,-180,-6.59637
156,-180,-6.59637
157,-180,-6.59637
158,-180,-6.59637
159,-180,-6.59637
160,-180,-6.59637
161,-180,-6.59637
162,-180,-6.59637
163,-180,-6.59637
164,-180,-6.59637
165,-180,-6.59637
166,-180,-6.59637
167,-180,-6.59637
168,-180,-6.59637
169,-180,-6.59637
170,-180,-6.59637
171,-180,-6.59637
172,-180,-6.59637
173,-180,-6.59637
174,-180,-6.59637
175,-180,-6.59637
176,-180,-6.59637
177,-180,-6.59637
178,-180,-6.59637
179,-180,-6.59637
180,-180,-6.59637
-180,-179,-6.58857
-179,-179,-6.58739
-178,-179,-6.58621
-177,-179,-6.58504
-176,-179,-6.58387
-175,-179,-6.58271
-174,-179,-6.58155
-173,-179,-6.58039
-172,-179,-6.57924
-171,-179,-6.57809
-170,-179,-6.57695
-169,-179,-6.57582
-168,-179,-6.57469
-167,-179,-6.57357
-166,-179,-6.57246
-165,-179,-6.57135
-164,-179,-6.57025
-163,-179,-6.56916
-162,-179,-6.56807
-161,-179,-6.56699
-160,-179,-6.56593
-159,-179,-6.56487
-158,-179,-6.56382
-157,-179,-6.56278
-156,-179,-6.56175
-155,-179,-6.56073
-154,-179,-6.55972
-153,-179,-6.55872
-152,-179,-6.55773
-151,-179,-6.55675
-150,-179,-6.55578
-149,-179,-6.55483
-148,-179,-6.55388
-147,-179,-6.55295
-146,-179,-6.55203
-145,-179,-6.55112
-144,-179,-6.55023
-143,-179,-6.54934
-142,-179,-6.54847
-141,-179,-6.54762
-140,-179,-6.54677
-139,-179,-6.54594
-138,-179,-6.54513
-137,-179,-6.54433
-136,-179,-6.54354
-135,-179,-6.54276
-134,-179,-6.542
-133,-179,-6.54126
-132,-179,-6.54053
-131,-179,-6.53981
-130,-179,-6.53911
-129,-179,-6.53843
-128,-179,-6.53776
-127,-179,-6.5371
-126,-179,-6.53646
-125,-179,-6.53584
-124,-179,-6.53523
-123,-179,-6.53464
-122,-179,-6.53407
-121,-179,-6.53351
-120,-179,-6.53296
-119,-179,-6.53244
-118,-179,-6.53193
-117,-179,-6.53143
-116,-179,-6.53096
-115,-179,-6.5305
-114,-179,-6.53006
-113,-179,-6.52963
-112,-179,-6.52922
-111,-179,-6.52883
-110,-179,-6.52846
-109,-179,-6.5281
-108,-179,-6.52776
-107,-179,-6.52744
-106,-179,-6.52713
-105,-179,-6.52685
-104,-179,-6.52658
-103,-179,-6.52633
-102,-179,-6.52609
-101,-179,-6.52588
-100,-179,-6.52568
-99,-179,-6.5255
-98,-179,-6.52534
-97,-179,-6.52519
-96,-179,-6.52506
-95,-179,-6.52496
-94,-179,-6.52487
-93,-179,-6.52479
-92,-179,-6.52474
-91,-179,-6.52471
-90,-179,-6.52469
-89,-179,-6.52469
-88,-179,-6.52471
-87,-179,-6.52474
-86,-179,-6.5248
-85,-179,-6.52487
-84,-179,-6.52496
-83,-179,-6.52507
-82,-179,-6.5252
-81,-179,-6.52535
-80,-179,-6.52551
-79,-179,-6.5257
-78,-179,-6.5259
-77,-179,-6.52611
-76,-179,-6.52635
-75,-179,-6.52661
-74,-179,-6.52688
-73,-179,-6.52717
-72,-179,-6.52748
-71,-179,-6.5278
-70,-179,-6.52815
-69,-179,-6.52851
-68,-179,-6.52889
-67,-179,-6.52929
-66,-179,-6.5297
-65,-179,-6.53013
-64,-179,-6.53058
-63,-179,-6.53105
-62,-179,-6.53153
-61,-179,-6.53203
-60,-179,-6.53255
-59,-179,-6.53309
-58,-179,-6.53364
-57,-179,-6.53421
-56,-179,-6.53479
-55,-179,-6.53539
-54,-179,-6.53601
-53,-179,-6.53665
-52,-179,-6.5373
-51,-179,-6.53796
-50,-179,-6.53865
-49,-179,-6.53934
-48,-179,-6.54006
-47,-179,-6.54079
-46,-179,-6.54153
-45,-179,-6.54229
-44,-179,-6.54307
-43,-179,-6.54386
-42,-179,-6.54466
-41,-179,-6.54548
-40,-179,-6.54631
-39,-179,-6.54716
-38,-179,-6.54802
-37,-179,-6.54889
-36,-179,-6.54978
-35,-179,-6.55068
-34,-179,-6.5516
-33,-179,-6.55252
-32,-179,-6.55346
-31,-179,-6.55441
-30,-179,-6.55538
-29,-179,-6.55636
-28,-179,-6.55734
-27,-179,-6.55834
-26,-179,-6.55935
-25,-179,-6.56037
-24,-179,-6.56141
-23,-179,-6.56245
-22,-179,-6.5635
-21,-179,-6.56456
-20,-179,-6.56563
-19,-179,-6.56671
-18,-179,-6.5678
-17,-179,-6.5689
-16,-179,-6.57001
-15,-179,-6.57112
-14,-179,-6.57225
-13,-179,-6.57338
-12,-179,-6.57451
-11,-179,-6.57566
-10,-179,-6.57681
-9,-179,-6.57796
-8,-179,-6.57912
-7,-179,-6.58029
-6,-179,-6.58146
-5,-179,-6.58264
-4,-179,-6.58382
-3,-179,-6.58501
-2,-179,-6.5862
-1,-179,-6.58739
0,-179,-6.58858
1,-179,-6.58978
2,-179,-6.59098
3,-179,-6.59218
4,-179,-6.59338
5,-179,-6.59459
6,-179,-6.59579
7,-179,-6.597
8,-179,-6.5982
9,-179,-6.59941
10,-179,-6.60061
11,-179,-6.60181
12,-179,-6.60301
13,-179,-6.60421
14,-179,-6.6054
15,-179,-6.60659
16,-179,-6.60778
17,-179,-6.60897
18,-179,-6.61015
19,-179,-6.61132
20,-179,-6.61249
21,-179,-6.61366
22,-179,-6.61482
23,-179,-6.61597
24,-179,-6.61712
25,-179,-6.61826
26,-179,-6.61939
27,-179,-6.62052
28,-179,-6.62164
29,-179,-6.62274
30,-179,-6.62384
31,-179,-6.62493
32,-179,-6.62601
33,-179,-6.62708
34,-179,-6.62814
35,-179,-6.62919
36,-179,-6.63023
37,-179,-6.63125
38,-179,-6.63227
39,-179,-6.63327
40,-179,-6.63425
41,-179,-6.63523
42,-179,-6.63619
43,-179,-6.63714
44,-179,-6.63807
45,-179,-6.63899
46,-179,-6.63989
47,-179,-6.64078
48,-179,-6.64165
49,-179,-6.64251
50,-179,-6.64335
51,-179,-6.64417
52,-179,-6.64498
53,-179,-6.64577
54,-179,-6.64654
55,-179,-6.64729
56,-179,-6.64803
57,-179,-6.64875
58,-179,-6.64945
59,-179,-6.65013
60,-179,-6.65079
61,-179,-6.65143
62,-179,-6.65205
63,-179,-6.65265
64,-179,-6.65323
65,-179,-6.6538
66,-179,-6.65434
67,-179,-6.65486
68,-179,-6.65535
69,-179,-6.65583
70,-179,-6.65629
71,-179,-6.65672
72,-179,-6.65714
73,-179,-6.65753
74,-179,-6.6579
75,-179,-6.65824
76,-179,-6.65857
77,-179,-6.65887
78,-179,-6.65915
79,-179,-6.65941
80,-179,-6.65964
81,-179,-6.65985
82,-179,-6.66004
83,-179,-6.66021
84,-179,-6.66035
85,-179,-6.66047
86,-179,-6.66056
87,-179,-6.66064
88,-179,-6.66069
89,-179,-6.66071
90,-179,-6.66072
91,-179,-6.6607
92,-179,-6.66066
93,-179,-6.66059
94,-179,-6.6605
95,-179,-6.66039
96,-179,-6.66025
97,-179,-6.66009
98,-179,-6.65991
99,-179,-6.65971
100,-179,-6.65948
101,-179,-6.65923
102,-179,-6.65896
103,-179,-6.65867
104,-179,-6.65835
105,-179,-6.65801
106,-179,-6.65765
107,-179,-6.65727
108,-179,-6.65687
109,-179,-6.65644
110,-179,-6.65599
111,-179,-6.65552
112,-179,-6.65503
113,-179,-6.65452
114,-179,-6.65399
115,-179,-6.65344
116,-179,-6.65287
117,-179,-6.65228
118,-179,-6.65167
119,-179,-6.65104
120,-179,-6.65039
121,-179,-6.64972
122,-179,-6.64903
123,-179,-6.64832
124,-179,-6.6476
125,-179,-6.64686
126,-179,-6.6461
127,-179,-6.64532
128,-179,-6.64453
129,-179,-6.64372
130,-179,-6.64289
131,-179,-6.64205
132,-179,-6.64119
133,-179,-6.64031
134,-179,-6.63943
135,-179,-6.63852
136,-179,-6.6376
137,-179,-6.63667
138,-179,-6.63572
139,-179,-6.63476
140,-179,-6.63379
141,-179,-6.63281
142,-179,-6.63181
143,-179,-6.6308
144,-179,-6.62978
145,-179,-6.62875
146,-179,-6.6277
147,-179,-6.62665
148,-179,-6.62559
149,-179,-6.62451
150,-179,-6.62343
151,-179,-6.62234
152,-179,-6.62124
153,-179,-6.62013
154,-179,-6.61902
155,-179,-6.61789
156,-179,-6.61676
157,-179,-6.61563
158,-179,-6.61449
159,-179,-6.61334
160,-179,-6.61218
161,-179,-6.61102
162,-179,-6.60986
163,-179,-6.60869
164,-179,-6.60752
165,-179,-6.60635
166,-179,-6.60517
167,-179,-6.60399
168,-179,-6.60281
169,-179,-6.60162
170,-179,-6.60043
171,-179,-6.59925
172,-179,-6.59806
173,-179,-6.59687
174,-179,-6.59568
175,-179,-6.59449
176,-179,-6.5933
177,-179,-6.59212
178,-179,-6.59093
179,-179,-6.58975
180,-179,-6.58857
-180,-178,-6.56524
-179,-178,-6.5629
-178,-178,-6.56056
-177,-178,-6.55824
-176,-178,-6.55593
-175,-178,-6.55363
-174,-178,-6.55134
-173,-178,-6.54907
-172,-178,-6.54681
-171,-178,-6.54457
-170,-178,-6.54235
-169,-178,-6.54014
-168,-178,-6.53795
-167,-178,-6.53577
-166,-178,-6.53362
-165,-178,-6.53148
-164,-178,-6.52936
-163,-178,-6.52726
-162,-178,-6.52518
-161,-178,-6.52312
-160,-178,-6.52109
-159,-178,-6.51907
-158,-178,-6.51708
-157,-178,-6.51511
-156,-178,-6.51316
-155,-178,-6.51123
-154,-178,-6.50933
-153,-178,-6.50745
-152,-178,-6.5056
-151,-178,-6.50377
-150,-178,-6.50196
-149,-178,-6.50018
-148,-178,-6.49843
-147,-178,-6.4967
-146,-178,-6.495
-145,-178,-6.49332
-144,-178,-6.49167
-143,-178,-6.49004
-142,-178,-6.48845
-141,-178,-6.48688
-140,-178,-6.48533
-139,-178,-6.48382
-138,-178,-6.48233
-137,-178,-6.48087
-136,-178,-6.47944
-135,-178,-6.47803
-134,-178,-6.47666
-133,-178,-6.47531
-132,-178,-6.47399
-131,-178,-6.4727
-130,-178,-6.47144
-129,-178,-6.47021
-128,-178,-6.46901
-127,-178,-6.46783
-126,-178,-6.46669
-125,-178,-6.46558
-124,-178,-6.46449
-123,-178,-6.46343
-122,-178,-6.46241
-121,-178,-6.46141
-120,-178,-6.46044
-119,-178,-6.45951
-118,-178,-6.4586
-117,-178,-6.45772
-116,-178,-6.45687
-115,-178,-6.45606
-114,-178,-6.45527
-113,-178,-6.45451
-112,-178,-6.45379
-111,-178,-6.45309
-110,-178,-6.45242
-109,-178,-6.45179
-108,-178,-6.45118
-107,-178,-6.45061
-106,-178,-6.45007
-105,-178,-6.44955
-104,-178,-6.44907
-103,-178,-6.44862
-102,-178,-6.4482
-101,-178,-6.44781
-100,-178,-6.44745
-99,-178,-6.44712
-98,-178,-6.44682
-97,-178,-6.44655
-96,-178,-6.44631
-95,-178,-6.44611
-94,-178,-6.44594
-93,-178,-6.44579
-92,-178,-6.44568
-91,-178,-6.4456
-90,-178,-6.44555
-89,-178,-6.44553
-88,-178,-6.44555
-87,-178,-6.44559
-86,-178,-6.44567
-85,-178,-6.44577
-84,-178,-6.44591
-83,-178,-6.44608
-82,-178,-6.44628
-81,-178,-6.44652
-80,-178,-6.44678
-79,-178,-6.44708
-78,-178,-6.44741
-77,-178,-6.44777
-76,-178,-6.44816
-75,-178,-6.44859
-74,-178,-6.44904
-73,-178,-6.44953
-72,-178,-6.45005
-71,-178,-6.4506
-70,-178,-6.45119
-69,-178,-6.4518
-68,-178,-6.45245
-67,-178,-6.45313
-66,-178,-6.45384
-65,-178,-6.45459
-64,-178,-6.45537
-63,-178,-6.45617
-62,-178,-6.45701
-61,-178,-6.45789
-60,-178,-6.45879
-59,-178,-6.45973
-58,-178,-6.4607
-57,-178,-6.4617
-56,-178,-6.46273
-55,-178,-6.46379
-54,-178,-6.46489
-53,-178,-6.46602
-52,-178,-6.46718
-51,-178,-6.46837
-50,-178,-6.46959
-49,-178,-6.47084
-48,-178,-6.47213
-47,-178,-6.47344
-46,-178,-6.47479
-45,-178,-6.47617
-44,-178,-6.47758
-43,-178,-6.47902
-42,-178,-6.48049
-41,-178,-6.48199
-40,-178,-6.48352
-39,-178,-6.48508
-38,-178,-6.48666
-37,-178,-6.48828
-36,-178,-6.48993
-35,-178,-6.49161
-34,-178,-6.49331
-33,-178,-6.49504
-32,-178,-6.4968
-31,-178,-6.49859
-30,-178,-6.50041
-29,-178,-6.50225
-28,-178,-6.50412
-27,-178,-6.50602
-26,-178,-6.50794
-25,-178,-6.50989
-24,-178,-6.51186
-23,-178,-6.51386
-22,-178,-6.51588
-21,-178,-6.51792
-20,-178,-6.51999
-19,-178,-6.52208
-18,-178,-6.52419
-17,-178,-6.52633
-16,-178,-6.52849
-15,-178,-6.53066
-14,-178,-6.53286
-13,-178,-6.53508
-12,-178,-6.53731
-11,-178,-6.53957
-10,-178,-6.54184
-9,-178,-6.54413
-8,-178,-6.54643
-7,-178,-6.54875
-6,-178,-6.55109
-5,-178,-6.55344
-4,-178,-6.5558
-3,-178,-6.55818
-2,-178,-6.56057
-1,-178,-6.56297
0,-178,-6.56538
1,-178,-6.5678
2,-178,-6.57024
3,-178,-6.57267
4,-178,-6.57512
5,-178,-6.57757
6,-178,-6.58003
7,-178,-6.5825
8,-178,-6.58497
9,-178,-6.58744
10,-178,-6.58991
11,-178,-6.59239
12,-178,-6.59487
13,-178,-6.59734
14,-178,-6.59982
15,-178,-6.60229
16,-178,-6.60476
17,-178,-6.60723
18,-178,-6.60969
19,-178,-6.61215
20,-178,-6.6146
21,-178,-6.61704
22,-178,-6.61947
23,-178,-6.6219
24,-178,-6.62431
25,-178,-6.62671
26,-178,-6.6291
27,-178,-6.63148
28,-178,-6.63384
29,-178,-6.63619
30,-178,-6.63852
31,-178,-6.64083
32,-178,-6.64313
33,-178,-6.64541
34,-178,-6.64766
35,-178,-6.6499
36,-178,-6.65211
37,-178,-6.65431
38,-178,-6.65647
39,-178,-6.65862
40,-178,-6.66074
41,-178,-6.66283
42,-178,-6.66489
43,-178,-6.66693
44,-178,-6.66894
45,-178,-6.67091
46,-178,-6.67286
47,-178,-6.67477
48,-178,-6.67666
49,-178,-6.67851
50,-178,-6.68032
51,-178,-6.6821
52,-178,-6.68385
53,-178,-6.68556
54,-178,-6.68723
55,-178,-6.68886
56,-178,-6.69046
57,-178,-6.69202
58,-178,-6.69353
59,-178,-6.69501
60,-178,-6.69644
61,-178,-6.69784
62,-178,-6.69919
63,-178,-6.70049
64,-178,-6.70176
65,-178,-6.70298
