Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,-180,-2422.82
-179,-180,-2423.87
-178,-180,-2424.19
-177,-180,-2423.77
-176,-180,-2422.61
-175,-180,-2420.72
-174,-180,-2418.08
-173,-180,-2414.71
-172,-180,-2410.61
-171,-180,-2405.77
-170,-180,-2400.19
-169,-180,-2393.89
-168,-180,-2386.86
-167,-180,-2379.1
-166,-180,-2370.61
-165,-180,-2361.41
-164,-180,-2351.48
-163,-180,-2340.84
-162,-180,-2329.48
-161,-180,-2317.42
-160,-180,-2304.64
-159,-180,-2291.17
-158,-180,-2277
-157,-180,-2262.13
-156,-180,-2246.58
-155,-180,-2230.34
-154,-180,-2213.43
-153,-180,-2195.83
-152,-180,-2177.57
-151,-180,-2158.65
-150,-180,-2139.07
-149,-180,-2118.83
-148,-180,-2097.96
-147,-180,-2076.44
-146,-180,-2054.29
-145,-180,-2031.51
-144,-180,-2008.12
-143,-180,-1984.11
-142,-180,-1959.5
-141,-180,-1934.29
-140,-180,-1908.5
-139,-180,-1882.12
-138,-180,-1855.17
-137,-180,-1827.65
-136,-180,-1799.58
-135,-180,-1770.96
-134,-180,-1741.8
-133,-180,-1712.1
-132,-180,-1681.89
-131,-180,-1651.17
-130,-180,-1619.94
-129,-180,-1588.22
-128,-180,-1556.01
-127,-180,-1523.33
-126,-180,-1490.19
-125,-180,-1456.59
-124,-180,-1422.55
-123,-180,-1388.07
-122,-180,-1353.18
-121,-180,-1317.87
-120,-180,-1282.16
-119,-180,-1246.06
-118,-180,-1209.57
-117,-180,-1172.72
-116,-180,-1135.52
-115,-180,-1097.97
-114,-180,-1060.08
-113,-180,-1021.87
-112,-180,-983.348
-111,-180,-944.527
-110,-180,-905.419
-109,-180,-866.034
-108,-180,-826.386
-107,-180,-786.487
-106,-180,-746.347
-105,-180,-705.981
-104,-180,-665.399
-103,-180,-624.614
-102,-180,-583.64
-101,-180,-542.487
-100,-180,-501.17
-99,-180,-459.699
-98,-180,-418.089
-97,-180,-376.351
-96,-180,-334.499
-95,-180,-292.545
-94,-180,-250.501
-93,-180,-208.381
-92,-180,-166.198
-91,-180,-123.965
