"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainTheta) []","dB(GainPhi) []"
1.57542,90,-180,-7.99167372930733,-32.3579786814873
1.57542,90,-179,-8.33023069976823,-32.3339095196603
1.57542,90,-178,-8.68032563171547,-32.3250158509571
1.57542,90,-177,-9.0428646815571,-32.3330302935269
1.57542,90,-176,-9.41880360291607,-32.3595241228608
1.57542,90,-175,-9.80914757284441,-32.4059193998152
1.57542,90,-174,-10.2149497324509,-32.4734983507352
1.57542,90,-173,-10.6373076743133,-32.5634083033111
1.57542,90,-172,-11.0773567333373,-32.6766604193927
1.57542,90,-171,-11.5362583860597,-32.8141202020861
1.57542,90,-170,-12.0151812529896,-32.9764872659075
1.57542,90,-169,-12.5152710097857,-33.1642611199869
1.57542,90,-168,-13.0376037769267,-33.3776887051222
1.57542,90,-167,-13.5831150455917,-33.6166881533296
1.57542,90,-166,-14.1524926253128,-33.8807417871002
1.57542,90,-165,-14.7460171741514,-34.1687500001368
1.57542,90,-164,-15.3633274573028,-34.4788369613564
1.57542,90,-163,-16.0030800241817,-34.80810028642
1.57542,90,-162,-16.6624665282548,-35.1523021789107
1.57542,90,-161,-17.3365520881335,-35.5055127259468
1.57542,90,-160,-18.0174177078527,-35.8597420425503
1.57542,90,-159,-18.6931531658158,-36.2046414201663
1.57542,90,-158,-19.3468897690665,-36.5274134780294
1.57542,90,-157,-19.9563115868773,-36.8131302921654
1.57542,90,-156,-20.4943869112624,-37.0456711448138
1.57542,90,-155,-20.9321684140387,-37.209387564084
1.57542,90,-154,-21.2439552983648,-37.2913344489453
1.57542,90,-153,-21.4136434317812,-37.2835382942021
1.57542,90,-152,-21.4395098930622,-37.1845356697471
1.57542,90,-151,-21.3347478281968,-36.9995633922613
1.57542,90,-150,-21.1234220319189,-36.7393216204969
1.57542,90,-149,-20.8341786109776,-36.4178244941083
1.57542,90,-148,-20.4946466102457,-36.0501111493519
1.57542,90,-147,-20.1280961921681,-35.6504277716601
1.57542,90,-146,-19.7523092788244,-35.231129013051
1.57542,90,-145,-19.3798618422046,-34.8022413895965
1.57542,90,-144,-19.0190224358469,-34.3714885957904
1.57542,90,-143,-18.6747622915251,-33.9445695611177
1.57542,90,-142,-18.3496428481102,-33.525533083016
1.57542,90,-141,-18.0445119282579,-33.1171549862471
1.57542,90,-140,-17.759017480397,-32.7212717733743
1.57542,90,-139,-17.4919746424204,-32.3390547750741
1.57542,90,-138,-17.2416250326494,-31.9712247849914
1.57542,90,-137,-17.0058215596516,-31.6182142252649
1.57542,90,-136,-16.7821644672557,-31.2802860551484
1.57542,90,-135,-16.5681073361726,-30.9576184526036
1.57542,90,-134,-16.3610459804996,-30.650363181301
1.57542,90,-133,-16.1583985236657,-30.3586842039325
1.57542,90,-132,-15.9576811636216,-30.082781820566
1.57542,90,-131,-15.7565810468171,-29.8229065016506
1.57542,90,-130,-15.5530251972477,-29.5793656637073
1.57542,90,-129,-15.3452426423499,-29.3525258832567
1.57542,90,-128,-15.1318158582718,-29.1428124353701
1.57542,90,-127,-14.9117175237219,-28.9507075540646
1.57542,90,-126,-14.6843293275674,-28.7767484240408
1.57542,90,-125,-14.4494410733848,-28.6215256125739
1.57542,90,-124,-14.2072302658974,-28.4856824251479
1.57542,90,-123,-13.9582243576884,-28.3699155088101
1.57542,90,-122,-13.7032494909558,-28.2749769244612
1.57542,90,-121,-13.4433706015436,-28.2016778556011
1.57542,90,-120,-13.1798280396788,-28.1508941097448
1.57542,90,-119,-12.9139754557675,-28.1235735946506
1.57542,90,-118,-12.6472227828268,-28.1207460114879
1.57542,90,-117,-12.3809869625065,-28.1435351004947
1.57542,90,-116,-12.1166518432957,-28.193173904177
1.57542,90,-115,-11.8555376050438,-28.2710236855306
1.57542,90,-114,-11.5988792354213,-28.3785973665054
1.57542,90,-113,-11.3478130327339,-28.5175886550248
1.57542,90,-112,-11.1033698149234,-28.6899084382117
1.57542,90,-111,-10.8664734265858,-28.8977305820353
1.57542,90,-110,-10.637943194388,-29.1435500647212
1.57542,90,-109,-10.4184991297953,-29.430257492255
1.57542,90,-108,-10.2087688704148,-29.7612356686863
1.57542,90,-107,-10.0092955541462,-30.1404862885732
1.57542,90,-106,-9.82054601220601,-30.5727984103644
1.57542,90,-105,-9.64291883609703,-31.0639758493892
1.57542,90,-104,-9.47675201478583,-31.6211491310404
1.57542,90,-103,-9.32232995137093,-32.2532110330651
1.57542,90,-102,-9.17988975560537,-32.9714360434403
1.57542,90,-101,-9.04962677331231,-33.7903778843151
1.57542,90,-100,-8.93169935989153,-34.7291912777125
1.57542,90,-99,-8.82623293650668,-35.8135945628666
1.57542,90,-98,-8.73332338749436,-37.078736758659
1.57542,90,-97,-8.65303986884727,-38.5729868120653
1.57542,90,-96,-8.58542710255957,-40.3606685651189
1.57542,90,-95,-8.53050723196167,-42.5101717536046
1.57542,90,-94,-8.48828131026411,-44.9915077252337
1.57542,90,-93,-8.45873048937783,-47.1809474566214
1.57542,90,-92,-8.44181696939722,-47.3021397971115
1.57542,90,-91,-8.43748476141531,-45.2231167342362
1.57542,90,-90,-8.44566030791138,-42.74523319894
1.57542,90,-89,-8.46625299600669,-40.5818716745331
1.57542,90,-88,-8.49915558953481,-38.7837116093993
1.57542,90,-87,-8.54424459618047,-37.2839468058532
1.57542,90,-86,-8.60138057594233,-36.0168975326897
1.57542,90,-85,-8.67040838692434,-34.9328006361807
1.57542,90,-84,-8.75115735404447,-33.9954498630367
1.57542,90,-83,-8.84344133582834,-33.1783661044623
1.57542,90,-82,-8.947058654282,-32.4618499510995
1.57542,90,-81,-9.06179184328946,-31.8309573268953
1.57542,90,-80,-9.18740716258342,-31.2741364671715
1.57542,90,-79,-9.32365381779018,-30.7823036830979
1.57542,90,-78,-9.47026282324579,-30.3482065784985
1.57542,90,-77,-9.6269454443212,-29.9659770789307
1.57542,90,-76,-9.79339116119652,-29.6308117244486
1.57542,90,-75,-9.96926510792133,-29.3387387968106
1.57542,90,-74,-10.1542049609016,-29.0864457503803
1.57542,90,-73,-10.3478172815145,-28.8711492315112
1.57542,90,-72,-10.5496733602411,-28.690495643691
1.57542,90,-71,-10.759304666239,-28.5424839246263
1.57542,90,-70,-10.9761980779379,-28.4254046653422
1.57542,90,-69,-11.1997911574449,-28.3377913624658
1.57542,90,-68,-11.4294678332423,-28.2783807289131
1.57542,90,-67,-11.6645549685698,-28.2460797696109
1.57542,90,-66,-11.9043204104793,-28.2399378694926
1.57542,90,-65,-12.1479732261505,-28.2591225134088
1.57542,90,-64,-12.3946669228642,-28.3028975093895
1.57542,90,-63,-12.6435064949147,-28.3706027494013
1.57542,90,-62,-12.8935601189311,-28.4616346364093
