Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,-180,6742.52
-179,-180,6740.13
-178,-180,6735.69
-177,-180,6729.2
-176,-180,6720.65
-175,-180,6710.06
-174,-180,6697.43
-173,-180,6682.76
-172,-180,6666.05
-171,-180,6647.31
-170,-180,6626.54
-169,-180,6603.76
-168,-180,6578.96
-167,-180,6552.16
-166,-180,6523.37
-165,-180,6492.59
-164,-180,6459.83
-163,-180,6425.1
-162,-180,6388.41
-161,-180,6349.78
-160,-180,6309.22
-159,-180,6266.73
-158,-180,6222.34
-157,-180,6176.04
-156,-180,6127.87
-155,-180,6077.83
-154,-180,6025.94
-153,-180,5972.22
-152,-180,5916.67
-151,-180,5859.33
-150,-180,5800.19
-149,-180,5739.29
-148,-180,5676.65
-147,-180,5612.27
-146,-180,5546.18
-145,-180,5478.41
-144,-180,5408.97
-143,-180,5337.87
-142,-180,5265.16
-141,-180,5190.83
-140,-180,5114.93
-139,-180,5037.47
-138,-180,4958.48
-137,-180,4877.97
-136,-180,4795.98
-135,-180,4712.53
-134,-180,4627.64
-133,-180,4541.34
-132,-180,4453.66
-131,-180,4364.62
-130,-180,4274.26
-129,-180,4182.59
-128,-180,4089.65
-127,-180,3995.46
-126,-180,3900.05
-125,-180,3803.46
-124,-180,3705.7
-123,-180,3606.82
-122,-180,3506.84
-121,-180,3405.8
-120,-180,3303.71
-119,-180,3200.62
-118,-180,3096.55
-117,-180,2991.54
-116,-180,2885.62
-115,-180,2778.82
-114,-180,2671.17
-113,-180,2562.71
-112,-180,2453.47
-111,-180,2343.48
-110,-180,2232.78
-109,-180,2121.4
-108,-180,2009.37
-107,-180,1896.73
-106,-180,1783.51
-105,-180,1669.75
-104,-180,1555.48
-103,-180,1440.74
-102,-180,1325.55
-101,-180,1209.97
-100,-180,1094.01
-99,-180,977.724
-98,-180,861.137
-97,-180,744.289
-96,-180,627.213
-95,-180,509.947
-94,-180,392.525
-93,-180,274.984
-92,-180,157.359
-91,-180,39.686
-90,-180,-77.999
-89,-180,-195.66
-88,-180,-313.262
-87,-180,-430.768
-86,-180,-548.143
-85,-180,-665.351
-84,-180,-782.357
-83,-180,-899.124
-82,-180,-1015.62
-81,-180,-1131.8
-80,-180,-1247.64
-79,-180,-1363.1
-78,-180,-1478.14
-77,-180,-1592.74
-76,-180,-1706.85
-75,-180,-1820.43
-74,-180,-1933.47
-73,-180,-2045.91
-72,-180,-2157.73
-71,-180,-2268.9
-70,-180,-2379.37
-69,-180,-2489.12
-68,-180,-2598.11
-67,-180,-2706.31
-66,-180,-2813.69
-65,-180,-2920.2
-64,-180,-3025.83
-63,-180,-3130.54
-62,-180,-3234.29
-61,-180,-3337.06
-60,-180,-3438.81
-59,-180,-3539.51
-58,-180,-3639.14
-57,-180,-3737.65
