Phi[deg],Theta[deg],im(rETheta)[mV]
-180,-180,-77.999
-179,-180,-195.66
-178,-180,-313.262
-177,-180,-430.768
-176,-180,-548.143
-175,-180,-665.351
-174,-180,-782.357
-173,-180,-899.124
-172,-180,-1015.62
-171,-180,-1131.8
-170,-180,-1247.64
-169,-180,-1363.1
-168,-180,-1478.14
-167,-180,-1592.74
-166,-180,-1706.85
-165,-180,-1820.43
-164,-180,-1933.47
-163,-180,-2045.91
-162,-180,-2157.73
-161,-180,-2268.9
-160,-180,-2379.37
-159,-180,-2489.12
-158,-180,-2598.11
-157,-180,-2706.31
-156,-180,-2813.69
-155,-180,-2920.2
-154,-180,-3025.83
-153,-180,-3130.54
-152,-180,-3234.29
-151,-180,-3337.06
-150,-180,-3438.81
-149,-180,-3539.51
-148,-180,-3639.14
-147,-180,-3737.65
-146,-180,-3835.03
-145,-180,-3931.24
-144,-180,-4026.26
-143,-180,-4120.04
-142,-180,-4212.57
-141,-180,-4303.82
-140,-180,-4393.76
-139,-180,-4482.36
-138,-180,-4569.59
-137,-180,-4655.43
-136,-180,-4739.85
-135,-180,-4822.83
-134,-180,-4904.34
-133,-180,-4984.36
-132,-180,-5062.86
-131,-180,-5139.82
-130,-180,-5215.21
-129,-180,-5289.01
-128,-180,-5361.2
-127,-180,-5431.76
-126,-180,-5500.66
-125,-180,-5567.89
-124,-180,-5633.42
-123,-180,-5697.23
-122,-180,-5759.31
-121,-180,-5819.64
-120,-180,-5878.19
-119,-180,-5934.95
-118,-180,-5989.91
-117,-180,-6043.04
-116,-180,-6094.33
-115,-180,-6143.76
-114,-180,-6191.32
-113,-180,-6237
-112,-180,-6280.77
-111,-180,-6322.64
-110,-180,-6362.57
-109,-180,-6400.57
-108,-180,-6436.62
-107,-180,-6470.71
-106,-180,-6502.82
-105,-180,-6532.96
-104,-180,-6561.11
-103,-180,-6587.25
-102,-180,-6611.4
-101,-180,-6633.52
-100,-180,-6653.63
-99,-180,-6671.71
-98,-180,-6687.76
-97,-180,-6701.77
-96,-180,-6713.74
-95,-180,-6723.66
-94,-180,-6731.54
-93,-180,-6737.36
-92,-180,-6741.13
-91,-180,-6742.85
-90,-180,-6742.52
-89,-180,-6740.13
-88,-180,-6735.69
-87,-180,-6729.2
-86,-180,-6720.65
-85,-180,-6710.06
-84,-180,-6697.43
-83,-180,-6682.76
-82,-180,-6666.05
-81,-180,-6647.31
-80,-180,-6626.54
-79,-180,-6603.76
-78,-180,-6578.96
-77,-180,-6552.16
-76,-180,-6523.37
-75,-180,-6492.59
-74,-180,-6459.83
-73,-180,-6425.1
-72,-180,-6388.41
-71,-180,-6349.78
-70,-180,-6309.22
-69,-180,-6266.73
-68,-180,-6222.34
-67,-180,-6176.04
-66,-180,-6127.87
-65,-180,-6077.83
-64,-180,-6025.94
-63,-180,-5972.22
-62,-180,-5916.67
-61,-180,-5859.33
-60,-180,-5800.19
-59,-180,-5739.29
-58,-180,-5676.65
-57,-180,-5612.27
-56,-180,-5546.18
-55,-180,-5478.41
-54,-180,-5408.97
-53,-180,-5337.87
-52,-180,-5265.16
-51,-180,-5190.83
-50,-180,-5114.93
-49,-180,-5037.47
-48,-180,-4958.48
-47,-180,-4877.97
-46,-180,-4795.98
-45,-180,-4712.53
-44,-180,-4627.64
-43,-180,-4541.34
-42,-180,-4453.66
-41,-180,-4364.62
-40,-180,-4274.26
-39,-180,-4182.59
-38,-180,-4089.65
-37,-180,-3995.46
-36,-180,-3900.05
-35,-180,-3803.46
-34,-180,-3705.7
-33,-180,-3606.82
-32,-180,-3506.84
-31,-180,-3405.8
-30,-180,-3303.71
-29,-180,-3200.62
-28,-180,-3096.55
-27,-180,-2991.54
-26,-180,-2885.62
-25,-180,-2778.82
-24,-180,-2671.17
-23,-180,-2562.71
-22,-180,-2453.47
-21,-180,-2343.48
-20,-180,-2232.78
-19,-180,-2121.4
-18,-180,-2009.37
-17,-180,-1896.73
-16,-180,-1783.51
-15,-180,-1669.75
-14,-180,-1555.48
-13,-180,-1440.74
-12,-180,-1325.55
-11,-180,-1209.97
-10,-180,-1094.01
-9,-180,-977.724
-8,-180,-861.137
-7,-180,-744.289
-6,-180,-627.213
-5,-180,-509.947
-4,-180,-392.525
-3,-180,-274.984
-2,-180,-157.359
-1,-180,-39.686
0,-180,77.999
1,-180,195.66
2,-180,313.262
3,-180,430.768
4,-180,548.143
5,-180,665.351
6,-180,782.357
