Phi[deg],Theta[deg],re(rETheta)[mV]
-180,-180,-81.693
-179,-180,-39.3966
-178,-180,2.91186
-177,-180,45.2194
-176,-180,87.5132
-175,-180,129.78
-174,-180,172.008
-173,-180,214.183
-172,-180,256.293
-171,-180,298.325
-170,-180,340.266
-169,-180,382.103
-168,-180,423.824
-167,-180,465.416
-166,-180,506.866
-165,-180,548.162
-164,-180,589.291
-163,-180,630.24
-162,-180,670.997
-161,-180,711.55
-160,-180,751.886
-159,-180,791.993
-158,-180,831.859
-157,-180,871.471
-156,-180,910.818
-155,-180,949.888
-154,-180,988.668
-153,-180,1027.15
-152,-180,1065.31
-151,-180,1103.15
-150,-180,1140.66
-149,-180,1177.82
-148,-180,1214.62
-147,-180,1251.05
-146,-180,1287.1
-145,-180,1322.75
-144,-180,1358.01
-143,-180,1392.84
-142,-180,1427.26
-141,-180,1461.24
-140,-180,1494.78
-139,-180,1527.86
-138,-180,1560.47
-137,-180,1592.61
-136,-180,1624.27
-135,-180,1655.42
-134,-180,1686.08
-133,-180,1716.22
-132,-180,1745.84
-131,-180,1774.93
-130,-180,1803.47
-129,-180,1831.47
-128,-180,1858.91
-127,-180,1885.78
-126,-180,1912.08
-125,-180,1937.8
-124,-180,1962.92
-123,-180,1987.45
-122,-180,2011.37
-121,-180,2034.68
-120,-180,2057.37
-119,-180,2079.44
-118,-180,2100.87
-117,-180,2121.66
-116,-180,2141.8
-115,-180,2161.29
-114,-180,2180.13
-113,-180,2198.29
-112,-180,2215.79
-111,-180,2232.62
-110,-180,2248.76
-109,-180,2264.22
-108,-180,2278.99
-107,-180,2293.07
-106,-180,2306.44
-105,-180,2319.12
-104,-180,2331.09
-103,-180,2342.34
-102,-180,2352.89
-101,-180,2362.72
-100,-180,2371.82
-99,-180,2380.21
-98,-180,2387.87
-97,-180,2394.8
-96,-180,2401.01
-95,-180,2406.48
-94,-180,2411.22
-93,-180,2415.22
-92,-180,2418.49
-91,-180,2421.02
-90,-180,2422.82
-89,-180,2423.87
-88,-180,2424.19
-87,-180,2423.77
-86,-180,2422.61
-85,-180,2420.72
-84,-180,2418.08
-83,-180,2414.71
-82,-180,2410.61
-81,-180,2405.77
-80,-180,2400.19
-79,-180,2393.89
-78,-180,2386.86
-77,-180,2379.1
-76,-180,2370.61
-75,-180,2361.41
-74,-180,2351.48
-73,-180,2340.84
-72,-180,2329.48
-71,-180,2317.42
-70,-180,2304.64
-69,-180,2291.17
-68,-180,2277
-67,-180,2262.13
-66,-180,2246.58
-65,-180,2230.34
-64,-180,2213.43
-63,-180,2195.83
-62,-180,2177.57
-61,-180,2158.65
-60,-180,2139.07
-59,-180,2118.83
-58,-180,2097.96
-57,-180,2076.44
-56,-180,2054.29
-55,-180,2031.51
-54,-180,2008.12
-53,-180,1984.11
-52,-180,1959.5
-51,-180,1934.29
-50,-180,1908.5
-49,-180,1882.12
-48,-180,1855.17
-47,-180,1827.65
-46,-180,1799.58
-45,-180,1770.96
-44,-180,1741.8
-43,-180,1712.1
-42,-180,1681.89
-41,-180,1651.17
-40,-180,1619.94
-39,-180,1588.22
-38,-180,1556.01
-37,-180,1523.33
-36,-180,1490.19
-35,-180,1456.59
-34,-180,1422.55
-33,-180,1388.07
-32,-180,1353.18
-31,-180,1317.87
-30,-180,1282.16
-29,-180,1246.06
-28,-180,1209.57
-27,-180,1172.72
-26,-180,1135.52
-25,-180,1097.97
-24,-180,1060.08
-23,-180,1021.87
-22,-180,983.348
-21,-180,944.527
-20,-180,905.419
-19,-180,866.034
-18,-180,826.386
-17,-180,786.487
-16,-180,746.347
-15,-180,705.981
-14,-180,665.399
-13,-180,624.614
-12,-180,583.64
-11,-180,542.487
-10,-180,501.17
-9,-180,459.699
-8,-180,418.089
-7,-180,376.351
-6,-180,334.499
-5,-180,292.545
-4,-180,250.501
-3,-180,208.381
-2,-180,166.198
-1,-180,123.965
0,-180,81.693
1,-180,39.3966
2,-180,-2.91186
3,-180,-45.2194
4,-180,-87.5132
5,-180,-129.78
6,-180,-172.008
7,-180,-214.183
8,-180,-256.293
9,-180,-298.325
10,-180,-340.266
11,-180,-382.103
12,-180,-423.824
13,-180,-465.416
14,-180,-506.866
15,-180,-548.162
16,-180,-589.291
17,-180,-630.24
18,-180,-670.997
19,-180,-711.55
20,-180,-751.886
21,-180,-791.993
22,-180,-831.859
23,-180,-871.471
24,-180,-910.818
25,-180,-949.888
26,-180,-988.668
27,-180,-1027.15
28,-180,-1065.31
29,-180,-1103.15
30,-180,-1140.66
31,-180,-1177.82
32,-180,-1214.62
33,-180,-1251.05
34,-180,-1287.1
35,-180,-1322.75
36,-180,-1358.01
37,-180,-1392.84
38,-180,-1427.26
39,-180,-1461.24
40,-180,-1494.78
41,-180,-1527.86
42,-180,-1560.47
43,-180,-1592.61
44,-180,-1624.27
45,-180,-1655.42
46,-180,-1686.08
47,-180,-1716.22
48,-180,-1745.84
49,-180,-1774.93
50,-180,-1803.47
51,-180,-1831.47
52,-180,-1858.91
53,-180,-1885.78
54,-180,-1912.08
55,-180,-1937.8
56,-180,-1962.92
57,-180,-1987.45
58,-180,-2011.37
59,-180,-2034.68
60,-180,-2057.37
61,-180,-2079.44
62,-180,-2100.87
63,-180,-2121.66
64,-180,-2141.8
65,-180,-2161.29
66,-180,-2180.13
67,-180,-2198.29
68,-180,-2215.79
69,-180,-2232.62
70,-180,-2248.76
71,-180,-2264.22
72,-180,-2278.99
73,-180,-2293.07
74,-180,-2306.44
75,-180,-2319.12
76,-180,-2331.09
77,-180,-2342.34
78,-180,-2352.89
79,-180,-2362.72
80,-180,-2371.82
81,-180,-2380.21
82,-180,-2387.87
83,-180,-2394.8
84,-180,-2401.01
85,-180,-2406.48
86,-180,-2411.22
87,-180,-2415.22
88,-180,-2418.49
89,-180,-2421.02
90,-180,-2422.82
91,-180,-2423.87
92,-180,-2424.19
93,-180,-2423.77
94,-180,-2422.61
95,-180,-2420.72
96,-180,-2418.08
97,-180,-2414.71
98,-180,-2410.61
99,-180,-2405.77
100,-180,-2400.19
101,-180,-2393.89
102,-180,-2386.86
103,-180,-2379.1
104,-180,-2370.61
105,-180,-2361.41
106,-180,-2351.48
107,-180,-2340.84
108,-180,-2329.48
109,-180,-2317.42
110,-180,-2304.64
111,-180,-2291.17
112,-180,-2277
113,-180,-2262.13
114,-180,-2246.58
115,-180,-2230.34
116,-180,-2213.43
117,-180,-2195.83
118,-180,-2177.57
119,-180,-2158.65
120,-180,-2139.07
121,-180,-2118.83
122,-180,-2097.96
123,-180,-2076.44
124,-180,-2054.29
125,-180,-2031.51
126,-180,-2008.12
127,-180,-1984.11
128,-180,-1959.5
129,-180,-1934.29
130,-180,-1908.5
131,-180,-1882.12
132,-180,-1855.17
133,-180,-1827.65
134,-180,-1799.58
135,-180,-1770.96
136,-180,-1741.8
137,-180,-1712.1
138,-180,-1681.89
139,-180,-1651.17
140,-180,-1619.94
141,-180,-1588.22
142,-180,-1556.01
143,-180,-1523.33
144,-180,-1490.19
145,-180,-1456.59
146,-180,-1422.55
147,-180,-1388.07
148,-180,-1353.18
149,-180,-1317.87
150,-180,-1282.16
151,-180,-1246.06
152,-180,-1209.57
153,-180,-1172.72
154,-180,-1135.52
155,-180,-1097.97
156,-180,-1060.08
157,-180,-1021.87
158,-180,-983.348
159,-180,-944.527
160,-180,-905.419
161,-180,-866.034
162,-180,-826.386
163,-180,-786.487
164,-180,-746.347
165,-180,-705.981
166,-180,-665.399
167,-180,-624.614
168,-180,-583.64
169,-180,-542.487
170,-180,-501.17
171,-180,-459.699
172,-180,-418.089
173,-180,-376.351
174,-180,-334.499
175,-180,-292.545
176,-180,-250.501
177,-180,-208.381
178,-180,-166.198
179,-180,-123.965
180,-180,-81.693
-180,-179,83.2923
-179,-179,125.649
-178,-179,168.031
-177,-179,210.424
-176,-179,252.816
-175,-179,295.194
-174,-179,337.544
-173,-179,379.852
-172,-179,422.106
-171,-179,464.293
-170,-179,506.399
-169,-179,548.411
-168,-179,590.317
-167,-179,632.102
-166,-179,673.754
-165,-179,715.26
-164,-179,756.606
-163,-179,797.781
-162,-179,838.771
-161,-179,879.562
-160,-179,920.144
-159,-179,960.502
-158,-179,1000.62
-157,-179,1040.5
-156,-179,1080.11
-155,-179,1119.45
-154,-179,1158.5
-153,-179,1197.26
-152,-179,1235.71
-151,-179,1273.83
-150,-179,1311.63
-149,-179,1349.07
-148,-179,1386.16
-147,-179,1422.88
-146,-179,1459.23
-145,-179,1495.18
-144,-179,1530.72
-143,-179,1565.86
-142,-179,1600.57
-141,-179,1634.85
-140,-179,1668.68
-139,-179,1702.05
-138,-179,1734.96
-137,-179,1767.4
-136,-179,1799.34
-135,-179,1830.79
-134,-179,1861.74
-133,-179,1892.17
-132,-179,1922.07
-131,-179,1951.45
-130,-179,1980.28
-129,-179,2008.55
-128,-179,2036.27
-127,-179,2063.42
-126,-179,2089.99
-125,-179,2115.98
-124,-179,2141.38
-123,-179,2166.17
-122,-179,2190.36
-121,-179,2213.93
-120,-179,2236.88
-119,-179,2259.2
-118,-179,2280.88
-117,-179,2301.92
-116,-179,2322.32
-115,-179,2342.05
-114,-179,2361.13
-113,-179,2379.53
-112,-179,2397.27
-111,-179,2414.32
-110,-179,2430.7
