Phi[deg],Theta[deg],dB(GainTotal)
-180,-180,-6.40401
-179,-180,-6.40401
-178,-180,-6.40401
-177,-180,-6.40401
-176,-180,-6.40401
-175,-180,-6.40401
-174,-180,-6.40401
-173,-180,-6.40401
-172,-180,-6.40401
-171,-180,-6.40401
-170,-180,-6.40401
-169,-180,-6.40401
-168,-180,-6.40401
-167,-180,-6.40401
-166,-180,-6.40401
-165,-180,-6.40401
-164,-180,-6.40401
-163,-180,-6.40401
-162,-180,-6.40401
-161,-180,-6.40401
-160,-180,-6.40401
-159,-180,-6.40401
-158,-180,-6.40401
-157,-180,-6.40401
-156,-180,-6.40401
-155,-180,-6.40401
-154,-180,-6.40401
-153,-180,-6.40401
-152,-180,-6.40401
-151,-180,-6.40401
-150,-180,-6.40401
-149,-180,-6.40401
-148,-180,-6.40401
-147,-180,-6.40401
-146,-180,-6.40401
-145,-180,-6.40401
-144,-180,-6.40401
-143,-180,-6.40401
-142,-180,-6.40401
-141,-180,-6.40401
-140,-180,-6.40401
-139,-180,-6.40401
-138,-180,-6.40401
-137,-180,-6.40401
-136,-180,-6.40401
-135,-180,-6.40401
-134,-180,-6.40401
-133,-180,-6.40401
-132,-180,-6.40401
-131,-180,-6.40401
-130,-180,-6.40401
-129,-180,-6.40401
-128,-180,-6.40401
-127,-180,-6.40401
-126,-180,-6.40401
-125,-180,-6.40401
-124,-180,-6.40401
-123,-180,-6.40401
-122,-180,-6.40401
-121,-180,-6.40401
-120,-180,-6.40401
-119,-180,-6.40401
-118,-180,-6.40401
-117,-180,-6.40401
-116,-180,-6.40401
-115,-180,-6.40401
-114,-180,-6.40401
-113,-180,-6.40401
-112,-180,-6.40401
-111,-180,-6.40401
-110,-180,-6.40401
-109,-180,-6.40401
-108,-180,-6.40401
-107,-180,-6.40401
-106,-180,-6.40401
-105,-180,-6.40401
-104,-180,-6.40401
-103,-180,-6.40401
-102,-180,-6.40401
-101,-180,-6.40401
-100,-180,-6.40401
-99,-180,-6.40401
-98,-180,-6.40401
-97,-180,-6.40401
-96,-180,-6.40401
-95,-180,-6.40401
-94,-180,-6.40401
-93,-180,-6.40401
-92,-180,-6.40401
-91,-180,-6.40401
-90,-180,-6.40401
-89,-180,-6.40401
-88,-180,-6.40401
-87,-180,-6.40401
-86,-180,-6.40401
-85,-180,-6.40401
-84,-180,-6.40401
-83,-180,-6.40401
-82,-180,-6.40401
-81,-180,-6.40401
-80,-180,-6.40401
-79,-180,-6.40401
-78,-180,-6.40401
-77,-180,-6.40401
-76,-180,-6.40401
-75,-180,-6.40401
-74,-180,-6.40401
-73,-180,-6.40401
-72,-180,-6.40401
-71,-180,-6.40401
-70,-180,-6.40401
-69,-180,-6.40401
-68,-180,-6.40401
-67,-180,-6.40401
-66,-180,-6.40401
-65,-180,-6.40401
-64,-180,-6.40401
-63,-180,-6.40401
-62,-180,-6.40401
-61,-180,-6.40401
-60,-180,-6.40401
-59,-180,-6.40401
-58,-180,-6.40401
-57,-180,-6.40401
-56,-180,-6.40401
-55,-180,-6.40401
-54,-180,-6.40401
-53,-180,-6.40401
-52,-180,-6.40401
-51,-180,-6.40401
-50,-180,-6.40401
-49,-180,-6.40401
-48,-180,-6.40401
-47,-180,-6.40401
-46,-180,-6.40401
-45,-180,-6.40401
-44,-180,-6.40401
-43,-180,-6.40401
-42,-180,-6.40401
-41,-180,-6.40401
-40,-180,-6.40401
-39,-180,-6.40401
-38,-180,-6.40401
-37,-180,-6.40401
-36,-180,-6.40401
-35,-180,-6.40401
-34,-180,-6.40401
-33,-180,-6.40401
-32,-180,-6.40401
-31,-180,-6.40401
-30,-180,-6.40401
-29,-180,-6.40401
-28,-180,-6.40401
-27,-180,-6.40401
-26,-180,-6.40401
-25,-180,-6.40401
-24,-180,-6.40401
-23,-180,-6.40401
-22,-180,-6.40401
-21,-180,-6.40401
-20,-180,-6.40401
-19,-180,-6.40401
-18,-180,-6.40401
-17,-180,-6.40401
-16,-180,-6.40401
-15,-180,-6.40401
-14,-180,-6.40401
-13,-180,-6.40401
-12,-180,-6.40401
-11,-180,-6.40401
-10,-180,-6.40401
-9,-180,-6.40401
-8,-180,-6.40401
-7,-180,-6.40401
-6,-180,-6.40401
-5,-180,-6.40401
-4,-180,-6.40401
-3,-180,-6.40401
-2,-180,-6.40401
-1,-180,-6.40401
0,-180,-6.40401
1,-180,-6.40401
2,-180,-6.40401
3,-180,-6.40401
4,-180,-6.40401
5,-180,-6.40401
6,-180,-6.40401
7,-180,-6.40401
8,-180,-6.40401
9,-180,-6.40401
10,-180,-6.40401
11,-180,-6.40401
12,-180,-6.40401
13,-180,-6.40401
14,-180,-6.40401
15,-180,-6.40401
16,-180,-6.40401
17,-180,-6.40401
18,-180,-6.40401
19,-180,-6.40401
20,-180,-6.40401
21,-180,-6.40401
