Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,-180,4448.18
-179,-180,4447.64
-178,-180,4445.73
-177,-180,4442.48
-176,-180,4437.87
-175,-180,4431.91
-174,-180,4424.6
-173,-180,4415.94
-172,-180,4405.94
-171,-180,4394.59
-170,-180,4381.91
-169,-180,4367.89
-168,-180,4352.54
-167,-180,4335.86
-166,-180,4317.87
-165,-180,4298.56
-164,-180,4277.94
-163,-180,4256.01
-162,-180,4232.79
-161,-180,4208.28
-160,-180,4182.49
-159,-180,4155.42
-158,-180,4127.09
-157,-180,4097.5
-156,-180,4066.67
-155,-180,4034.59
-154,-180,4001.29
-153,-180,3966.77
-152,-180,3931.03
-151,-180,3894.11
-150,-180,3855.99
-149,-180,3816.7
-148,-180,3776.25
-147,-180,3734.65
-146,-180,3691.91
-145,-180,3648.04
-144,-180,3603.06
-143,-180,3556.99
-142,-180,3509.83
-141,-180,3461.61
-140,-180,3412.33
-139,-180,3362.01
-138,-180,3310.66
-137,-180,3258.31
-136,-180,3204.97
-135,-180,3150.64
-134,-180,3095.36
-133,-180,3039.14
-132,-180,2981.99
-131,-180,2923.93
-130,-180,2864.98
-129,-180,2805.16
-128,-180,2744.49
-127,-180,2682.97
-126,-180,2620.65
-125,-180,2557.52
-124,-180,2493.61
-123,-180,2428.95
-122,-180,2363.54
-121,-180,2297.41
-120,-180,2230.59
-119,-180,2163.08
-118,-180,2094.92
-117,-180,2026.12
-116,-180,1956.7
-115,-180,1886.68
-114,-180,1816.09
-113,-180,1744.95
-112,-180,1673.27
-111,-180,1601.09
-110,-180,1528.42
-109,-180,1455.28
-108,-180,1381.7
-107,-180,1307.7
-106,-180,1233.3
-105,-180,1158.52
-104,-180,1083.39
-103,-180,1007.93
-102,-180,932.167
-101,-180,856.118
-100,-180,779.807
-99,-180,703.259
-98,-180,626.497
-97,-180,549.543
-96,-180,472.423
-95,-180,395.158
-94,-180,317.773
-93,-180,240.292
-92,-180,162.737
-91,-180,85.1326
-90,-180,7.50222
-89,-180,-70.1304
-88,-180,-147.742
-87,-180,-225.308
-86,-180,-302.806
-85,-180,-380.211
-84,-180,-457.501
-83,-180,-534.651
-82,-180,-611.638
-81,-180,-688.439
-80,-180,-765.031
-79,-180,-841.389
-78,-180,-917.491
-77,-180,-993.313
-76,-180,-1068.83
-75,-180,-1144.03
-74,-180,-1218.87
-73,-180,-1293.35
-72,-180,-1367.43
-71,-180,-1441.09
-70,-180,-1514.32
-69,-180,-1587.08
-68,-180,-1659.36
-67,-180,-1731.14
-66,-180,-1802.39
-65,-180,-1873.08
-64,-180,-1943.21
-63,-180,-2012.75
-62,-180,-2081.67
-61,-180,-2149.96
-60,-180,-2217.59
-59,-180,-2284.55
-58,-180,-2350.82
-57,-180,-2416.36
-56,-180,-2481.17
-55,-180,-2545.23
-54,-180,-2608.51
-53,-180,-2670.99
-52,-180,-2732.66
-51,-180,-2793.5
-50,-180,-2853.49
-49,-180,-2912.61
-48,-180,-2970.84
-47,-180,-3028.17
-46,-180,-3084.57
-45,-180,-3140.03
-44,-180,-3194.54
-43,-180,-3248.08
-42,-180,-3300.62
-41,-180,-3352.16
-40,-180,-3402.68
-39,-180,-3452.17
-38,-180,-3500.6
-37,-180,-3547.96
-36,-180,-3594.25
-35,-180,-3639.43
-34,-180,-3683.52
-33,-180,-3726.47
-32,-180,-3768.3
-31,-180,-3808.97
-30,-180,-3848.49
-29,-180,-3886.83
-28,-180,-3923.99
-27,-180,-3959.95
-26,-180,-3994.71
-25,-180,-4028.25
-24,-180,-4060.57
-23,-180,-4091.64
-22,-180,-4121.47
-21,-180,-4150.05
-20,-180,-4177.36
-19,-180,-4203.4
-18,-180,-4228.15
-17,-180,-4251.62
-16,-180,-4273.8
-15,-180,-4294.67
-14,-180,-4314.24
-13,-180,-4332.49
-12,-180,-4349.42
-11,-180,-4365.03
-10,-180,-4379.3
-9,-180,-4392.24
-8,-180,-4403.85
-7,-180,-4414.11
-6,-180,-4423.03
-5,-180,-4430.6
-4,-180,-4436.82
-3,-180,-4441.69
-2,-180,-4445.21
-1,-180,-4447.37
0,-180,-4448.18
1,-180,-4447.64
2,-180,-4445.73
3,-180,-4442.48
4,-180,-4437.87
5,-180,-4431.91
6,-180,-4424.6
7,-180,-4415.94
8,-180,-4405.94
9,-180,-4394.59
10,-180,-4381.91
11,-180,-4367.89
12,-180,-4352.54
13,-180,-4335.86
14,-180,-4317.87
15,-180,-4298.56
16,-180,-4277.94
17,-180,-4256.01
18,-180,-4232.79
19,-180,-4208.28
20,-180,-4182.49
21,-180,-4155.42
22,-180,-4127.09
23,-180,-4097.5
24,-180,-4066.67
25,-180,-4034.59
26,-180,-4001.29
27,-180,-3966.77
28,-180,-3931.03
29,-180,-3894.11
30,-180,-3855.99
31,-180,-3816.7
32,-180,-3776.25
33,-180,-3734.65
34,-180,-3691.91
35,-180,-3648.04
36,-180,-3603.06
37,-180,-3556.99
38,-180,-3509.83
39,-180,-3461.61
40,-180,-3412.33
41,-180,-3362.01
42,-180,-3310.66
43,-180,-3258.31
44,-180,-3204.97
45,-180,-3150.64
46,-180,-3095.36
47,-180,-3039.14
48,-180,-2981.99
49,-180,-2923.93
50,-180,-2864.98
51,-180,-2805.16
52,-180,-2744.49
53,-180,-2682.97
54,-180,-2620.65
55,-180,-2557.52
56,-180,-2493.61
57,-180,-2428.95
58,-180,-2363.54
59,-180,-2297.41
60,-180,-2230.59
61,-180,-2163.08
62,-180,-2094.92
63,-180,-2026.12
64,-180,-1956.7
65,-180,-1886.68
66,-180,-1816.09
67,-180,-1744.95
68,-180,-1673.27
69,-180,-1601.09
70,-180,-1528.42
71,-180,-1455.28
72,-180,-1381.7
73,-180,-1307.7
74,-180,-1233.3
75,-180,-1158.52
76,-180,-1083.39
77,-180,-1007.93
78,-180,-932.167
79,-180,-856.118
80,-180,-779.807
81,-180,-703.259
82,-180,-626.497
83,-180,-549.543
84,-180,-472.423
85,-180,-395.158
86,-180,-317.773
87,-180,-240.292
88,-180,-162.737
89,-180,-85.1326
90,-180,-7.50222
91,-180,70.1304
92,-180,147.742
93,-180,225.308
94,-180,302.806
95,-180,380.211
96,-180,457.501
97,-180,534.651
98,-180,611.638
99,-180,688.439
100,-180,765.031
101,-180,841.389
102,-180,917.491
103,-180,993.313
104,-180,1068.83
105,-180,1144.03
106,-180,1218.87
107,-180,1293.35
108,-180,1367.43
109,-180,1441.09
110,-180,1514.32
111,-180,1587.08
112,-180,1659.36
113,-180,1731.14
114,-180,1802.39
115,-180,1873.08
116,-180,1943.21
117,-180,2012.75
118,-180,2081.67
119,-180,2149.96
120,-180,2217.59
121,-180,2284.55
122,-180,2350.82
123,-180,2416.36
124,-180,2481.17
125,-180,2545.23
126,-180,2608.51
127,-180,2670.99
128,-180,2732.66
129,-180,2793.5
130,-180,2853.49
131,-180,2912.61
132,-180,2970.84
