Phi[deg],Theta[deg],im(rETheta)[mV]
-180,-180,-25.5849
-179,-180,-109.346
-178,-180,-193.075
-177,-180,-276.744
-176,-180,-360.329
-175,-180,-443.805
-174,-180,-527.145
-173,-180,-610.325
-172,-180,-693.318
-171,-180,-776.101
-170,-180,-858.647
-169,-180,-940.932
-168,-180,-1022.93
-167,-180,-1104.62
-166,-180,-1185.97
-165,-180,-1266.95
-164,-180,-1347.56
-163,-180,-1427.75
-162,-180,-1507.51
-161,-180,-1586.8
-160,-180,-1665.62
-159,-180,-1743.93
-158,-180,-1821.7
-157,-180,-1898.92
-156,-180,-1975.57
-155,-180,-2051.61
-154,-180,-2127.02
-153,-180,-2201.79
-152,-180,-2275.89
-151,-180,-2349.29
-150,-180,-2421.98
-149,-180,-2493.93
-148,-180,-2565.13
-147,-180,-2635.54
-146,-180,-2705.14
-145,-180,-2773.93
-144,-180,-2841.86
-143,-180,-2908.94
-142,-180,-2975.12
-141,-180,-3040.4
-140,-180,-3104.76
-139,-180,-3168.16
-138,-180,-3230.61
-137,-180,-3292.07
-136,-180,-3352.52
-135,-180,-3411.96
-134,-180,-3470.35
-133,-180,-3527.69
-132,-180,-3583.96
-131,-180,-3639.13
-130,-180,-3693.19
-129,-180,-3746.13
-128,-180,-3797.93
-127,-180,-3848.57
-126,-180,-3898.04
-125,-180,-3946.32
-124,-180,-3993.4
-123,-180,-4039.26
-122,-180,-4083.89
-121,-180,-4127.28
-120,-180,-4169.41
-119,-180,-4210.27
-118,-180,-4249.85
-117,-180,-4288.14
-116,-180,-4325.11
-115,-180,-4360.77
-114,-180,-4395.11
-113,-180,-4428.1
-112,-180,-4459.74
-111,-180,-4490.03
-110,-180,-4518.95
-109,-180,-4546.49
-108,-180,-4572.65
-107,-180,-4597.41
-106,-180,-4620.77
-105,-180,-4642.73
-104,-180,-4663.27
-103,-180,-4682.39
-102,-180,-4700.09
-101,-180,-4716.35
-100,-180,-4731.18
-99,-180,-4744.56
-98,-180,-4756.5
-97,-180,-4766.99
-96,-180,-4776.03
-95,-180,-4783.62
-94,-180,-4789.75
-93,-180,-4794.41
-92,-180,-4797.62
-91,-180,-4799.37
-90,-180,-4799.65
-89,-180,-4798.47
-88,-180,-4795.84
-87,-180,-4791.74
-86,-180,-4786.18
-85,-180,-4779.16
-84,-180,-4770.69
-83,-180,-4760.76
-82,-180,-4749.38
-81,-180,-4736.56
-80,-180,-4722.29
-79,-180,-4706.59
-78,-180,-4689.45
-77,-180,-4670.88
-76,-180,-4650.89
-75,-180,-4629.49
-74,-180,-4606.67
-73,-180,-4582.45
-72,-180,-4556.83
-71,-180,-4529.83
-70,-180,-4501.45
-69,-180,-4471.69
-68,-180,-4440.58
-67,-180,-4408.11
-66,-180,-4374.29
-65,-180,-4339.15
-64,-180,-4302.68
-63,-180,-4264.91
-62,-180,-4225.83
-61,-180,-4185.47
-60,-180,-4143.83
-59,-180,-4100.93
-58,-180,-4056.78
-57,-180,-4011.39
-56,-180,-3964.79
-55,-180,-3916.97
-54,-180,-3867.96
-53,-180,-3817.78
-52,-180,-3766.43
-51,-180,-3713.93
-50,-180,-3660.3
-49,-180,-3605.56
-48,-180,-3549.72
-47,-180,-3492.79
-46,-180,-3434.81
-45,-180,-3375.78
-44,-180,-3315.71
-43,-180,-3254.64
-42,-180,-3192.58
-41,-180,-3129.55
-40,-180,-3065.56
-39,-180,-3000.64
-38,-180,-2934.8
-37,-180,-2868.07
-36,-180,-2800.47
-35,-180,-2732.01
-34,-180,-2662.72
-33,-180,-2592.62
-32,-180,-2521.73
-31,-180,-2450.07
-30,-180,-2377.67
-29,-180,-2304.54
-28,-180,-2230.71
-27,-180,-2156.2
-26,-180,-2081.03
-25,-180,-2005.23
-24,-180,-1928.82
-23,-180,-1851.82
-22,-180,-1774.26
-21,-180,-1696.16
-20,-180,-1617.54
-19,-180,-1538.42
-18,-180,-1458.84
-17,-180,-1378.82
-16,-180,-1298.37
-15,-180,-1217.53
-14,-180,-1136.32
-13,-180,-1054.76
-12,-180,-972.878
-11,-180,-890.702
-10,-180,-808.255
-9,-180,-725.561
-8,-180,-642.647
-7,-180,-559.536
-6,-180,-476.256
-5,-180,-392.83
-4,-180,-309.284
-3,-180,-225.645
-2,-180,-141.936
-1,-180,-58.1845
0,-180,25.5849
1,-180,109.346
2,-180,193.075
3,-180,276.744
4,-180,360.329
5,-180,443.805
6,-180,527.145
7,-180,610.325
8,-180,693.318
9,-180,776.101
10,-180,858.647
11,-180,940.932
12,-180,1022.93
13,-180,1104.62
14,-180,1185.97
15,-180,1266.95
16,-180,1347.56
17,-180,1427.75
18,-180,1507.51
19,-180,1586.8
20,-180,1665.62
21,-180,1743.93
22,-180,1821.7
23,-180,1898.92
24,-180,1975.57
25,-180,2051.61
26,-180,2127.02
27,-180,2201.79
28,-180,2275.89
29,-180,2349.29
30,-180,2421.98
31,-180,2493.93
32,-180,2565.13
33,-180,2635.54
34,-180,2705.14
35,-180,2773.93
36,-180,2841.86
37,-180,2908.94
38,-180,2975.12
39,-180,3040.4
40,-180,3104.76
41,-180,3168.16
42,-180,3230.61
43,-180,3292.07
44,-180,3352.52
45,-180,3411.96
46,-180,3470.35
47,-180,3527.69
48,-180,3583.96
49,-180,3639.13
50,-180,3693.19
51,-180,3746.13
52,-180,3797.93
53,-180,3848.57
54,-180,3898.04
55,-180,3946.32
56,-180,3993.4
57,-180,4039.26
58,-180,4083.89
59,-180,4127.28
60,-180,4169.41
61,-180,4210.27
62,-180,4249.85
63,-180,4288.14
64,-180,4325.11
65,-180,4360.77
66,-180,4395.11
67,-180,4428.1
68,-180,4459.74
69,-180,4490.03
70,-180,4518.95
71,-180,4546.49
72,-180,4572.65
73,-180,4597.41
74,-180,4620.77
75,-180,4642.73
76,-180,4663.27
77,-180,4682.39
78,-180,4700.09
79,-180,4716.35
80,-180,4731.18
81,-180,4744.56
82,-180,4756.5
83,-180,4766.99
84,-180,4776.03
85,-180,4783.62
86,-180,4789.75
87,-180,4794.41
88,-180,4797.62
89,-180,4799.37
90,-180,4799.65
91,-180,4798.47
92,-180,4795.84
93,-180,4791.74
94,-180,4786.18
95,-180,4779.16
96,-180,4770.69
97,-180,4760.76
98,-180,4749.38
99,-180,4736.56
100,-180,4722.29
101,-180,4706.59
102,-180,4689.45
103,-180,4670.88
104,-180,4650.89
105,-180,4629.49
106,-180,4606.67
107,-180,4582.45
108,-180,4556.83
109,-180,4529.83
110,-180,4501.45
111,-180,4471.69
112,-180,4440.58
113,-180,4408.11
114,-180,4374.29
115,-180,4339.15
116,-180,4302.68
117,-180,4264.91
118,-180,4225.83
119,-180,4185.47
120,-180,4143.83
121,-180,4100.93
122,-180,4056.78
123,-180,4011.39
124,-180,3964.79
125,-180,3916.97
126,-180,3867.96
127,-180,3817.78
128,-180,3766.43
129,-180,3713.93
130,-180,3660.3
131,-180,3605.56
132,-180,3549.72
133,-180,3492.79
134,-180,3434.81
135,-180,3375.78
136,-180,3315.71
137,-180,3254.64
138,-180,3192.58
139,-180,3129.55
140,-180,3065.56
141,-180,3000.64
142,-180,2934.8
143,-180,2868.07
144,-180,2800.47
145,-180,2732.01
146,-180,2662.72
147,-180,2592.62
148,-180,2521.73
149,-180,2450.07
150,-180,2377.67
151,-180,2304.54
152,-180,2230.71
153,-180,2156.2
154,-180,2081.03
155,-180,2005.23
156,-180,1928.82
157,-180,1851.82
158,-180,1774.26
159,-180,1696.16
160,-180,1617.54
161,-180,1538.42
162,-180,1458.84
163,-180,1378.82
164,-180,1298.37
165,-180,1217.53
166,-180,1136.32
167,-180,1054.76
168,-180,972.878
169,-180,890.702
170,-180,808.255
171,-180,725.561
172,-180,642.647
173,-180,559.536
174,-180,476.256
175,-180,392.83
176,-180,309.284
177,-180,225.645
178,-180,141.936
179,-180,58.1845
180,-180,-25.5849
-180,-179,-49.7168
-179,-179,-133.616
-178,-179,-217.662
-177,-179,-301.827
-176,-179,-386.087
-175,-179,-470.413
-174,-179,-554.781
-173,-179,-639.163
-172,-179,-723.531
-171,-179,-807.859
-170,-179,-892.12
-169,-179,-976.286
-168,-179,-1060.33
-167,-179,-1144.22
-166,-179,-1227.94
-165,-179,-1311.45
-164,-179,-1394.73
-163,-179,-1477.75
-162,-179,-1560.47
-161,-179,-1642.88
-160,-179,-1724.95
-159,-179,-1806.64
