Phi[deg],Theta[deg],re(rETheta)[mV]
-180,-180,7.50222
-179,-180,-70.1304
-178,-180,-147.742
-177,-180,-225.308
-176,-180,-302.806
-175,-180,-380.211
-174,-180,-457.501
-173,-180,-534.651
-172,-180,-611.638
-171,-180,-688.439
-170,-180,-765.031
-169,-180,-841.389
-168,-180,-917.491
-167,-180,-993.313
-166,-180,-1068.83
-165,-180,-1144.03
-164,-180,-1218.87
-163,-180,-1293.35
-162,-180,-1367.43
-161,-180,-1441.09
-160,-180,-1514.32
-159,-180,-1587.08
-158,-180,-1659.36
-157,-180,-1731.14
-156,-180,-1802.39
-155,-180,-1873.08
-154,-180,-1943.21
-153,-180,-2012.75
-152,-180,-2081.67
-151,-180,-2149.96
-150,-180,-2217.59
-149,-180,-2284.55
-148,-180,-2350.82
-147,-180,-2416.36
-146,-180,-2481.17
-145,-180,-2545.23
-144,-180,-2608.51
-143,-180,-2670.99
-142,-180,-2732.66
-141,-180,-2793.5
-140,-180,-2853.49
-139,-180,-2912.61
-138,-180,-2970.84
-137,-180,-3028.17
-136,-180,-3084.57
-135,-180,-3140.03
-134,-180,-3194.54
-133,-180,-3248.08
-132,-180,-3300.62
-131,-180,-3352.16
-130,-180,-3402.68
-129,-180,-3452.17
-128,-180,-3500.6
-127,-180,-3547.96
-126,-180,-3594.25
-125,-180,-3639.43
-124,-180,-3683.52
-123,-180,-3726.47
-122,-180,-3768.3
-121,-180,-3808.97
-120,-180,-3848.49
-119,-180,-3886.83
-118,-180,-3923.99
-117,-180,-3959.95
-116,-180,-3994.71
-115,-180,-4028.25
-114,-180,-4060.57
-113,-180,-4091.64
-112,-180,-4121.47
-111,-180,-4150.05
-110,-180,-4177.36
-109,-180,-4203.4
-108,-180,-4228.15
-107,-180,-4251.62
-106,-180,-4273.8
-105,-180,-4294.67
-104,-180,-4314.24
-103,-180,-4332.49
-102,-180,-4349.42
-101,-180,-4365.03
-100,-180,-4379.3
-99,-180,-4392.24
-98,-180,-4403.85
-97,-180,-4414.11
-96,-180,-4423.03
-95,-180,-4430.6
-94,-180,-4436.82
-93,-180,-4441.69
-92,-180,-4445.21
-91,-180,-4447.37
-90,-180,-4448.18
-89,-180,-4447.64
-88,-180,-4445.73
-87,-180,-4442.48
-86,-180,-4437.87
-85,-180,-4431.91
-84,-180,-4424.6
-83,-180,-4415.94
-82,-180,-4405.94
-81,-180,-4394.59
-80,-180,-4381.91
-79,-180,-4367.89
-78,-180,-4352.54
-77,-180,-4335.86
-76,-180,-4317.87
-75,-180,-4298.56
-74,-180,-4277.94
-73,-180,-4256.01
-72,-180,-4232.79
-71,-180,-4208.28
-70,-180,-4182.49
-69,-180,-4155.42
-68,-180,-4127.09
-67,-180,-4097.5
-66,-180,-4066.67
-65,-180,-4034.59
-64,-180,-4001.29
-63,-180,-3966.77
-62,-180,-3931.03
-61,-180,-3894.11
-60,-180,-3855.99
-59,-180,-3816.7
-58,-180,-3776.25
-57,-180,-3734.65
-56,-180,-3691.91
-55,-180,-3648.04
-54,-180,-3603.06
-53,-180,-3556.99
-52,-180,-3509.83
-51,-180,-3461.61
-50,-180,-3412.33
-49,-180,-3362.01
-48,-180,-3310.66
-47,-180,-3258.31
-46,-180,-3204.97
-45,-180,-3150.64
-44,-180,-3095.36
-43,-180,-3039.14
-42,-180,-2981.99
-41,-180,-2923.93
-40,-180,-2864.98
-39,-180,-2805.16
-38,-180,-2744.49
-37,-180,-2682.97
-36,-180,-2620.65
-35,-180,-2557.52
-34,-180,-2493.61
-33,-180,-2428.95
-32,-180,-2363.54
-31,-180,-2297.41
-30,-180,-2230.59
-29,-180,-2163.08
-28,-180,-2094.92
-27,-180,-2026.12
-26,-180,-1956.7
-25,-180,-1886.68
-24,-180,-1816.09
-23,-180,-1744.95
-22,-180,-1673.27
-21,-180,-1601.09
-20,-180,-1528.42
-19,-180,-1455.28
-18,-180,-1381.7
-17,-180,-1307.7
-16,-180,-1233.3
-15,-180,-1158.52
-14,-180,-1083.39
-13,-180,-1007.93
-12,-180,-932.167
-11,-180,-856.118
-10,-180,-779.807
-9,-180,-703.259
-8,-180,-626.497
-7,-180,-549.543
-6,-180,-472.423
-5,-180,-395.158
-4,-180,-317.773
-3,-180,-240.292
-2,-180,-162.737
-1,-180,-85.1326
0,-180,-7.50222
1,-180,70.1304
2,-180,147.742
3,-180,225.308
4,-180,302.806
5,-180,380.211
6,-180,457.501
7,-180,534.651
8,-180,611.638
9,-180,688.439
10,-180,765.031
11,-180,841.389
12,-180,917.491
13,-180,993.313
14,-180,1068.83
15,-180,1144.03
16,-180,1218.87
17,-180,1293.35
18,-180,1367.43
19,-180,1441.09
20,-180,1514.32
21,-180,1587.08
22,-180,1659.36
23,-180,1731.14
24,-180,1802.39
25,-180,1873.08
26,-180,1943.21
27,-180,2012.75
28,-180,2081.67
29,-180,2149.96
30,-180,2217.59
31,-180,2284.55
32,-180,2350.82
33,-180,2416.36
34,-180,2481.17
35,-180,2545.23
36,-180,2608.51
37,-180,2670.99
38,-180,2732.66
39,-180,2793.5
40,-180,2853.49
41,-180,2912.61
42,-180,2970.84
43,-180,3028.17
44,-180,3084.57
45,-180,3140.03
46,-180,3194.54
47,-180,3248.08
48,-180,3300.62
49,-180,3352.16
50,-180,3402.68
51,-180,3452.17
52,-180,3500.6
53,-180,3547.96
54,-180,3594.25
55,-180,3639.43
56,-180,3683.52
57,-180,3726.47
58,-180,3768.3
59,-180,3808.97
60,-180,3848.49
61,-180,3886.83
62,-180,3923.99
63,-180,3959.95
64,-180,3994.71
65,-180,4028.25
66,-180,4060.57
67,-180,4091.64
68,-180,4121.47
69,-180,4150.05
70,-180,4177.36
71,-180,4203.4
72,-180,4228.15
73,-180,4251.62
74,-180,4273.8
75,-180,4294.67
76,-180,4314.24
77,-180,4332.49
78,-180,4349.42
79,-180,4365.03
80,-180,4379.3
81,-180,4392.24
82,-180,4403.85
83,-180,4414.11
84,-180,4423.03
85,-180,4430.6
86,-180,4436.82
87,-180,4441.69
88,-180,4445.21
89,-180,4447.37
90,-180,4448.18
91,-180,4447.64
92,-180,4445.73
93,-180,4442.48
94,-180,4437.87
95,-180,4431.91
96,-180,4424.6
97,-180,4415.94
98,-180,4405.94
99,-180,4394.59
100,-180,4381.91
101,-180,4367.89
102,-180,4352.54
103,-180,4335.86
104,-180,4317.87
105,-180,4298.56
106,-180,4277.94
107,-180,4256.01
108,-180,4232.79
109,-180,4208.28
110,-180,4182.49
111,-180,4155.42
112,-180,4127.09
113,-180,4097.5
114,-180,4066.67
115,-180,4034.59
116,-180,4001.29
117,-180,3966.77
118,-180,3931.03
119,-180,3894.11
120,-180,3855.99
121,-180,3816.7
122,-180,3776.25
123,-180,3734.65
124,-180,3691.91
125,-180,3648.04
126,-180,3603.06
127,-180,3556.99
128,-180,3509.83
129,-180,3461.61
130,-180,3412.33
131,-180,3362.01
132,-180,3310.66
133,-180,3258.31
134,-180,3204.97
135,-180,3150.64
136,-180,3095.36
137,-180,3039.14
138,-180,2981.99
139,-180,2923.93
140,-180,2864.98
141,-180,2805.16
142,-180,2744.49
143,-180,2682.97
144,-180,2620.65
145,-180,2557.52
146,-180,2493.61
147,-180,2428.95
148,-180,2363.54
149,-180,2297.41
150,-180,2230.59
151,-180,2163.08
152,-180,2094.92
153,-180,2026.12
154,-180,1956.7
155,-180,1886.68
156,-180,1816.09
157,-180,1744.95
158,-180,1673.27
159,-180,1601.09
160,-180,1528.42
161,-180,1455.28
