"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Freq [GHz]","dB(AxialRatioValue) []"
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.50042,32.1348411385508
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.50542,31.1831962327948
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.51042,30.1267617827417
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.51542,28.9549204320772
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.52042,27.6553386630492
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.52542,26.2134348588264
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.53042,24.6117370625483
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.53542,22.8291588982556
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.54042,20.8403286063673
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.54542,18.6153107401376
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.55042,16.1205532192506
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.55542,13.3228208767957
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.56042,10.1992739372354
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.56542,6.7572143850084
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.57042,3.06129381703402
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.57542,0.755999005305173
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.58042,4.50490701994674
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.58542,8.03315885832122
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.59042,11.2473850628981
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.59542,14.1238064367771
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.60042,16.68004649409
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.60542,18.9506223707749
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.61042,20.9728987692928
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.61542,22.781030706253
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.62042,24.4041238874968
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.62542,25.8662187004413
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.63042,27.1869259279776
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.63542,28.3822082165614
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.64042,29.4651172098049
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.64542,30.4464277347863
100,0,0,33.3295,33.5702,0,1.524,15.07,19,90,94.5545,0.65,2.05,90,95.5823,1.65042,31.3351621068849
