"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Freq [GHz]","dB(AxialRatioValue) []"
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.50042,33.963508269492
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.50542,32.8512280105305
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.51042,31.6496177675488
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.51542,30.3491976582663
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.52042,28.938579908458
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.52542,27.4039749170806
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.53042,25.7285966086794
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.53542,23.8919831330103
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.54042,21.869322179562
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.54542,19.6310407818208
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.55042,17.1433089076432
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.55542,14.3709124901298
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.56042,11.2852848338526
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.56542,7.8815134411464
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.57042,4.2049813839061
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.57542,0.391738020918299
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.58042,3.45203079769489
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.58542,7.08074189828792
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.59042,10.4123672677125
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.59542,13.4085890235768
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.60042,16.080846892011
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.60542,18.462926463909
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.61042,20.5940226638232
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.61542,22.510981607952
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.62042,24.2456812319061
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.62542,25.8247117268719
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.63042,27.2699109072911
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.63542,28.5991161143821
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.64042,29.8268895147946
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.64542,30.9651443600599
100,0,0,33.3175,33.5533,0,1.524,15.07,19,90,94.4186,0.65,2.05,90,95.4673,1.65042,32.0236526529781
