"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.55042,30.2543371003271,48.1317603314756
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.55208666666667,34.9504199756834,48.6100218437739
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.55375333333333,40.3166049412212,48.2918541188535
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.55542,46.212294735786,46.8104621450966
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.55708666666667,52.2818516332204,43.7899257136431
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.55875333333333,57.9037038602194,38.9919825521641
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.56042,62.261842207148,32.5278441460596
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.56208666666667,64.6088669935696,25.0069522209383
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.56375333333333,64.6275790717684,17.4350283762302
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.56542,62.6213448012369,10.8373014749625
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.56708666666667,59.3595207088889,5.86345653672784
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.56875333333333,55.7230820680079,2.64915730073697
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.57042,52.4239461089758,0.93838346202398
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.57208666666667,49.9102646612959,0.285333319277842
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.57375333333333,48.3966652510751,0.198564381931116
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.57542,47.9233685742029,0.20257648123318
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.57708666666667,48.3892981936996,-0.147883151400348
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.57875333333333,49.5480065051851,-1.25463566298085
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.58042,50.9876766373517,-3.42604535660908
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.58208666666667,52.1451331660705,-6.77663652402016
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.58375333333333,52.4128909547159,-11.11681812076
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.58542,51.3434022323182,-15.9340931524495
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.58708666666667,48.8403767801474,-20.5457856389242
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.58875333333333,45.1842597866635,-24.3592640753534
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.59042,40.8691985570502,-27.0616512835389
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.59208666666667,36.3878697632711,-28.6352579846364
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.59375333333333,32.0990017822605,-29.2512202620268
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.59542,28.2021399518023,-29.1477078617505
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.59708666666667,24.7727046797074,-28.5510032056934
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.59875333333333,21.8098089016145,-27.6427372805923
100,0,0,33.3175,33.5533,0,1.524,15.07,19,94.4186,0.65,2.05,95.4673,1.60042,19.2742317210883,-26.555451969817
