Phi[deg],Theta[deg],dB(GainLHCP),dB(GainRHCP)
-180,-180,-4.2988,-12.8402
-179,-180,-4.2988,-12.8402
-178,-180,-4.2988,-12.8402
-177,-180,-4.2988,-12.8402
-176,-180,-4.2988,-12.8402
-175,-180,-4.2988,-12.8402
-174,-180,-4.2988,-12.8402
-173,-180,-4.2988,-12.8402
-172,-180,-4.2988,-12.8402
-171,-180,-4.2988,-12.8402
-170,-180,-4.2988,-12.8402
-169,-180,-4.2988,-12.8402
-168,-180,-4.2988,-12.8402
-167,-180,-4.2988,-12.8402
-166,-180,-4.2988,-12.8402
-165,-180,-4.2988,-12.8402
-164,-180,-4.2988,-12.8402
-163,-180,-4.2988,-12.8402
-162,-180,-4.2988,-12.8402
-161,-180,-4.2988,-12.8402
-160,-180,-4.2988,-12.8402
-159,-180,-4.2988,-12.8402
-158,-180,-4.2988,-12.8402
-157,-180,-4.2988,-12.8402
-156,-180,-4.2988,-12.8402
-155,-180,-4.2988,-12.8402
-154,-180,-4.2988,-12.8402
-153,-180,-4.2988,-12.8402
-152,-180,-4.2988,-12.8402
-151,-180,-4.2988,-12.8402
-150,-180,-4.2988,-12.8402
-149,-180,-4.2988,-12.8402
-148,-180,-4.2988,-12.8402
-147,-180,-4.2988,-12.8402
-146,-180,-4.2988,-12.8402
-145,-180,-4.2988,-12.8402
-144,-180,-4.2988,-12.8402
-143,-180,-4.2988,-12.8402
-142,-180,-4.2988,-12.8402
-141,-180,-4.2988,-12.8402
-140,-180,-4.2988,-12.8402
-139,-180,-4.2988,-12.8402
-138,-180,-4.2988,-12.8402
-137,-180,-4.2988,-12.8402
-136,-180,-4.2988,-12.8402
-135,-180,-4.2988,-12.8402
-134,-180,-4.2988,-12.8402
-133,-180,-4.2988,-12.8402
-132,-180,-4.2988,-12.8402
-131,-180,-4.2988,-12.8402
-130,-180,-4.2988,-12.8402
-129,-180,-4.2988,-12.8402
-128,-180,-4.2988,-12.8402
-127,-180,-4.2988,-12.8402
-126,-180,-4.2988,-12.8402
-125,-180,-4.2988,-12.8402
-124,-180,-4.2988,-12.8402
-123,-180,-4.2988,-12.8402
-122,-180,-4.2988,-12.8402
-121,-180,-4.2988,-12.8402
-120,-180,-4.2988,-12.8402
-119,-180,-4.2988,-12.8402
-118,-180,-4.2988,-12.8402
-117,-180,-4.2988,-12.8402
-116,-180,-4.2988,-12.8402
-115,-180,-4.2988,-12.8402
-114,-180,-4.2988,-12.8402
-113,-180,-4.2988,-12.8402
-112,-180,-4.2988,-12.8402
-111,-180,-4.2988,-12.8402
-110,-180,-4.2988,-12.8402
-109,-180,-4.2988,-12.8402
-108,-180,-4.2988,-12.8402
-107,-180,-4.2988,-12.8402
-106,-180,-4.2988,-12.8402
-105,-180,-4.2988,-12.8402
-104,-180,-4.2988,-12.8402
-103,-180,-4.2988,-12.8402
-102,-180,-4.2988,-12.8402
-101,-180,-4.2988,-12.8402
-100,-180,-4.2988,-12.8402
-99,-180,-4.2988,-12.8402
-98,-180,-4.2988,-12.8402
-97,-180,-4.2988,-12.8402
-96,-180,-4.2988,-12.8402
-95,-180,-4.2988,-12.8402
-94,-180,-4.2988,-12.8402
-93,-180,-4.2988,-12.8402
-92,-180,-4.2988,-12.8402
-91,-180,-4.2988,-12.8402
-90,-180,-4.2988,-12.8402
-89,-180,-4.2988,-12.8402
-88,-180,-4.2988,-12.8402
-87,-180,-4.2988,-12.8402
-86,-180,-4.2988,-12.8402
-85,-180,-4.2988,-12.8402
-84,-180,-4.2988,-12.8402
-83,-180,-4.2988,-12.8402
-82,-180,-4.2988,-12.8402
-81,-180,-4.2988,-12.8402
-80,-180,-4.2988,-12.8402
-79,-180,-4.2988,-12.8402
-78,-180,-4.2988,-12.8402
-77,-180,-4.2988,-12.8402
-76,-180,-4.2988,-12.8402
-75,-180,-4.2988,-12.8402
-74,-180,-4.2988,-12.8402
-73,-180,-4.2988,-12.8402
-72,-180,-4.2988,-12.8402
-71,-180,-4.2988,-12.8402
