Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,-180,1395.09
-179,-180,1351.11
-178,-180,1306.71
-177,-180,1261.92
-176,-180,1216.74
-175,-180,1171.19
-174,-180,1125.28
-173,-180,1079.04
-172,-180,1032.46
-171,-180,985.567
-170,-180,938.376
-169,-180,890.898
-168,-180,843.149
-167,-180,795.144
-166,-180,746.896
-165,-180,698.42
-164,-180,649.732
-163,-180,600.846
-162,-180,551.777
-161,-180,502.54
-160,-180,453.149
-159,-180,403.621
-158,-180,353.97
-157,-180,304.211
-156,-180,254.359
-155,-180,204.43
-154,-180,154.438
-153,-180,104.4
-152,-180,54.3293
-151,-180,4.24235
-150,-180,-45.8458
-149,-180,-95.9201
-148,-180,-145.965
-147,-180,-195.966
-146,-180,-245.906
-145,-180,-295.772
-144,-180,-345.548
-143,-180,-395.219
-142,-180,-444.769
-141,-180,-494.184
-140,-180,-543.448
-139,-180,-592.547
-138,-180,-641.465
-137,-180,-690.188
-136,-180,-738.7
-135,-180,-786.988
-134,-180,-835.035
-133,-180,-882.829
-132,-180,-930.353
-131,-180,-977.594
-130,-180,-1024.54
-129,-180,-1071.17
-128,-180,-1117.47
-127,-180,-1163.44
-126,-180,-1209.05
-125,-180,-1254.29
-124,-180,-1299.15
-123,-180,-1343.61
-122,-180,-1387.67
-121,-180,-1431.3
-120,-180,-1474.5
-119,-180,-1517.24
-118,-180,-1559.53
-117,-180,-1601.34
-116,-180,-1642.66
-115,-180,-1683.48
-114,-180,-1723.79
-113,-180,-1763.58
-112,-180,-1802.82
-111,-180,-1841.52
-110,-180,-1879.66
-109,-180,-1917.22
-108,-180,-1954.2
-107,-180,-1990.58
-106,-180,-2026.36
-105,-180,-2061.52
-104,-180,-2096.06
-103,-180,-2129.95
-102,-180,-2163.2
-101,-180,-2195.78
-100,-180,-2227.7
-99,-180,-2258.94
-98,-180,-2289.49
-97,-180,-2319.35
-96,-180,-2348.49
-95,-180,-2376.92
-94,-180,-2404.63
-93,-180,-2431.61
-92,-180,-2457.84
-91,-180,-2483.33
-90,-180,-2508.06
-89,-180,-2532.02
-88,-180,-2555.22
-87,-180,-2577.63
-86,-180,-2599.27
-85,-180,-2620.1
-84,-180,-2640.15
