Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,-180,4017.96
-179,-180,4007.24
-178,-180,3995.31
-177,-180,3982.16
-176,-180,3967.79
-175,-180,3952.22
-174,-180,3935.45
-173,-180,3917.47
-172,-180,3898.3
-171,-180,3877.94
-170,-180,3856.41
-169,-180,3833.7
-168,-180,3809.82
-167,-180,3784.77
-166,-180,3758.58
-165,-180,3731.24
-164,-180,3702.77
-163,-180,3673.17
-162,-180,3642.44
-161,-180,3610.61
-160,-180,3577.68
-159,-180,3543.66
-158,-180,3508.56
-157,-180,3472.39
-156,-180,3435.17
-155,-180,3396.89
-154,-180,3357.58
-153,-180,3317.25
-152,-180,3275.91
-151,-180,3233.57
-150,-180,3190.25
-149,-180,3145.95
-148,-180,3100.7
-147,-180,3054.5
-146,-180,3007.37
-145,-180,2959.33
-144,-180,2910.38
-143,-180,2860.55
-142,-180,2809.85
-141,-180,2758.28
-140,-180,2705.88
-139,-180,2652.66
-138,-180,2598.63
-137,-180,2543.8
-136,-180,2488.2
-135,-180,2431.85
-134,-180,2374.75
-133,-180,2316.93
-132,-180,2258.4
-131,-180,2199.19
-130,-180,2139.3
-129,-180,2078.77
-128,-180,2017.6
-127,-180,1955.81
-126,-180,1893.43
-125,-180,1830.48
-124,-180,1766.96
-123,-180,1702.91
-122,-180,1638.34
-121,-180,1573.27
-120,-180,1507.72
-119,-180,1441.71
-118,-180,1375.26
-117,-180,1308.39
-116,-180,1241.13
-115,-180,1173.49
-114,-180,1105.48
-113,-180,1037.15
-112,-180,968.493
-111,-180,899.545
-110,-180,830.322
-109,-180,760.847
-108,-180,691.139
-107,-180,621.222
-106,-180,551.115
-105,-180,480.84
-104,-180,410.418
-103,-180,339.872
-102,-180,269.222
-101,-180,198.49
-100,-180,127.698
-99,-180,56.8666
-98,-180,-13.982
-97,-180,-84.8264
-96,-180,-155.645
-95,-180,-226.416
-94,-180,-297.118
-93,-180,-367.73
-92,-180,-438.229
-91,-180,-508.595
-90,-180,-578.807
-89,-180,-648.841
-88,-180,-718.679
-87,-180,-788.297
-86,-180,-857.675
-85,-180,-926.792
-84,-180,-995.627
-83,-180,-1064.16
-82,-180,-1132.37
-81,-180,-1200.23
-80,-180,-1267.72
-79,-180,-1334.83
-78,-180,-1401.54
-77,-180,-1467.82
-76,-180,-1533.65
-75,-180,-1599.01
-74,-180,-1663.88
-73,-180,-1728.25
-72,-180,-1792.09
-71,-180,-1855.39
-70,-180,-1918.12
-69,-180,-1980.27
-68,-180,-2041.81
-67,-180,-2102.74
-66,-180,-2163.02
-65,-180,-2222.64
-64,-180,-2281.58
-63,-180,-2339.84
-62,-180,-2397.37
-61,-180,-2454.18
-60,-180,-2510.24
-59,-180,-2565.54
-58,-180,-2620.05
-57,-180,-2673.76
-56,-180,-2726.67
-55,-180,-2778.74
-54,-180,-2829.96
-53,-180,-2880.32
-52,-180,-2929.81
-51,-180,-2978.4
-50,-180,-3026.09
-49,-180,-3072.85
-48,-180,-3118.68
-47,-180,-3163.55
-46,-180,-3207.47
-45,-180,-3250.4
-44,-180,-3292.35
-43,-180,-3333.29
-42,-180,-3373.22
-41,-180,-3412.12
-40,-180,-3449.98
-39,-180,-3486.79
-38,-180,-3522.54
-37,-180,-3557.22
-36,-180,-3590.81
-35,-180,-3623.31
-34,-180,-3654.7
-33,-180,-3684.98
-32,-180,-3714.14
-31,-180,-3742.17
-30,-180,-3769.06
-29,-180,-3794.8
-28,-180,-3819.38
-27,-180,-3842.8
-26,-180,-3865.05
-25,-180,-3886.12
-24,-180,-3906.01
-23,-180,-3924.71
-22,-180,-3942.21
-21,-180,-3958.51
-20,-180,-3973.61
-19,-180,-3987.49
-18,-180,-4000.17
-17,-180,-4011.62
-16,-180,-4021.85
-15,-180,-4030.86
-14,-180,-4038.63
-13,-180,-4045.18
-12,-180,-4050.5
-11,-180,-4054.58
-10,-180,-4057.42
-9,-180,-4059.04
-8,-180,-4059.41
-7,-180,-4058.55
-6,-180,-4056.45
-5,-180,-4053.11
-4,-180,-4048.55
-3,-180,-4042.74
-2,-180,-4035.71
-1,-180,-4027.45
0,-180,-4017.96
1,-180,-4007.24
2,-180,-3995.31
3,-180,-3982.16
4,-180,-3967.79
5,-180,-3952.22
6,-180,-3935.45
7,-180,-3917.47
8,-180,-3898.3
9,-180,-3877.94
10,-180,-3856.41
11,-180,-3833.7
12,-180,-3809.82
13,-180,-3784.77
14,-180,-3758.58
15,-180,-3731.24
16,-180,-3702.77
17,-180,-3673.17
18,-180,-3642.44
19,-180,-3610.61
20,-180,-3577.68
21,-180,-3543.66
22,-180,-3508.56
23,-180,-3472.39
24,-180,-3435.17
25,-180,-3396.89
26,-180,-3357.58
27,-180,-3317.25
28,-180,-3275.91
29,-180,-3233.57
30,-180,-3190.25
31,-180,-3145.95
32,-180,-3100.7
33,-180,-3054.5
34,-180,-3007.37
35,-180,-2959.33
36,-180,-2910.38
37,-180,-2860.55
38,-180,-2809.85
39,-180,-2758.28
40,-180,-2705.88
41,-180,-2652.66
42,-180,-2598.63
43,-180,-2543.8
44,-180,-2488.2
45,-180,-2431.85
46,-180,-2374.75
47,-180,-2316.93
48,-180,-2258.4
49,-180,-2199.19
50,-180,-2139.3
51,-180,-2078.77
52,-180,-2017.6
53,-180,-1955.81
54,-180,-1893.43
55,-180,-1830.48
56,-180,-1766.96
57,-180,-1702.91
58,-180,-1638.34
59,-180,-1573.27
60,-180,-1507.72
61,-180,-1441.71
62,-180,-1375.26
63,-180,-1308.39
64,-180,-1241.13
65,-180,-1173.49
66,-180,-1105.48
67,-180,-1037.15
68,-180,-968.493
69,-180,-899.545
70,-180,-830.322
71,-180,-760.847
72,-180,-691.139
73,-180,-621.222
74,-180,-551.115
75,-180,-480.84
76,-180,-410.418
77,-180,-339.872
78,-180,-269.222
79,-180,-198.49
80,-180,-127.698
81,-180,-56.8666
82,-180,13.982
83,-180,84.8264
84,-180,155.645
85,-180,226.416
86,-180,297.118
87,-180,367.73
88,-180,438.229
89,-180,508.595
90,-180,578.807
91,-180,648.841
92,-180,718.679
93,-180,788.297
94,-180,857.675
95,-180,926.792
96,-180,995.627
97,-180,1064.16
98,-180,1132.37
99,-180,1200.23
100,-180,1267.72
101,-180,1334.83
102,-180,1401.54
103,-180,1467.82
104,-180,1533.65
105,-180,1599.01
106,-180,1663.88
107,-180,1728.25
108,-180,1792.09
109,-180,1855.39
110,-180,1918.12
111,-180,1980.27
112,-180,2041.81
113,-180,2102.74
114,-180,2163.02
115,-180,2222.64
116,-180,2281.58
117,-180,2339.84
118,-180,2397.37
119,-180,2454.18
120,-180,2510.24
121,-180,2565.54
122,-180,2620.05
123,-180,2673.76
124,-180,2726.67
125,-180,2778.74
126,-180,2829.96
127,-180,2880.32
128,-180,2929.81
129,-180,2978.4
130,-180,3026.09
131,-180,3072.85
132,-180,3118.68
133,-180,3163.55
134,-180,3207.47
135,-180,3250.4
136,-180,3292.35
137,-180,3333.29
138,-180,3373.22
139,-180,3412.12
140,-180,3449.98
141,-180,3486.79
142,-180,3522.54
143,-180,3557.22
144,-180,3590.81
145,-180,3623.31
146,-180,3654.7
147,-180,3684.98
148,-180,3714.14
149,-180,3742.17
150,-180,3769.06
151,-180,3794.8
152,-180,3819.38
153,-180,3842.8
154,-180,3865.05
155,-180,3886.12
156,-180,3906.01
157,-180,3924.71
158,-180,3942.21
159,-180,3958.51
160,-180,3973.61
161,-180,3987.49
162,-180,4000.17
163,-180,4011.62
164,-180,4021.85
165,-180,4030.86
166,-180,4038.63
167,-180,4045.18
168,-180,4050.5
169,-180,4054.58
170,-180,4057.42
171,-180,4059.04
172,-180,4059.41
173,-180,4058.55
174,-180,4056.45
175,-180,4053.11
176,-180,4048.55
177,-180,4042.74
178,-180,4035.71
179,-180,4027.45
180,-180,4017.96
-180,-179,4036.66
-179,-179,4025.29
-178,-179,4012.76
-177,-179,3999.09
-176,-179,3984.28
-175,-179,3968.33
-174,-179,3951.25
-173,-179,3933.05
-172,-179,3913.73
-171,-179,3893.3
-170,-179,3871.76
-169,-179,3849.12
-168,-179,3825.39
-167,-179,3800.57
-166,-179,3774.67
-165,-179,3747.71
-164,-179,3719.69
-163,-179,3690.61
-162,-179,3660.49
-161,-179,3629.33
-160,-179,3597.14
-159,-179,3563.94
-158,-179,3529.73
-157,-179,3494.52
-156,-179,3458.33
-155,-179,3421.15
-154,-179,3383.01
-153,-179,3343.92
-152,-179,3303.88
-151,-179,3262.9
-150,-179,3221
-149,-179,3178.19
-148,-179,3134.49
-147,-179,3089.89
-146,-179,3044.43
-145,-179,2998.1
-144,-179,2950.92
-143,-179,2902.9
-142,-179,2854.07
-141,-179,2804.42
-140,-179,2753.98
-139,-179,2702.75
-138,-179,2650.76
-137,-179,2598.01
-136,-179,2544.52
-135,-179,2490.31
-134,-179,2435.39
-133,-179,2379.77
-132,-179,2323.47
-131,-179,2266.5
-130,-179,2208.89
-129,-179,2150.64
-128,-179,2091.77
-127,-179,2032.3
-126,-179,1972.24
-125,-179,1911.62
-124,-179,1850.44
-123,-179,1788.72
-122,-179,1726.48
-121,-179,1663.74
-120,-179,1600.51
-119,-179,1536.81
-118,-179,1472.66
-117,-179,1408.08
-116,-179,1343.07
-115,-179,1277.67
-114,-179,1211.89
-113,-179,1145.74
-112,-179,1079.25
-111,-179,1012.43
-110,-179,945.305
-109,-179,877.887
-108,-179,810.197
-107,-179,742.255
-106,-179,674.079
-105,-179,605.688
-104,-179,537.1
-103,-179,468.336
-102,-179,399.414
-101,-179,330.354
-100,-179,261.175
-99,-179,191.896
-98,-179,122.538
-97,-179,53.1196
-96,-179,-16.339
-95,-179,-85.8182
-94,-179,-155.298
-93,-179,-224.758
-92,-179,-294.18
-91,-179,-363.541
-90,-179,-432.824
-89,-179,-502.006
-88,-179,-571.069
-87,-179,-639.991
-86,-179,-708.754
-85,-179,-777.335
-84,-179,-845.716
-83,-179,-913.875
-82,-179,-981.793
-81,-179,-1049.45
-80,-179,-1116.82
-79,-179,-1183.89
-78,-179,-1250.64
-77,-179,-1317.04
-76,-179,-1383.09
-75,-179,-1448.74
-74,-179,-1514
-73,-179,-1578.82
-72,-179,-1643.21
-71,-179,-1707.13
-70,-179,-1770.56
-69,-179,-1833.5
-68,-179,-1895.9
-67,-179,-1957.77
-66,-179,-2019.07
-65,-179,-2079.78
-64,-179,-2139.9
-63,-179,-2199.39
-62,-179,-2258.24
-61,-179,-2316.43
-60,-179,-2373.94
-59,-179,-2430.75
-58,-179,-2486.84
-57,-179,-2542.2
-56,-179,-2596.8
-55,-179,-2650.63
-54,-179,-2703.68
-53,-179,-2755.91
-52,-179,-2807.32
-51,-179,-2857.88
-50,-179,-2907.58
-49,-179,-2956.41
-48,-179,-3004.34
-47,-179,-3051.36
-46,-179,-3097.45
-45,-179,-3142.6
-44,-179,-3186.78
-43,-179,-3230
-42,-179,-3272.22
-41,-179,-3313.44
-40,-179,-3353.63
-39,-179,-3392.79
-38,-179,-3430.91
-37,-179,-3467.96
-36,-179,-3503.93
-35,-179,-3538.81
-34,-179,-3572.59
-33,-179,-3605.26
-32,-179,-3636.8
-31,-179,-3667.2
-30,-179,-3696.45
-29,-179,-3724.53
-28,-179,-3751.45
-27,-179,-3777.18
-26,-179,-3801.72
-25,-179,-3825.05
-24,-179,-3847.18
-23,-179,-3868.08
-22,-179,-3887.75
-21,-179,-3906.19
-20,-179,-3923.38
-19,-179,-3939.32
-18,-179,-3954
-17,-179,-3967.42
-16,-179,-3979.57
-15,-179,-3990.43
-14,-179,-4000.02
-13,-179,-4008.32
-12,-179,-4015.33
-11,-179,-4021.05
-10,-179,-4025.47
-9,-179,-4028.59
-8,-179,-4030.41
-7,-179,-4030.93
-6,-179,-4030.14
-5,-179,-4028.04
-4,-179,-4024.64
-3,-179,-4019.93
-2,-179,-4013.91
-1,-179,-4006.59
0,-179,-3997.97
1,-179,-3988.05
2,-179,-3976.82
3,-179,-3964.3
4,-179,-3950.49
5,-179,-3935.39
6,-179,-3919.01
7,-179,-3901.34
8,-179,-3882.4
9,-179,-3862.19
10,-179,-3840.72
11,-179,-3818
12,-179,-3794.02
13,-179,-3768.8
14,-179,-3742.36
15,-179,-3714.68
16,-179,-3685.79
17,-179,-3655.7
18,-179,-3624.41
19,-179,-3591.93
20,-179,-3558.27
21,-179,-3523.46
22,-179,-3487.49
23,-179,-3450.38
24,-179,-3412.14
25,-179,-3372.78
26,-179,-3332.33
27,-179,-3290.78
28,-179,-3248.16
29,-179,-3204.48
30,-179,-3159.75
31,-179,-3114
32,-179,-3067.23
33,-179,-3019.46
34,-179,-2970.7
35,-179,-2920.98
36,-179,-2870.32
37,-179,-2818.72
38,-179,-2766.2
39,-179,-2712.79
40,-179,-2658.5
41,-179,-2603.35
42,-179,-2547.35
43,-179,-2490.54
44,-179,-2432.92
45,-179,-2374.52
46,-179,-2315.36
47,-179,-2255.45
48,-179,-2194.82
49,-179,-2133.48
50,-179,-2071.46
51,-179,-2008.79
52,-179,-1945.47
53,-179,-1881.53
54,-179,-1817
55,-179,-1751.89
56,-179,-1686.23
57,-179,-1620.03
58,-179,-1553.33
59,-179,-1486.14
60,-179,-1418.48
61,-179,-1350.38
62,-179,-1281.87
63,-179,-1212.96
64,-179,-1143.67
65,-179,-1074.03
66,-179,-1004.07
67,-179,-933.799
68,-179,-863.248
69,-179,-792.44
70,-179,-721.396
71,-179,-650.141
72,-179,-578.697
73,-179,-507.088
74,-179,-435.338
75,-179,-363.469
76,-179,-291.504
77,-179,-219.468
78,-179,-147.383
79,-179,-75.2727
80,-179,-3.1599
81,-179,68.9322
82,-179,140.981
83,-179,212.962
84,-179,284.854
85,-179,356.634
86,-179,428.279
87,-179,499.766
88,-179,571.073
89,-179,642.178
90,-179,713.057
91,-179,783.69
92,-179,854.055
93,-179,924.128
94,-179,993.89
95,-179,1063.32
96,-179,1132.39
97,-179,1201.09
98,-179,1269.39
99,-179,1337.27
100,-179,1404.71
101,-179,1471.69
102,-179,1538.2
103,-179,1604.2
104,-179,1669.69
105,-179,1734.63
106,-179,1799.02
107,-179,1862.83
108,-179,1926.05
109,-179,1988.65
110,-179,2050.62
111,-179,2111.93
112,-179,2172.58
113,-179,2232.54
114,-179,2291.8
115,-179,2350.33
116,-179,2408.13
117,-179,2465.17
118,-179,2521.44
119,-179,2576.93
120,-179,2631.61
121,-179,2685.47
122,-179,2738.5
123,-179,2790.69
124,-179,2842.01
125,-179,2892.45
126,-179,2942
127,-179,2990.65
128,-179,3038.38
129,-179,3085.18
130,-179,3131.04
131,-179,3175.94
132,-179,3219.87
133,-179,3262.82
134,-179,3304.78
135,-179,3345.74
136,-179,3385.69
137,-179,3424.61
138,-179,3462.5
139,-179,3499.35
140,-179,3535.15
141,-179,3569.88
142,-179,3603.54
143,-179,3636.12
144,-179,3667.62
145,-179,3698.02
146,-179,3727.32
147,-179,3755.51
148,-179,3782.59
149,-179,3808.54
150,-179,3833.36
151,-179,3857.05
152,-179,3879.6
153,-179,3901
154,-179,3921.26
155,-179,3940.36
156,-179,3958.3
157,-179,3975.08
158,-179,3990.69
159,-179,4005.14
160,-179,4018.41
161,-179,4030.52
162,-179,4041.44
163,-179,4051.19
164,-179,4059.76
165,-179,4067.15
166,-179,4073.36
167,-179,4078.39
168,-179,4082.24
169,-179,4084.9
170,-179,4086.39
171,-179,4086.7
172,-179,4085.83
173,-179,4083.78
174,-179,4080.55
175,-179,4076.15
176,-179,4070.59
177,-179,4063.85
178,-179,4055.95
179,-179,4046.88
180,-179,4036.66
-180,-178,4054.08
-179,-178,4042.17
-178,-178,4029.18
-177,-178,4015.1
-176,-178,3999.94
-175,-178,3983.72
-174,-178,3966.43
-173,-178,3948.08
-172,-178,3928.69
-171,-178,3908.25
-170,-178,3886.77
-169,-178,3864.26
-168,-178,3840.73
-167,-178,3816.19
-166,-178,3790.64
-165,-178,3764.09
-164,-178,3736.55
-163,-178,3708.03
-162,-178,3678.53
-161,-178,3648.07
-160,-178,3616.65
-159,-178,3584.29
-158,-178,3550.99
-157,-178,3516.76
-156,-178,3481.61
-155,-178,3445.56
-154,-178,3408.6
-153,-178,3370.76
-152,-178,3332.04
-151,-178,3292.45
-150,-178,3252
-149,-178,3210.7
-148,-178,3168.57
-147,-178,3125.61
-146,-178,3081.84
-145,-178,3037.26
-144,-178,2991.9
-143,-178,2945.75
-142,-178,2898.83
-141,-178,2851.15
-140,-178,2802.73
-139,-178,2753.58
-138,-178,2703.7
-137,-178,2653.11
-136,-178,2601.82
-135,-178,2549.85
-134,-178,2497.2
-133,-178,2443.9
-132,-178,2389.94
-131,-178,2335.35
-130,-178,2280.14
-129,-178,2224.32
-128,-178,2167.91
-127,-178,2110.91
-126,-178,2053.34
