Phi[deg],Theta[deg],im(rETheta)[mV]
-180,-180,-2508.06
-179,-180,-2532.02
-178,-180,-2555.22
-177,-180,-2577.63
-176,-180,-2599.27
-175,-180,-2620.1
-174,-180,-2640.15
-173,-180,-2659.38
-172,-180,-2677.81
-171,-180,-2695.42
-170,-180,-2712.21
-169,-180,-2728.17
-168,-180,-2743.31
-167,-180,-2757.6
-166,-180,-2771.06
-165,-180,-2783.67
-164,-180,-2795.44
-163,-180,-2806.35
-162,-180,-2816.41
-161,-180,-2825.61
-160,-180,-2833.95
-159,-180,-2841.43
-158,-180,-2848.04
-157,-180,-2853.79
-156,-180,-2858.66
-155,-180,-2862.66
-154,-180,-2865.8
-153,-180,-2868.05
-152,-180,-2869.44
-151,-180,-2869.95
-150,-180,-2869.59
-149,-180,-2868.35
-148,-180,-2866.24
-147,-180,-2863.26
-146,-180,-2859.4
-145,-180,-2854.67
-144,-180,-2849.08
-143,-180,-2842.61
-142,-180,-2835.28
-141,-180,-2827.09
-140,-180,-2818.03
-139,-180,-2808.12
-138,-180,-2797.35
-137,-180,-2785.73
-136,-180,-2773.26
-135,-180,-2759.94
-134,-180,-2745.79
-133,-180,-2730.8
-132,-180,-2714.97
-131,-180,-2698.32
-130,-180,-2680.85
-129,-180,-2662.56
-128,-180,-2643.46
-127,-180,-2623.56
-126,-180,-2602.85
-125,-180,-2581.35
-124,-180,-2559.07
-123,-180,-2536.01
-122,-180,-2512.17
-121,-180,-2487.57
-120,-180,-2462.21
-119,-180,-2436.1
-118,-180,-2409.25
-117,-180,-2381.67
-116,-180,-2353.36
-115,-180,-2324.33
-114,-180,-2294.6
-113,-180,-2264.16
-112,-180,-2233.04
-111,-180,-2201.24
-110,-180,-2168.76
-109,-180,-2135.63
-108,-180,-2101.84
-107,-180,-2067.42
-106,-180,-2032.36
-105,-180,-1996.69
-104,-180,-1960.4
-103,-180,-1923.52
-102,-180,-1886.06
-101,-180,-1848.02
-100,-180,-1809.42
-99,-180,-1770.26
-98,-180,-1730.57
-97,-180,-1690.35
-96,-180,-1649.61
-95,-180,-1608.37
-94,-180,-1566.65
-93,-180,-1524.44
-92,-180,-1481.77
-91,-180,-1438.65
-90,-180,-1395.09
-89,-180,-1351.11
-88,-180,-1306.71
-87,-180,-1261.92
-86,-180,-1216.74
-85,-180,-1171.19
-84,-180,-1125.28
-83,-180,-1079.04
-82,-180,-1032.46
-81,-180,-985.567
-80,-180,-938.376
-79,-180,-890.898
-78,-180,-843.149
-77,-180,-795.144
-76,-180,-746.896
-75,-180,-698.42
-74,-180,-649.732
-73,-180,-600.846
-72,-180,-551.777
-71,-180,-502.54
-70,-180,-453.149
-69,-180,-403.621
-68,-180,-353.97
-67,-180,-304.211
-66,-180,-254.359
-65,-180,-204.43
-64,-180,-154.438
-63,-180,-104.4
-62,-180,-54.3293
-61,-180,-4.24235
-60,-180,45.8458
-59,-180,95.9201
-58,-180,145.965
-57,-180,195.966
-56,-180,245.906
-55,-180,295.772
-54,-180,345.548
-53,-180,395.219
-52,-180,444.769
-51,-180,494.184
-50,-180,543.448
-49,-180,592.547
-48,-180,641.465
-47,-180,690.188
-46,-180,738.7
-45,-180,786.988
-44,-180,835.035
-43,-180,882.829
-42,-180,930.353
-41,-180,977.594
-40,-180,1024.54
-39,-180,1071.17
-38,-180,1117.47
-37,-180,1163.44
-36,-180,1209.05
-35,-180,1254.29
-34,-180,1299.15
-33,-180,1343.61
-32,-180,1387.67
-31,-180,1431.3
-30,-180,1474.5
-29,-180,1517.24
-28,-180,1559.53
-27,-180,1601.34
-26,-180,1642.66
-25,-180,1683.48
-24,-180,1723.79
-23,-180,1763.58
-22,-180,1802.82
-21,-180,1841.52
-20,-180,1879.66
-19,-180,1917.22
-18,-180,1954.2
-17,-180,1990.58
-16,-180,2026.36
-15,-180,2061.52
-14,-180,2096.06
-13,-180,2129.95
-12,-180,2163.2
-11,-180,2195.78
-10,-180,2227.7
-9,-180,2258.94
-8,-180,2289.49
-7,-180,2319.35
-6,-180,2348.49
-5,-180,2376.92
-4,-180,2404.63
-3,-180,2431.61
-2,-180,2457.84
-1,-180,2483.33
0,-180,2508.06
1,-180,2532.02
2,-180,2555.22
3,-180,2577.63
4,-180,2599.27
5,-180,2620.1
6,-180,2640.15
7,-180,2659.38
8,-180,2677.81
9,-180,2695.42
10,-180,2712.21
11,-180,2728.17
12,-180,2743.31
13,-180,2757.6
14,-180,2771.06
15,-180,2783.67
16,-180,2795.44
17,-180,2806.35
18,-180,2816.41
19,-180,2825.61
20,-180,2833.95
21,-180,2841.43
22,-180,2848.04
23,-180,2853.79
24,-180,2858.66
25,-180,2862.66
26,-180,2865.8
27,-180,2868.05
28,-180,2869.44
29,-180,2869.95
30,-180,2869.59
31,-180,2868.35
32,-180,2866.24
33,-180,2863.26
34,-180,2859.4
35,-180,2854.67
36,-180,2849.08
37,-180,2842.61
38,-180,2835.28
39,-180,2827.09
40,-180,2818.03
41,-180,2808.12
42,-180,2797.35
43,-180,2785.73
44,-180,2773.26
45,-180,2759.94
46,-180,2745.79
47,-180,2730.8
48,-180,2714.97
49,-180,2698.32
50,-180,2680.85
51,-180,2662.56
52,-180,2643.46
53,-180,2623.56
54,-180,2602.85
55,-180,2581.35
56,-180,2559.07
57,-180,2536.01
58,-180,2512.17
59,-180,2487.57
60,-180,2462.21
61,-180,2436.1
62,-180,2409.25
63,-180,2381.67
64,-180,2353.36
65,-180,2324.33
66,-180,2294.6
67,-180,2264.16
68,-180,2233.04
69,-180,2201.24
70,-180,2168.76
71,-180,2135.63
72,-180,2101.84
73,-180,2067.42
74,-180,2032.36
75,-180,1996.69
76,-180,1960.4
77,-180,1923.52
78,-180,1886.06
79,-180,1848.02
80,-180,1809.42
81,-180,1770.26
82,-180,1730.57
83,-180,1690.35
84,-180,1649.61
85,-180,1608.37
86,-180,1566.65
87,-180,1524.44
88,-180,1481.77
89,-180,1438.65
90,-180,1395.09
91,-180,1351.11
92,-180,1306.71
93,-180,1261.92
94,-180,1216.74
95,-180,1171.19
96,-180,1125.28
97,-180,1079.04
98,-180,1032.46
99,-180,985.567
100,-180,938.376
101,-180,890.898
102,-180,843.149
103,-180,795.144
104,-180,746.896
105,-180,698.42
106,-180,649.732
107,-180,600.846
108,-180,551.777
109,-180,502.54
110,-180,453.149
111,-180,403.621
112,-180,353.97
113,-180,304.211
114,-180,254.359
115,-180,204.43
116,-180,154.438
117,-180,104.4
118,-180,54.3293
119,-180,4.24235
120,-180,-45.8458
121,-180,-95.9201
122,-180,-145.965
123,-180,-195.966
124,-180,-245.906
125,-180,-295.772
126,-180,-345.548
127,-180,-395.219
128,-180,-444.769
129,-180,-494.184
130,-180,-543.448
131,-180,-592.547
132,-180,-641.465
133,-180,-690.188
134,-180,-738.7
135,-180,-786.988
136,-180,-835.035
137,-180,-882.829
138,-180,-930.353
139,-180,-977.594
140,-180,-1024.54
141,-180,-1071.17
142,-180,-1117.47
143,-180,-1163.44
144,-180,-1209.05
145,-180,-1254.29
146,-180,-1299.15
147,-180,-1343.61
148,-180,-1387.67
149,-180,-1431.3
150,-180,-1474.5
151,-180,-1517.24
152,-180,-1559.53
153,-180,-1601.34
154,-180,-1642.66
155,-180,-1683.48
156,-180,-1723.79
157,-180,-1763.58
158,-180,-1802.82
159,-180,-1841.52
160,-180,-1879.66
161,-180,-1917.22
162,-180,-1954.2
163,-180,-1990.58
164,-180,-2026.36
165,-180,-2061.52
166,-180,-2096.06
167,-180,-2129.95
168,-180,-2163.2
169,-180,-2195.78
170,-180,-2227.7
171,-180,-2258.94
172,-180,-2289.49
173,-180,-2319.35
174,-180,-2348.49
175,-180,-2376.92
176,-180,-2404.63
177,-180,-2431.61
178,-180,-2457.84
179,-180,-2483.33
180,-180,-2508.06
-180,-179,-2497.55
-179,-179,-2522.58
-178,-179,-2546.99
-177,-179,-2570.77
-176,-179,-2593.9
-175,-179,-2616.39
-174,-179,-2638.22
-173,-179,-2659.39
-172,-179,-2679.88
-171,-179,-2699.69
-170,-179,-2718.81
-169,-179,-2737.23
-168,-179,-2754.94
-167,-179,-2771.95
-166,-179,-2788.23
-165,-179,-2803.78
-164,-179,-2818.59
-163,-179,-2832.67
-162,-179,-2845.99
-161,-179,-2858.55
-160,-179,-2870.35
-159,-179,-2881.38
-158,-179,-2891.63
-157,-179,-2901.1
-156,-179,-2909.78
-155,-179,-2917.66
-154,-179,-2924.73
-153,-179,-2931
-152,-179,-2936.46
-151,-179,-2941.1
-150,-179,-2944.91
-149,-179,-2947.89
-148,-179,-2950.04
-147,-179,-2951.36
-146,-179,-2951.83
-145,-179,-2951.45
-144,-179,-2950.23
-143,-179,-2948.15
-142,-179,-2945.21
-141,-179,-2941.41
-140,-179,-2936.75
-139,-179,-2931.23
-138,-179,-2924.84
-137,-179,-2917.57
-136,-179,-2909.44
-135,-179,-2900.44
-134,-179,-2890.56
-133,-179,-2879.8
-132,-179,-2868.17
-131,-179,-2855.67
-130,-179,-2842.29
-129,-179,-2828.04
-128,-179,-2812.91
-127,-179,-2796.91
-126,-179,-2780.04
-125,-179,-2762.3
-124,-179,-2743.69
-123,-179,-2724.21
-122,-179,-2703.88
-121,-179,-2682.68
-120,-179,-2660.63
-119,-179,-2637.72
-118,-179,-2613.97
-117,-179,-2589.37
-116,-179,-2563.94
-115,-179,-2537.67
-114,-179,-2510.57
-113,-179,-2482.65
-112,-179,-2453.91
-111,-179,-2424.36
-110,-179,-2394.01
-109,-179,-2362.87
-108,-179,-2330.94
-107,-179,-2298.23
-106,-179,-2264.75
-105,-179,-2230.5
-104,-179,-2195.5
-103,-179,-2159.76
-102,-179,-2123.29
-101,-179,-2086.09
-100,-179,-2048.18
-99,-179,-2009.56
-98,-179,-1970.26
-97,-179,-1930.27
-96,-179,-1889.62
-95,-179,-1848.31
-94,-179,-1806.36
-93,-179,-1763.79
-92,-179,-1720.59
-91,-179,-1676.79
-90,-179,-1632.41
-89,-179,-1587.44
-88,-179,-1541.92
-87,-179,-1495.86
-86,-179,-1449.26
-85,-179,-1402.15
-84,-179,-1354.54
-83,-179,-1306.45
-82,-179,-1257.89
-81,-179,-1208.88
-80,-179,-1159.44
-79,-179,-1109.58
-78,-179,-1059.32
-77,-179,-1008.69
-76,-179,-957.684
-75,-179,-906.336
-74,-179,-854.662
-73,-179,-802.678
-72,-179,-750.404
-71,-179,-697.859
-70,-179,-645.061
-69,-179,-592.029
-68,-179,-538.784
-67,-179,-485.343
-66,-179,-431.728
-65,-179,-377.957
-64,-179,-324.051
-63,-179,-270.029
-62,-179,-215.912
-61,-179,-161.719
-60,-179,-107.472
-59,-179,-53.1888
-58,-179,1.10835
-57,-179,55.3997
-56,-179,109.665
-55,-179,163.883
-54,-179,218.034
-53,-179,272.097
-52,-179,326.052
-51,-179,379.878
-50,-179,433.556
-49,-179,487.064
-48,-179,540.382
-47,-179,593.49
-46,-179,646.367
-45,-179,698.995
-44,-179,751.352
-43,-179,803.418
-42,-179,855.175
-41,-179,906.602
-40,-179,957.68
-39,-179,1008.39
-38,-179,1058.71
-37,-179,1108.62
-36,-179,1158.11
-35,-179,1207.16
-34,-179,1255.74
-33,-179,1303.84
-32,-179,1351.44
-31,-179,1398.52
-30,-179,1445.07
-29,-179,1491.07
-28,-179,1536.5
-27,-179,1581.34
-26,-179,1625.58
-25,-179,1669.21
-24,-179,1712.19
-23,-179,1754.53
-22,-179,1796.21
-21,-179,1837.2
-20,-179,1877.5
-19,-179,1917.09
-18,-179,1955.95
-17,-179,1994.08
-16,-179,2031.46
-15,-179,2068.08
-14,-179,2103.92
-13,-179,2138.97
-12,-179,2173.22
-11,-179,2206.67
-10,-179,2239.29
-9,-179,2271.07
-8,-179,2302.02
-7,-179,2332.11
-6,-179,2361.34
-5,-179,2389.7
-4,-179,2417.18
-3,-179,2443.77
-2,-179,2469.47
-1,-179,2494.26
0,-179,2518.14
1,-179,2541.1
2,-179,2563.15
3,-179,2584.26
4,-179,2604.44
5,-179,2623.68
6,-179,2641.98
7,-179,2659.33
8,-179,2675.74
9,-179,2691.18
10,-179,2705.67
11,-179,2719.21
12,-179,2731.78
13,-179,2743.39
14,-179,2754.04
15,-179,2763.72
16,-179,2772.44
17,-179,2780.19
18,-179,2786.98
19,-179,2792.81
20,-179,2797.68
21,-179,2801.59
22,-179,2804.54
23,-179,2806.54
24,-179,2807.58
25,-179,2807.68
26,-179,2806.83
27,-179,2805.04
28,-179,2802.31
29,-179,2798.65
30,-179,2794.07
31,-179,2788.56
32,-179,2782.14
