Phi[deg],Theta[deg],re(rETheta)[mV]
-180,-180,29.7228
-179,-180,-64.5657
-178,-180,-158.834
-177,-180,-253.055
-176,-180,-347.198
-175,-180,-441.236
-174,-180,-535.139
-173,-180,-628.879
-172,-180,-722.427
-171,-180,-815.756
-170,-180,-908.836
-169,-180,-1001.64
-168,-180,-1094.14
-167,-180,-1186.3
-166,-180,-1278.11
-165,-180,-1369.52
-164,-180,-1460.52
-163,-180,-1551.07
-162,-180,-1641.15
-161,-180,-1730.73
-160,-180,-1819.78
-159,-180,-1908.28
-158,-180,-1996.2
-157,-180,-2083.5
-156,-180,-2170.18
-155,-180,-2256.19
-154,-180,-2341.52
-153,-180,-2426.13
-152,-180,-2510
-151,-180,-2593.11
-150,-180,-2675.43
-149,-180,-2756.94
-148,-180,-2837.6
-147,-180,-2917.4
-146,-180,-2996.31
-145,-180,-3074.31
-144,-180,-3151.37
-143,-180,-3227.47
-142,-180,-3302.59
-141,-180,-3376.71
-140,-180,-3449.79
-139,-180,-3521.82
-138,-180,-3592.79
-137,-180,-3662.65
-136,-180,-3731.4
-135,-180,-3799.02
-134,-180,-3865.47
-133,-180,-3930.75
-132,-180,-3994.84
-131,-180,-4057.7
-130,-180,-4119.33
-129,-180,-4179.7
-128,-180,-4238.81
-127,-180,-4296.62
-126,-180,-4353.12
-125,-180,-4408.29
-124,-180,-4462.13
-123,-180,-4514.6
-122,-180,-4565.7
-121,-180,-4615.4
-120,-180,-4663.71
-119,-180,-4710.59
-118,-180,-4756.03
-117,-180,-4800.03
-116,-180,-4842.56
-115,-180,-4883.62
-114,-180,-4923.2
-113,-180,-4961.27
-112,-180,-4997.83
-111,-180,-5032.87
-110,-180,-5066.38
-109,-180,-5098.34
-108,-180,-5128.75
-107,-180,-5157.6
-106,-180,-5184.87
-105,-180,-5210.57
-104,-180,-5234.68
-103,-180,-5257.2
-102,-180,-5278.11
-101,-180,-5297.42
-100,-180,-5315.11
-99,-180,-5331.18
-98,-180,-5345.63
-97,-180,-5358.45
-96,-180,-5369.64
-95,-180,-5379.2
-94,-180,-5387.11
-93,-180,-5393.38
-92,-180,-5398.02
-91,-180,-5401
-90,-180,-5402.34
-89,-180,-5402.04
-88,-180,-5400.09
-87,-180,-5396.5
-86,-180,-5391.26
-85,-180,-5384.38
-84,-180,-5375.86
-83,-180,-5365.7
-82,-180,-5353.91
-81,-180,-5340.48
-80,-180,-5325.43
-79,-180,-5308.76
-78,-180,-5290.47
-77,-180,-5270.57
-76,-180,-5249.06
-75,-180,-5225.96
-74,-180,-5201.26
-73,-180,-5174.98
-72,-180,-5147.12
-71,-180,-5117.69
-70,-180,-5086.71
-69,-180,-5054.17
-68,-180,-5020.1
-67,-180,-4984.5
-66,-180,-4947.38
-65,-180,-4908.75
-64,-180,-4868.62
-63,-180,-4827.02
-62,-180,-4783.94
-61,-180,-4739.41
-60,-180,-4693.43
-59,-180,-4646.02
-58,-180,-4597.2
-57,-180,-4546.97
-56,-180,-4495.37
-55,-180,-4442.39
-54,-180,-4388.06
-53,-180,-4332.39
-52,-180,-4275.4
-51,-180,-4217.11
-50,-180,-4157.54
-49,-180,-4096.7
-48,-180,-4034.61
-47,-180,-3971.29
-46,-180,-3906.77
-45,-180,-3841.05
