"Freq [GHz]","dB(S(Wave_Port1,Wave_Port1)) []"
1.50042,-0.716018624974165
1.50542,-0.822005276774181
1.51042,-0.952459972886071
1.51542,-1.11527276581454
1.52042,-1.32168426103659
1.52542,-1.58808748032573
1.53042,-1.93902217960654
1.53542,-2.41231106359675
1.54042,-3.06818165961125
1.54542,-4.00610658525479
1.55042,-5.39735297053754
1.55542,-7.55205273415223
1.56042,-11.0745970356121
1.56542,-17.3332325993033
1.57042,-31.1873384353065
1.57542,-50.2979562530783
1.58042,-24.4190276618194
1.58542,-14.754903543208
1.59042,-9.83396169348844
1.59542,-6.94057831860825
1.60042,-5.11504495176505
1.60542,-3.90434459997273
1.61042,-3.0682533572332
1.61542,-2.47073961648916
1.62042,-2.03098707805725
1.62542,-1.69902629572437
1.63042,-1.44286278688684
1.63542,-1.24136593846317
1.64042,-1.08018858004919
1.64542,-0.949345249352467
1.65042,-0.841730330426495
