"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Freq [GHz]","dB(AxialRatioValue) []"
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.50042,33.0135698565199
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.50542,31.9545563694427
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.51042,30.8039444958193
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.51542,29.5518005528819
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.52042,28.1863225164928
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.52542,26.6933383678944
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.53042,25.0557015429289
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.53542,23.2526123150729
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.54042,21.25897277608
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.54542,19.0450612422099
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.55042,16.5772325816948
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.55542,13.8211870054386
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.56042,10.7506441172252
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.56542,7.36499981879009
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.57042,3.71547967718791
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.57542,0.11461112160986
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.58042,3.84183343920406
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.58542,7.40870413511418
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.59042,10.6770556480401
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.59542,13.6123975050335
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.60042,16.2262392589439
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.60542,18.5506160150349
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.61042,20.6224420821185
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.61542,22.4763595518328
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.62042,24.1423279421367
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.62542,25.6453488398111
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.63042,27.0059925010522
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.63542,28.2411322738925
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.64042,29.364662084971
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.64542,30.3881172944499
100,0,0,33.3212,33.5657,0,1.524,15.07,19,90,94.5327,0.65,2.05,90,95.5768,1.65042,31.3211859628039
