Phi[deg],Theta[deg],dB(GainLHCP),dB(GainRHCP)
-180,-180,-4.29311,-12.8137
-179,-180,-4.29311,-12.8137
-178,-180,-4.29311,-12.8137
-177,-180,-4.29311,-12.8137
-176,-180,-4.29311,-12.8137
-175,-180,-4.29311,-12.8137
-174,-180,-4.29311,-12.8137
-173,-180,-4.29311,-12.8137
-172,-180,-4.29311,-12.8137
-171,-180,-4.29311,-12.8137
-170,-180,-4.29311,-12.8137
-169,-180,-4.29311,-12.8137
-168,-180,-4.29311,-12.8137
-167,-180,-4.29311,-12.8137
-166,-180,-4.29311,-12.8137
-165,-180,-4.29311,-12.8137
-164,-180,-4.29311,-12.8137
-163,-180,-4.29311,-12.8137
-162,-180,-4.29311,-12.8137
-161,-180,-4.29311,-12.8137
-160,-180,-4.29311,-12.8137
-159,-180,-4.29311,-12.8137
-158,-180,-4.29311,-12.8137
-157,-180,-4.29311,-12.8137
-156,-180,-4.29311,-12.8137
-155,-180,-4.29311,-12.8137
-154,-180,-4.29311,-12.8137
-153,-180,-4.29311,-12.8137
-152,-180,-4.29311,-12.8137
-151,-180,-4.29311,-12.8137
-150,-180,-4.29311,-12.8137
-149,-180,-4.29311,-12.8137
-148,-180,-4.29311,-12.8137
-147,-180,-4.29311,-12.8137
-146,-180,-4.29311,-12.8137
-145,-180,-4.29311,-12.8137
-144,-180,-4.29311,-12.8137
-143,-180,-4.29311,-12.8137
-142,-180,-4.29311,-12.8137
-141,-180,-4.29311,-12.8137
-140,-180,-4.29311,-12.8137
-139,-180,-4.29311,-12.8137
-138,-180,-4.29311,-12.8137
-137,-180,-4.29311,-12.8137
-136,-180,-4.29311,-12.8137
-135,-180,-4.29311,-12.8137
-134,-180,-4.29311,-12.8137
-133,-180,-4.29311,-12.8137
-132,-180,-4.29311,-12.8137
-131,-180,-4.29311,-12.8137
-130,-180,-4.29311,-12.8137
-129,-180,-4.29311,-12.8137
-128,-180,-4.29311,-12.8137
-127,-180,-4.29311,-12.8137
-126,-180,-4.29311,-12.8137
-125,-180,-4.29311,-12.8137
-124,-180,-4.29311,-12.8137
-123,-180,-4.29311,-12.8137
-122,-180,-4.29311,-12.8137
-121,-180,-4.29311,-12.8137
-120,-180,-4.29311,-12.8137
-119,-180,-4.29311,-12.8137
-118,-180,-4.29311,-12.8137
-117,-180,-4.29311,-12.8137
-116,-180,-4.29311,-12.8137
-115,-180,-4.29311,-12.8137
-114,-180,-4.29311,-12.8137
