"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Phi [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-180,-4.31997143545415,-13.280154700304
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-179,-4.54540552563564,-13.316530139724
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-178,-4.77105038339911,-13.3573451341835
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-177,-4.99605228330904,-13.4004958325372
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-176,-5.21948617381506,-13.4436428502485
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-175,-5.44036419578006,-13.4842386853523
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-174,-5.65764782473535,-13.5195760623519
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-173,-5.87026392533585,-13.5468601184787
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-172,-6.07712480084313,-13.5633052039785
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-171,-6.2771520418217,-13.5662537979537
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-170,-6.46930363778624,-13.5533109183271
