"Freq [GHz]","dB(S(Wave_Port1,Wave_Port1)) []"
1.50042,-0.701476710236764
1.50542,-0.804413122951132
1.51042,-0.930909566334973
1.51542,-1.08849772755163
1.52042,-1.28787955695878
1.52542,-1.54461674518938
1.53042,-1.88192773665004
1.53542,-2.33546539173589
1.54042,-2.96176242273819
1.54542,-3.85374221474041
1.55042,-5.17052902710172
1.55542,-7.19849157506566
1.56042,-10.4915909403073
1.56542,-16.2906348199985
1.57042,-28.9513810197695
1.57542,-41.1197584218766
1.58042,-27.8590053543284
1.58542,-16.0558792737172
1.59042,-10.5155181335886
1.59542,-7.33841283934945
1.60042,-5.36253234071489
1.60542,-4.06593690563367
1.61042,-3.17807757807588
1.61542,-2.54796208081773
1.62042,-2.0868856354184
1.62542,-1.74050865316979
1.63042,-1.47431245355667
1.63542,-1.26565357365677
1.64042,-1.09924756666653
1.64542,-0.96451068806104
1.65042,-0.853945009567622
