"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.55042,35.3525917216881,50.04445998764
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.55208666666667,40.8102133395357,49.8741549770814
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.55375333333333,46.8552966373545,48.5596167854818
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.55542,53.1595346307677,45.7021303180294
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.55708666666667,59.1194591262519,41.0147446468964
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.55875333333333,63.9025007589061,34.5384883532943
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.56042,66.6895007982305,26.8231787325394
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.56208666666667,67.0527379630797,18.8736321020396
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.56375333333333,65.2041331825555,11.7905461558154
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.56542,61.8901981007039,6.33628951670818
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.56708666666667,58.0344990950988,2.73873045183228
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.56875333333333,54.4182038848155,0.78749969823498
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.57042,51.5527764776947,0.0455667215221478
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.57208666666667,49.7006363854972,0.0142579378152913
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.57375333333333,48.9410679818674,0.208669518352814
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.57542,49.2155159108362,0.173278857270227
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.57708666666667,50.3322243172436,-0.516178628427212
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.57875333333333,51.9416553877857,-2.22354841409001
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.58042,53.5220932197379,-5.16957565886539
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.58208666666667,54.4378084397426,-9.30904622922701
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.58375333333333,54.1117148442143,-14.2488897035563
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.58542,52.2545404483794,-19.3199815239476
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.58708666666667,48.9891542185825,-23.8173207247359
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.58875333333333,44.7619449931053,-27.2578273306538
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.59042,40.1193576205722,-29.4849314252276
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.59208666666667,35.5165090830298,-30.6024395072462
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.59375333333333,31.2412608594529,-30.8416063274352
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.59542,27.4289390298041,-30.4534340498676
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.59708666666667,24.1111363306141,-29.6531025077563
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.59875333333333,21.2620678447006,-28.6038393184633
100,0,0,33.3212,33.5657,0,1.524,15.07,19,94.5327,0.65,2.05,95.5768,1.60042,18.8305885238865,-27.4206359941408
