"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.50042,2.53463965927764,22.9832350457444
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.50542,2.97104896143176,24.2690520174674
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.51042,3.52922062358176,25.7546361509444
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.51542,4.25850407079506,27.4893951956439
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.52042,5.23560588049263,29.5383073924068
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.52542,6.58442693409516,31.9861807275307
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.53042,8.51389604306239,34.9393593905864
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.53542,11.3928060852673,38.513118445636
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.54042,15.8993731136227,42.7602945158241
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.54542,23.2933089480559,47.3768061716841
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.55042,35.6370881909388,50.6375209008166
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.55542,53.9857938430898,46.7147169312287
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.56042,69.0744571187232,27.446739745655
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.56542,64.7234837853802,4.47602804354047
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.57042,52.2837944640874,-3.57043437572383
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.57542,47.1975010107015,-3.01961863397532
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.58042,49.9324740237879,-5.66368679785381
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.58542,50.4502751488529,-17.2225933938085
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.59042,40.4548451341797,-27.9563321358309
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.59542,28.0551160628715,-29.9880684420628
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.60042,19.2377765293031,-27.3819238693076
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.60542,13.7075063563905,-23.7905836983737
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.61042,10.2072171467747,-20.4275202271408
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.61542,7.89749442600048,-17.5411511066179
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.62042,6.30445682600963,-15.1125345685317
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.62542,5.16170469192904,-13.0670722610375
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.63042,4.31422890571608,-11.3307574992919
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.63542,3.66795808478409,-9.84231863964286
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.64042,3.16343413837778,-8.55356795535147
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.64542,2.7616718488609,-7.42710234860401
100,0,0,33.2989,33.5615,0,1.524,15.07,19,94.3529,0.65,2.05,95.7567,1.65042,2.43626883243774,-6.43385372533434
