Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,-180,4055.96
-179,-180,4042.44
-178,-180,4027.68
-177,-180,4011.7
-176,-180,3994.49
-175,-180,3976.07
-174,-180,3956.44
-173,-180,3935.6
-172,-180,3913.56
-171,-180,3890.33
-170,-180,3865.92
-169,-180,3840.32
-168,-180,3813.56
-167,-180,3785.64
-166,-180,3756.56
-165,-180,3726.34
-164,-180,3694.98
-163,-180,3662.5
-162,-180,3628.9
-161,-180,3594.2
-160,-180,3558.4
-159,-180,3521.52
-158,-180,3483.57
-157,-180,3444.55
-156,-180,3404.49
-155,-180,3363.39
-154,-180,3321.26
-153,-180,3278.12
-152,-180,3233.99
-151,-180,3188.87
-150,-180,3142.77
-149,-180,3095.72
-148,-180,3047.73
-147,-180,2998.81
-146,-180,2948.97
-145,-180,2898.24
-144,-180,2846.62
-143,-180,2794.14
-142,-180,2740.81
-141,-180,2686.64
-140,-180,2631.65
-139,-180,2575.86
-138,-180,2519.29
-137,-180,2461.95
-136,-180,2403.86
-135,-180,2345.03
-134,-180,2285.49
-133,-180,2225.26
-132,-180,2164.35
-131,-180,2102.78
-130,-180,2040.57
-129,-180,1977.73
-128,-180,1914.3
-127,-180,1850.28
-126,-180,1785.7
-125,-180,1720.57
-124,-180,1654.92
-123,-180,1588.77
-122,-180,1522.13
-121,-180,1455.03
-120,-180,1387.48
-119,-180,1319.51
-118,-180,1251.14
-117,-180,1182.39
-116,-180,1113.28
-115,-180,1043.83
-114,-180,974.064
-113,-180,903.999
-112,-180,833.659
-111,-180,763.065
-110,-180,692.238
-109,-180,621.201
-108,-180,549.974
-107,-180,478.58
-106,-180,407.04
-105,-180,335.376
-104,-180,263.61
-103,-180,191.764
-102,-180,119.859
-101,-180,47.9174
-100,-180,-24.0386
-99,-180,-95.9872
-98,-180,-167.907
-97,-180,-239.775
-96,-180,-311.57
-95,-180,-383.27
-94,-180,-454.854
-93,-180,-526.299
-92,-180,-597.583
-91,-180,-668.686
-90,-180,-739.585
-89,-180,-810.259
-88,-180,-880.685
-87,-180,-950.844
-86,-180,-1020.71
-85,-180,-1090.27
-84,-180,-1159.5
-83,-180,-1228.37
-82,-180,-1296.87
-81,-180,-1364.97
-80,-180,-1432.66
-79,-180,-1499.91
-78,-180,-1566.71
-77,-180,-1633.02
-76,-180,-1698.84
-75,-180,-1764.14
-74,-180,-1828.91
-73,-180,-1893.12
-72,-180,-1956.75
-71,-180,-2019.78
-70,-180,-2082.2
-69,-180,-2143.99
-68,-180,-2205.12
-67,-180,-2265.58
-66,-180,-2325.35
-65,-180,-2384.42
-64,-180,-2442.75
-63,-180,-2500.34
-62,-180,-2557.17
-61,-180,-2613.22
-60,-180,-2668.48
-59,-180,-2722.92
-58,-180,-2776.54
-57,-180,-2829.3
-56,-180,-2881.21
-55,-180,-2932.24
-54,-180,-2982.37
-53,-180,-3031.6
-52,-180,-3079.9
-51,-180,-3127.26
-50,-180,-3173.68
-49,-180,-3219.12
