"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.50042,2.49230564200155,22.9522134049227
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.50542,2.91390667549766,24.2184305498091
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.51042,3.4508826997746,25.6782248153657
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.51542,4.14903144147361,27.3788517333863
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.52042,5.07899170763915,29.3824225710581
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.52542,6.35386739843808,31.7702397764931
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.53042,8.16253447355489,34.645549080961
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.53542,10.8350556731014,38.1257454488393
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.54042,14.973597793035,42.2899701464849
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.54542,21.699597154318,46.9555833110395
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.55042,32.9438541505378,50.845946547632
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.55542,50.4430180281681,49.2102921239896
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.56042,68.069489523975,33.1247805673169
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.56542,68.0368289448333,8.46217155785971
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.57042,55.4100900047717,-3.02276976181551
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.57542,48.3088013459892,-3.29063577368682
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.58042,49.9599326905232,-4.55963840280711
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.58542,52.0631445674793,-14.7592178802676
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.59042,43.7828771763729,-27.0103179163392
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.59542,30.8727818912216,-30.725985199221
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.60042,21.089892457577,-28.6422812653083
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.60542,14.8942773732726,-25.0489504228203
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.61042,10.9956414348052,-21.550880072801
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.61542,8.44597480656697,-18.5186040379301
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.62042,6.70251395394429,-15.9626919241112
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.62542,5.46117488837532,-13.8120528953845
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.63042,4.5463869046001,-11.9898373587057
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.63542,3.85248746132121,-10.4310228734358
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.64042,3.31321417496446,-9.08412958392982
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.64542,2.88542497308614,-7.90914162739289
100,0,0,33.2703,33.5328,0,1.524,15.07,19,94.3865,0.65,2.05,95.7858,1.65042,2.54008310223496,-6.87498144352806
