Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,-180,1287.59
-179,-180,1242.06
-178,-180,1196.15
-177,-180,1149.87
-176,-180,1103.25
-175,-180,1056.29
-174,-180,1009
-173,-180,961.415
-172,-180,913.533
-171,-180,865.372
-170,-180,816.948
-169,-180,768.275
-168,-180,719.368
-167,-180,670.242
-166,-180,620.912
-165,-180,571.392
-164,-180,521.699
-163,-180,471.846
-162,-180,421.85
-161,-180,371.725
-160,-180,321.487
-159,-180,271.151
-158,-180,220.733
-157,-180,170.247
-156,-180,119.71
-155,-180,69.1358
-154,-180,18.5408
-153,-180,-32.0599
-152,-180,-82.6509
-151,-180,-133.217
-150,-180,-183.742
-149,-180,-234.211
-148,-180,-284.609
-147,-180,-334.92
-146,-180,-385.129
-145,-180,-435.221
-144,-180,-485.18
-143,-180,-534.992
-142,-180,-584.64
-141,-180,-634.111
-140,-180,-683.388
-139,-180,-732.457
-138,-180,-781.303
-137,-180,-829.911
-136,-180,-878.266
-135,-180,-926.354
-134,-180,-974.159
-133,-180,-1021.67
-132,-180,-1068.87
-131,-180,-1115.74
-130,-180,-1162.27
-129,-180,-1208.45
-128,-180,-1254.26
-127,-180,-1299.69
-126,-180,-1344.72
-125,-180,-1389.34
-124,-180,-1433.54
-123,-180,-1477.3
-122,-180,-1520.61
-121,-180,-1563.46
-120,-180,-1605.84
-119,-180,-1647.72
-118,-180,-1689.1
-117,-180,-1729.97
-116,-180,-1770.31
-115,-180,-1810.11
-114,-180,-1849.36
-113,-180,-1888.05
-112,-180,-1926.16
-111,-180,-1963.68
-110,-180,-2000.61
-109,-180,-2036.93
-108,-180,-2072.62
-107,-180,-2107.69
-106,-180,-2142.11
-105,-180,-2175.88
-104,-180,-2208.99
-103,-180,-2241.43
-102,-180,-2273.18
-101,-180,-2304.24
-100,-180,-2334.6
-99,-180,-2364.24
-98,-180,-2393.17
-97,-180,-2421.37
-96,-180,-2448.83
-95,-180,-2475.54
-94,-180,-2501.5
-93,-180,-2526.7
-92,-180,-2551.13
-91,-180,-2574.78
-90,-180,-2597.65
-89,-180,-2619.72
-88,-180,-2641
-87,-180,-2661.48
-86,-180,-2681.14
-85,-180,-2699.98
-84,-180,-2718.01
-83,-180,-2735.2
-82,-180,-2751.57
-81,-180,-2767.09
-80,-180,-2781.77
-79,-180,-2795.61
-78,-180,-2808.59
-77,-180,-2820.72
-76,-180,-2831.98
-75,-180,-2842.39
-74,-180,-2851.93
-73,-180,-2860.6
-72,-180,-2868.4
-71,-180,-2875.32
-70,-180,-2881.37
-69,-180,-2886.54
-68,-180,-2890.84
-67,-180,-2894.25
-66,-180,-2896.78
-65,-180,-2898.43
-64,-180,-2899.19
-63,-180,-2899.07
-62,-180,-2898.07
-61,-180,-2896.19
-60,-180,-2893.42
-59,-180,-2889.78
-58,-180,-2885.25
-57,-180,-2879.84
-56,-180,-2873.56
-55,-180,-2866.4
-54,-180,-2858.37
-53,-180,-2849.46
-52,-180,-2839.69
-51,-180,-2829.06
-50,-180,-2817.56
-49,-180,-2805.2
-48,-180,-2791.99
-47,-180,-2777.93
-46,-180,-2763.02
-45,-180,-2747.28
