Phi[deg],Theta[deg],re(rETheta)[mV]
-180,-180,-739.585
-179,-180,-810.259
-178,-180,-880.685
-177,-180,-950.844
-176,-180,-1020.71
-175,-180,-1090.27
-174,-180,-1159.5
-173,-180,-1228.37
-172,-180,-1296.87
-171,-180,-1364.97
-170,-180,-1432.66
-169,-180,-1499.91
-168,-180,-1566.71
-167,-180,-1633.02
-166,-180,-1698.84
-165,-180,-1764.14
-164,-180,-1828.91
-163,-180,-1893.12
-162,-180,-1956.75
-161,-180,-2019.78
-160,-180,-2082.2
-159,-180,-2143.99
-158,-180,-2205.12
-157,-180,-2265.58
-156,-180,-2325.35
-155,-180,-2384.42
-154,-180,-2442.75
-153,-180,-2500.34
-152,-180,-2557.17
-151,-180,-2613.22
-150,-180,-2668.48
-149,-180,-2722.92
-148,-180,-2776.54
-147,-180,-2829.3
-146,-180,-2881.21
-145,-180,-2932.24
-144,-180,-2982.37
-143,-180,-3031.6
-142,-180,-3079.9
-141,-180,-3127.26
-140,-180,-3173.68
-139,-180,-3219.12
-138,-180,-3263.59
-137,-180,-3307.06
-136,-180,-3349.52
-135,-180,-3390.96
-134,-180,-3431.37
-133,-180,-3470.74
-132,-180,-3509.05
-131,-180,-3546.28
-130,-180,-3582.44
-129,-180,-3617.51
-128,-180,-3651.48
-127,-180,-3684.33
-126,-180,-3716.06
-125,-180,-3746.66
-124,-180,-3776.12
-123,-180,-3804.42
-122,-180,-3831.57
-121,-180,-3857.55
-120,-180,-3882.36
-119,-180,-3905.98
-118,-180,-3928.42
-117,-180,-3949.65
-116,-180,-3969.69
-115,-180,-3988.51
-114,-180,-4006.12
-113,-180,-4022.51
-112,-180,-4037.68
-111,-180,-4051.61
-110,-180,-4064.31
-109,-180,-4075.77
-108,-180,-4085.99
-107,-180,-4094.97
-106,-180,-4102.7
-105,-180,-4109.18
-104,-180,-4114.4
-103,-180,-4118.38
-102,-180,-4121.1
-101,-180,-4122.56
-100,-180,-4122.77
-99,-180,-4121.72
-98,-180,-4119.42
-97,-180,-4115.86
-96,-180,-4111.05
-95,-180,-4104.99
-94,-180,-4097.67
-93,-180,-4089.11
-92,-180,-4079.3
-91,-180,-4068.25
-90,-180,-4055.96
-89,-180,-4042.44
-88,-180,-4027.68
-87,-180,-4011.7
-86,-180,-3994.49
-85,-180,-3976.07
-84,-180,-3956.44
-83,-180,-3935.6
-82,-180,-3913.56
-81,-180,-3890.33
-80,-180,-3865.92
-79,-180,-3840.32
-78,-180,-3813.56
-77,-180,-3785.64
-76,-180,-3756.56
-75,-180,-3726.34
-74,-180,-3694.98
-73,-180,-3662.5
-72,-180,-3628.9
-71,-180,-3594.2
-70,-180,-3558.4
-69,-180,-3521.52
-68,-180,-3483.57
-67,-180,-3444.55
-66,-180,-3404.49
-65,-180,-3363.39
-64,-180,-3321.26
-63,-180,-3278.12
-62,-180,-3233.99
-61,-180,-3188.87
-60,-180,-3142.77
-59,-180,-3095.72
-58,-180,-3047.73
-57,-180,-2998.81
-56,-180,-2948.97
-55,-180,-2898.24
-54,-180,-2846.62
-53,-180,-2794.14
-52,-180,-2740.81
-51,-180,-2686.64
-50,-180,-2631.65
-49,-180,-2575.86
-48,-180,-2519.29
-47,-180,-2461.95
-46,-180,-2403.86
-45,-180,-2345.03
-44,-180,-2285.49
-43,-180,-2225.26
-42,-180,-2164.35
-41,-180,-2102.78
-40,-180,-2040.57
-39,-180,-1977.73
-38,-180,-1914.3
-37,-180,-1850.28
-36,-180,-1785.7
-35,-180,-1720.57
-34,-180,-1654.92
-33,-180,-1588.77
-32,-180,-1522.13
-31,-180,-1455.03
-30,-180,-1387.48
-29,-180,-1319.51
-28,-180,-1251.14
-27,-180,-1182.39
-26,-180,-1113.28
-25,-180,-1043.83
-24,-180,-974.064
-23,-180,-903.999
-22,-180,-833.659
-21,-180,-763.065
-20,-180,-692.238
-19,-180,-621.201
-18,-180,-549.974
-17,-180,-478.58
-16,-180,-407.04
-15,-180,-335.376
-14,-180,-263.61
-13,-180,-191.764
-12,-180,-119.859
-11,-180,-47.9174
-10,-180,24.0386
-9,-180,95.9872
-8,-180,167.907
-7,-180,239.775
-6,-180,311.57
-5,-180,383.27
-4,-180,454.854
-3,-180,526.299
-2,-180,597.583
-1,-180,668.686
0,-180,739.585
1,-180,810.259
2,-180,880.685
3,-180,950.844
4,-180,1020.71
5,-180,1090.27
6,-180,1159.5
7,-180,1228.37
8,-180,1296.87
9,-180,1364.97
10,-180,1432.66
11,-180,1499.91
12,-180,1566.71
13,-180,1633.02
14,-180,1698.84
15,-180,1764.14
16,-180,1828.91
17,-180,1893.12
18,-180,1956.75
19,-180,2019.78
20,-180,2082.2
21,-180,2143.99
22,-180,2205.12
23,-180,2265.58
24,-180,2325.35
25,-180,2384.42
26,-180,2442.75
27,-180,2500.34
28,-180,2557.17
29,-180,2613.22
30,-180,2668.48
31,-180,2722.92
32,-180,2776.54
33,-180,2829.3
34,-180,2881.21
35,-180,2932.24
36,-180,2982.37
37,-180,3031.6
38,-180,3079.9
39,-180,3127.26
40,-180,3173.68
41,-180,3219.12
42,-180,3263.59
43,-180,3307.06
44,-180,3349.52
45,-180,3390.96
46,-180,3431.37
47,-180,3470.74
48,-180,3509.05
49,-180,3546.28
50,-180,3582.44
51,-180,3617.51
52,-180,3651.48
53,-180,3684.33
54,-180,3716.06
55,-180,3746.66
56,-180,3776.12
57,-180,3804.42
58,-180,3831.57
59,-180,3857.55
60,-180,3882.36
61,-180,3905.98
62,-180,3928.42
63,-180,3949.65
64,-180,3969.69
65,-180,3988.51
66,-180,4006.12
67,-180,4022.51
68,-180,4037.68
69,-180,4051.61
70,-180,4064.31
71,-180,4075.77
72,-180,4085.99
73,-180,4094.97
74,-180,4102.7
75,-180,4109.18
76,-180,4114.4
77,-180,4118.38
78,-180,4121.1
79,-180,4122.56
80,-180,4122.77
81,-180,4121.72
82,-180,4119.42
83,-180,4115.86
84,-180,4111.05
85,-180,4104.99
86,-180,4097.67
87,-180,4089.11
88,-180,4079.3
89,-180,4068.25
90,-180,4055.96
91,-180,4042.44
92,-180,4027.68
93,-180,4011.7
94,-180,3994.49
95,-180,3976.07
96,-180,3956.44
97,-180,3935.6
98,-180,3913.56
99,-180,3890.33
100,-180,3865.92
101,-180,3840.32
102,-180,3813.56
103,-180,3785.64
104,-180,3756.56
105,-180,3726.34
106,-180,3694.98
107,-180,3662.5
108,-180,3628.9
109,-180,3594.2
110,-180,3558.4
111,-180,3521.52
112,-180,3483.57
113,-180,3444.55
114,-180,3404.49
115,-180,3363.39
116,-180,3321.26
117,-180,3278.12
118,-180,3233.99
119,-180,3188.87
120,-180,3142.77
121,-180,3095.72
122,-180,3047.73
123,-180,2998.81
124,-180,2948.97
125,-180,2898.24
126,-180,2846.62
127,-180,2794.14
128,-180,2740.81
129,-180,2686.64
130,-180,2631.65
131,-180,2575.86
132,-180,2519.29
133,-180,2461.95
134,-180,2403.86
135,-180,2345.03
136,-180,2285.49
137,-180,2225.26
138,-180,2164.35
139,-180,2102.78
140,-180,2040.57
141,-180,1977.73
142,-180,1914.3
143,-180,1850.28
144,-180,1785.7
145,-180,1720.57
146,-180,1654.92
147,-180,1588.77
148,-180,1522.13
149,-180,1455.03
150,-180,1387.48
151,-180,1319.51
152,-180,1251.14
153,-180,1182.39
154,-180,1113.28
155,-180,1043.83
156,-180,974.064
157,-180,903.999
158,-180,833.659
159,-180,763.065
160,-180,692.238
161,-180,621.201
